city,long,lati,year,ensemble_mean_kelvin
HongKong,114.167,22.333,1368,295.864115819112
Shanghai,121.433,31.167,1368,289.9356403235954
Beijing,116.283,39.933,1368,280.2083714963653
HongKong,114.167,22.333,1369,295.657906442751
Shanghai,121.433,31.167,1369,289.8891822068084
Beijing,116.283,39.933,1369,280.2401770966047
HongKong,114.167,22.333,1370,295.4868927983375
Shanghai,121.433,31.167,1370,289.59375612788443
Beijing,116.283,39.933,1370,279.8101394541091
HongKong,114.167,22.333,1371,295.4327249373404
Shanghai,121.433,31.167,1371,289.43533561452864
Beijing,116.283,39.933,1371,279.88002350060356
HongKong,114.167,22.333,1372,295.75703868165965
Shanghai,121.433,31.167,1372,289.96423769602814
Beijing,116.283,39.933,1372,280.37659613541115
HongKong,114.167,22.333,1373,295.6190123119765
Shanghai,121.433,31.167,1373,289.59890363784757
Beijing,116.283,39.933,1373,280.00005633244416
HongKong,114.167,22.333,1374,295.6516531500849
Shanghai,121.433,31.167,1374,289.7815695665581
Beijing,116.283,39.933,1374,280.13293154400816
HongKong,114.167,22.333,1375,295.7646436891072
Shanghai,121.433,31.167,1375,289.94888494429233
Beijing,116.283,39.933,1375,280.3958183936546
HongKong,114.167,22.333,1376,295.6860159859871
Shanghai,121.433,31.167,1376,289.7199656684725
Beijing,116.283,39.933,1376,280.06623859782843
HongKong,114.167,22.333,1377,295.6558395171187
Shanghai,121.433,31.167,1377,289.59871363156265
Beijing,116.283,39.933,1377,280.16362499816347
HongKong,114.167,22.333,1378,295.6864503953883
Shanghai,121.433,31.167,1378,289.6965136060884
Beijing,116.283,39.933,1378,280.09652798222294
HongKong,114.167,22.333,1379,295.75749695837277
Shanghai,121.433,31.167,1379,289.7190776116606
Beijing,116.283,39.933,1379,280.0211330976395
HongKong,114.167,22.333,1380,295.80983287406366
Shanghai,121.433,31.167,1380,289.64925919171134
Beijing,116.283,39.933,1380,279.89866627901284
HongKong,114.167,22.333,1381,295.7887369537064
Shanghai,121.433,31.167,1381,289.82527168207946
Beijing,116.283,39.933,1381,280.19281123517476
HongKong,114.167,22.333,1382,295.7981201250286
Shanghai,121.433,31.167,1382,289.9264881451241
Beijing,116.283,39.933,1382,280.24909368317964
HongKong,114.167,22.333,1383,295.8365950995921
Shanghai,121.433,31.167,1383,289.9727710537189
Beijing,116.283,39.933,1383,280.2132613183562
HongKong,114.167,22.333,1384,295.8070409890197
Shanghai,121.433,31.167,1384,290.04751905441714
Beijing,116.283,39.933,1384,280.35948768669226
HongKong,114.167,22.333,1385,295.50211280990396
Shanghai,121.433,31.167,1385,289.6797650008593
