location_id,long,lati,original_mclust_component,figure6_cluster
6,110,18,3,3
25,110,19.8947368421053,3,3
43,107.5,21.7894736842105,3,3
44,110,21.7894736842105,3,3
45,112.5,21.7894736842105,3,3
46,115,21.7894736842105,3,3
59,100,23.6842105263158,3,3
60,102.5,23.6842105263158,3,3
61,105,23.6842105263158,3,3
62,107.5,23.6842105263158,3,3
63,110,23.6842105263158,3,3
64,112.5,23.6842105263158,3,3
65,115,23.6842105263158,3,3
66,117.5,23.6842105263158,3,3
67,120,23.6842105263158,2,4
77,97.5,25.578947368421,3,3
78,100,25.578947368421,3,3
79,102.5,25.578947368421,3,3
80,105,25.578947368421,3,3
81,107.5,25.578947368421,3,3
82,110,25.578947368421,3,3
83,112.5,25.578947368421,3,3
84,115,25.578947368421,3,3
85,117.5,25.578947368421,2,4
86,120,25.578947368421,2,4
98,102.5,27.4736842105263,3,3
99,105,27.4736842105263,3,3
100,107.5,27.4736842105263,3,3
101,110,27.4736842105263,3,3
102,112.5,27.4736842105263,3,3
103,115,27.4736842105263,2,4
104,117.5,27.4736842105263,2,4
105,120,27.4736842105263,2,4
106,122.5,27.4736842105263,2,4
117,102.5,29.3684210526316,3,3
118,105,29.3684210526316,3,3
119,107.5,29.3684210526316,3,3
120,110,29.3684210526316,3,3
121,112.5,29.3684210526316,2,4
122,115,29.3684210526316,2,4
123,117.5,29.3684210526316,2,4
124,120,29.3684210526316,2,4
125,122.5,29.3684210526316,2,4
136,102.5,31.2631578947368,3,3
137,105,31.2631578947368,3,3
138,107.5,31.2631578947368,3,3
139,110,31.2631578947368,3,3
140,112.5,31.2631578947368,2,4
141,115,31.2631578947368,2,4
142,117.5,31.2631578947368,2,4
143,120,31.2631578947368,2,4
144,122.5,31.2631578947368,2,4
156,105,33.1578947368421,4,1
157,107.5,33.1578947368421,4,1
158,110,33.1578947368421,4,1
159,112.5,33.1578947368421,1,2
160,115,33.1578947368421,1,2
161,117.5,33.1578947368421,1,2
162,120,33.1578947368421,1,2
174,102.5,35.0526315789474,4,1
175,105,35.0526315789474,4,1
176,107.5,35.0526315789474,4,1
177,110,35.0526315789474,4,1
178,112.5,35.0526315789474,1,2
179,115,35.0526315789474,1,2
180,117.5,35.0526315789474,1,2
181,120,35.0526315789474,1,2
193,102.5,36.9473684210526,4,1
194,105,36.9473684210526,4,1
195,107.5,36.9473684210526,4,1
196,110,36.9473684210526,4,1
197,112.5,36.9473684210526,1,2
198,115,36.9473684210526,1,2
199,117.5,36.9473684210526,1,2
200,120,36.9473684210526,1,2
201,122.5,36.9473684210526,4,1
215,110,38.8421052631579,4,1
216,112.5,38.8421052631579,4,1
217,115,38.8421052631579,1,2
218,117.5,38.8421052631579,1,2
219,120,38.8421052631579,4,1
220,122.5,38.8421052631579,4,1
235,112.5,40.7368421052632,4,1
236,115,40.7368421052632,1,2
237,117.5,40.7368421052632,1,2
238,120,40.7368421052632,4,1
239,122.5,40.7368421052632,4,1
258,122.5,42.6315789473684,4,1
259,125,42.6315789473684,4,1
