year,number_of_observations,numerical_jitter
1368,3,0
1369,2,0
1370,2,0
1371,3,0
1373,2,0
1374,1,0
1376,1,0
1377,2,0
1378,2,0
1379,1,0
1380,1,0
1381,5,0
1382,2,0
1383,1,0
1384,7,0
1385,4,0
1386,1,0
1389,2,0
1390,2,0
1391,2,0
1392,1,0
1393,2,0
1394,1,0
1397,2,0
1399,2,0
1403,2,0
1406,1,0
1407,1,0
1408,1,0
1409,1,0
1411,1,0
1412,1,0
1413,1,0
1414,1,0
1415,4,0
1416,3,0
1424,1,0
1425,2,0
1426,3,0
1427,1,0
1428,7,0
1429,2,0
1430,2,0
1431,3,0
1432,14,0
1433,13,0
1434,2,0
1435,3,0
1436,5,0
1437,8,0
1438,6,0
1439,5,0
1440,2,0
1441,2,0
1442,1,0
1443,4,0
1444,4,0
1445,6,0
1447,4,0
1448,4,0
1449,11,0
1450,14,0
1451,11,0
1452,13,0
1453,51,0
1454,77,0
1455,8,0
1456,3,0
1457,12,0
1458,8,0
1459,3,0
1460,9,0
1461,2,0
1462,10,0
1463,10,0
1464,2,0
1465,4,0
1466,6,0
1467,1,0
1468,2,0
1469,3,0
1470,8,0
1471,12,0
1472,2,0
1473,5,0
1474,7,0
1475,4,0
1476,22,0
1477,32,0
1478,6,0
1479,6,0
1480,8,0
1481,8,0
1482,3,0
1483,28,0
1484,21,0
1485,7,0
1486,6,0
1487,3,0
1488,9,0
1489,14,0
1490,8,0
1491,6,0
1492,10,0
1493,82,0
1494,68,0
1495,20,0
1496,11,0
1497,7,0
1498,6,0
1499,5,0
1500,1,0
1501,16,0
1502,12,0
1503,10,0
1504,11,0
1505,2,0
1506,8,0
1507,25,0
1508,34,0
1509,32,0
1510,34,0
1511,16,0
1512,19,0
1513,49,0
1514,30,0
1515,9,0
1516,12,0
1517,10,0
1518,15,0
1519,14,0
1520,12,0
1521,4,0
1522,9,0
1523,20,0
1524,22,0
1525,9,0
1526,7,0
1527,17,0
1528,14,0
1529,25,0
1530,15,0
1531,8,0
1532,29,0
1533,30,0
1534,10,0
1535,8,0
1536,11,0
1537,16,0
1538,6,0
1539,12,0
1540,12,0
1541,13,0
1542,5,0
1543,5,0
1544,17,0
1545,11,0
1546,9,0
1547,18,0
1548,16,0
1549,11,0
1550,19,0
1551,9,0
1552,11,0
1553,15,0
1554,9,0
1555,8,0
1556,9,0
1557,7,0
1558,8,0
1559,4,0
1560,17,0
1561,27,0
1562,12,0
1563,14,0
1564,20,0
1565,29,0
1566,30,0
1567,26,0
1568,15,0
1569,13,0
1570,14,0
1571,6,0
1572,17,0
1573,9,0
1574,8,0
1575,5,0
1576,11,0
1577,12,0
1578,46,0
1579,39,0
1580,18,0
1581,15,0
1582,10,0
1583,13,0
1584,8,0
1585,18,0
1586,23,0
1587,31,0
1588,28,0
1589,22,0
1590,20,0
1591,12,0
1592,18,0
1593,14,0
1594,18,0
1595,31,0
1596,12,0
1597,16,0
1598,15,0
1599,8,0
1600,10,0
1601,32,0
1602,19,0
1603,4,0
1604,11,0
1605,19,0
1606,5,0
1607,5,0
1608,8,0
1609,13,0
1610,12,0
1611,7,0
1612,13,0
1613,9,0
1614,8,0
1615,22,0
1616,23,0
1617,19,0
1618,22,0
1619,15,0
1620,57,0
1621,99,0
1622,15,0
1623,10,0
1624,21,0
1625,9,0
1626,16,0
1627,24,0
1628,53,0
1629,13,0
1630,17,0
