dictionary_id,dataset_id,file_pattern,file_role,format,object_or_sheet,variable_name_or_pattern,description,data_type,unit_or_scale,allowed_values_or_range,missing_value_convention,spatial_support,temporal_support,source_or_provenance,source_url,generated_by,used_by,notes,verification_status
D0001,REACHES_INPUT,Data/temperature index value.v1.xlsx,prepared input,XLSX,,level,Documentary temperature-index category used by the analysis.,numeric,dimensionless ordinal index,-2; -1; 0; 1,NA after import,documentary record location,event year,REACHES / NOAA Paleoclimatology Study 37720,https://www.ncei.noaa.gov/access/paleo-search/study/37720,upstream prepared input,Figure2.R; prepare_calibration.R; Figure5.R; FigureS1.R; Get_tempe_all_data.R; coverage_population_GAM.R; interval_compatibility.R,The analysis renames the selected workbook column to level.,verified from current scripts
D0002,REACHES_INPUT,Data/temperature index value.v1.xlsx,prepared input,XLSX,,year,Calendar year associated with the documentary record.,integer,Common Era year,Primarily 1368–1911 for the manuscript workflow,NA after import,documentary record location,event year,REACHES / NOAA Paleoclimatology Study 37720,https://www.ncei.noaa.gov/access/paleo-search/study/37720,upstream prepared input,Figure2.R; prepare_calibration.R; Figure5.R; FigureS1.R; Get_tempe_all_data.R; coverage_population_GAM.R; interval_compatibility.R,,verified from current scripts
D0003,REACHES_INPUT,Data/temperature index value.v1.xlsx,prepared input,XLSX,,long,Longitude of the documentary record.,numeric,decimal degrees east,,NA after import,documentary point location,time-invariant coordinate,REACHES / NOAA Paleoclimatology Study 37720,https://www.ncei.noaa.gov/access/paleo-search/study/37720,upstream prepared input,Figure2.R; prepare_calibration.R; Figure5.R; FigureS1.R; Get_tempe_all_data.R; coverage_population_GAM.R; interval_compatibility.R,,verified from current scripts
D0004,REACHES_INPUT,Data/temperature index value.v1.xlsx,prepared input,XLSX,,lat,Latitude of the documentary record.,numeric,decimal degrees north,,NA after import,documentary point location,time-invariant coordinate,REACHES / NOAA Paleoclimatology Study 37720,https://www.ncei.noaa.gov/access/paleo-search/study/37720,upstream prepared input,Figure2.R; prepare_calibration.R; Figure5.R; FigureS1.R; Get_tempe_all_data.R; coverage_population_GAM.R; interval_compatibility.R,,verified from current scripts
D0005,GHCN_INPUT,Data/GHCNv4.xlsx,prepared input,XLSX,,year,Calendar year in the selected city station block.,integer,Common Era year,,NA after import,GHCN station record,annual row containing monthly values,Prepared from NOAA GHCN-Monthly v4 TAVG,https://www.ncei.noaa.gov/pub/data/ghcn/v4/,upstream prepared input,Figure10.R; Supplementary/FigureS2.R,The analysis selects one year column from the prepared workbook.,verified from current scripts
D0006,GHCN_INPUT,Data/GHCNv4.xlsx,prepared input,XLSX,,monthMM,Monthly mean temperature value for month MM; MM ranges from 01 to 12.,numeric,hundredths of degrees Celsius in the prepared workbook,12 monthly value columns,NA represents unavailable monthly temperature,GHCN station record,monthly within each calendar year,Prepared from NOAA GHCN-Monthly v4 TAVG,https://www.ncei.noaa.gov/pub/data/ghcn/v4/,upstream prepared input,Figure10.R; Supplementary/FigureS2.R,Scripts divide values by 100 and retain annual means only when all 12 months are available.,verified from current scripts
D0007,LME_MEMBER_INPUT,Data/LME data/a1.csv.gz … Data/LME data/a13.csv.gz,prepared input,CSV.GZ,,row identifier,Original row identifier read as R row names and not retained as an analysis variable.,character/integer,none,,No missing values expected,native LME grid location,time-invariant,CESM Last Millennium Ensemble,https://www.cesm.ucar.edu/community-projects/lme,Data/Get_data/GetLME.R,Code/DataPreparation/prepare_lme_annual.R,The file is read with row.names = 1.,verified from current scripts
D0008,LME_MEMBER_INPUT,Data/LME data/a1.csv.gz … Data/LME data/a13.csv.gz,prepared input,CSV.GZ,,lati,Latitude of the native LME grid location.,numeric,decimal degrees north,,No missing values expected,native LME grid point,time-invariant,CESM Last Millennium Ensemble,https://www.cesm.ucar.edu/community-projects/lme,Data/Get_data/GetLME.R,Code/DataPreparation/prepare_lme_annual.R,,verified from current scripts
D0009,LME_MEMBER_INPUT,Data/LME data/a1.csv.gz … Data/LME data/a13.csv.gz,prepared input,CSV.GZ,,long,Longitude of the native LME grid location.,numeric,decimal degrees east,,No missing values expected,native LME grid point,time-invariant,CESM Last Millennium Ensemble,https://www.cesm.ucar.edu/community-projects/lme,Data/Get_data/GetLME.R,Code/DataPreparation/prepare_lme_annual.R,,verified from current scripts
D0010,LME_MEMBER_INPUT,Data/LME data/a1.csv.gz … Data/LME data/a13.csv.gz,prepared input,CSV.GZ,,monthly_temperature_YYYY_MM,Monthly near-surface air temperature (TREFHT); columns span January 1350 through December 1949.,numeric,Kelvin,7200 monthly columns,No missing values expected by the preparation script,native LME grid point,"monthly, 1350-01 to 1949-12",CESM Last Millennium Ensemble,https://www.cesm.ucar.edu/community-projects/lme,Data/Get_data/GetLME.R,Code/DataPreparation/prepare_lme_annual.R,The annual preparation script takes the arithmetic mean of each 12-month block.,verified from current scripts
D0011,POPULATION_RASTERS,"Data/Population/{1776,1820,1851,1880,1910,1953}_pd.tif",prepared input,GeoTIFF,,CRS / geotransform,Spatial reference and raster geometry used to locate population values.,raster metadata,coordinate reference system,,Must be defined; script stops if CRS is absent,population raster grid,time-invariant metadata,Historical population raster source,,upstream prepared input,Code/Analysis/coverage_population_GAM.R,All six rasters must have identical geometry.,verified from current scripts
D0012,CALIBRATION_RDS,Output/Intermediate/calibration_parameters.rds,generated intermediate,RDS,top-level list element,temp2,Prepared event-year REACHES data used for covariance calibration.,data.frame,mixed,,NA according to source data,REACHES documentary locations,event years,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,Code/Figure4.R; Code/Figure5.R; Code/Get_tempe_all_data.R; Code/Analysis/interval_compatibility.R,,verified from current scripts
D0013,CALIBRATION_RDS,Output/Intermediate/calibration_parameters.rds,generated intermediate,RDS,top-level list element,var_fit2,Pilot variogram-fit object used as the observed ordinal-scale target.,R object,mixed,,,REACHES documentary locations,event years,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,diagnostics and calibration,,verified from current scripts
D0014,CALIBRATION_RDS,Output/Intermediate/calibration_parameters.rds,generated intermediate,RDS,nested list element,vario_fit2$psill1,Calibrated latent nugget variance.,numeric/character,latent index squared,,,model calibration object,analysis-wide,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,"downstream calibration, kriging, and figures",,verified from current scripts
D0015,CALIBRATION_RDS,Output/Intermediate/calibration_parameters.rds,generated intermediate,RDS,nested list element,vario_fit2$psill2,Calibrated latent process variance.,numeric/character,latent index squared,,,model calibration object,analysis-wide,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,"downstream calibration, kriging, and figures",,verified from current scripts
D0016,CALIBRATION_RDS,Output/Intermediate/calibration_parameters.rds,generated intermediate,RDS,nested list element,vario_fit2$range,Calibrated exponential spatial range.,numeric/character,kilometres,,,model calibration object,analysis-wide,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,"downstream calibration, kriging, and figures",,verified from current scripts
D0017,CALIBRATION_RDS,Output/Intermediate/calibration_parameters.rds,generated intermediate,RDS,nested list element,vario_fit2$range_legacy,Legacy f3 calibrated range retained for comparison.,numeric/character,kilometres,,,model calibration object,analysis-wide,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,"downstream calibration, kriging, and figures",,verified from current scripts
D0018,CALIBRATION_RDS,Output/Intermediate/calibration_parameters.rds,generated intermediate,RDS,nested list element,vario_fit2$total_variance,Calibrated total latent variance.,numeric/character,latent index squared,,,model calibration object,analysis-wide,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,"downstream calibration, kriging, and figures",,verified from current scripts
D0019,CALIBRATION_RDS,Output/Intermediate/calibration_parameters.rds,generated intermediate,RDS,nested list element,vario_fit2$calibration_engine,Calibration engine used to build the curves.,numeric/character,none,,,model calibration object,analysis-wide,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,"downstream calibration, kriging, and figures",,verified from current scripts
D0020,CALIBRATION_RDS,Output/Intermediate/calibration_parameters.rds,generated intermediate,RDS,nested list element,vario_fit2$calibration_data1,f1 calibration curve data.,numeric/table,mixed,,,model calibration object,analysis-wide,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,"downstream calibration, kriging, and figures",,verified from current scripts
D0021,CALIBRATION_RDS,Output/Intermediate/calibration_parameters.rds,generated intermediate,RDS,nested list element,vario_fit2$calibration_data2,f2 calibration curve data.,numeric/table,mixed,,,model calibration object,analysis-wide,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,"downstream calibration, kriging, and figures",,verified from current scripts
D0022,CALIBRATION_RDS,Output/Intermediate/calibration_parameters.rds,generated intermediate,RDS,nested list element,vario_fit2$calibration_data3,Manuscript f3 calibration curve data.,numeric/table,mixed,,,model calibration object,analysis-wide,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,"downstream calibration, kriging, and figures",,verified from current scripts
D0023,CALIBRATION_RDS,Output/Intermediate/calibration_parameters.rds,generated intermediate,RDS,nested list element,vario_fit2$calibration_data3_legacy,Legacy f3 calibration curve data.,numeric/table,mixed,,,model calibration object,analysis-wide,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,"downstream calibration, kriging, and figures",,verified from current scripts
D0024,CALIBRATION_RDS,Output/Intermediate/calibration_parameters.rds,generated intermediate,RDS,nested list element,vario_fit2$covariance_lookup,Lookup table relating latent correlation to observed ordinal covariance.,numeric/table,mixed,,,model calibration object,analysis-wide,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,"downstream calibration, kriging, and figures",,verified from current scripts
D0025,CALIBRATION_SUMMARY,Output/Intermediate/calibration_parameter_summary.csv,generated intermediate,CSV,,estimation_stage,Calibration stage represented by the row.,character,none,pilot; calibrated_manuscript; calibrated_legacy_f3,,analysis-wide,event years / runtime,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,documentation and diagnostics,,verified from current scripts
D0026,CALIBRATION_SUMMARY,Output/Intermediate/calibration_parameter_summary.csv,generated intermediate,CSV,,range,Spatial range estimate for the stage.,numeric,kilometres,,,analysis-wide,event years / runtime,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,documentation and diagnostics,,verified from current scripts
D0027,CALIBRATION_SUMMARY,Output/Intermediate/calibration_parameter_summary.csv,generated intermediate,CSV,,process_variance,Latent process variance for the stage.,numeric,latent index squared,,,analysis-wide,event years / runtime,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,documentation and diagnostics,,verified from current scripts
