"year","coefficient","value"
1368,"FLasso",0.34321524862119274
1369,"FLasso",0.34321524862119274
1370,"FLasso",0.34321524862119274
1371,"FLasso",0.34321524862119274
1372,"FLasso",0.34321524862119274
1373,"FLasso",0.34321524862119274
1374,"FLasso",0.34321524862119274
1375,"FLasso",0.34321524862119274
1376,"FLasso",0.34321524862119274
1377,"FLasso",0.34321524862119274
1378,"FLasso",0.34321524862119274
1379,"FLasso",0.34321524862119274
1380,"FLasso",0.34321524862119274
1381,"FLasso",0.34321524862119274
1382,"FLasso",0.34321524862119274
1383,"FLasso",0.3741991448555344
1384,"FLasso",0.3741991448555344
1385,"FLasso",0.3741991448555344
1386,"FLasso",0.3741991448555344
1387,"FLasso",0.3741991448555344
1388,"FLasso",0.3741991448555344
1389,"FLasso",0.316344706638509
1390,"FLasso",0.316344706638509
1391,"FLasso",0.316344706638509
1392,"FLasso",0.316344706638509
1393,"FLasso",0.18312800622758102
1394,"FLasso",0.18312800622758102
1395,"FLasso",0.18312800622758102
1396,"FLasso",0.18312800622758102
1397,"FLasso",0.18312800622758102
1398,"FLasso",0.18312800622758102
1399,"FLasso",0.18312800622758102
1400,"FLasso",0.18312800622758102
1401,"FLasso",0.18312800622758102
1402,"FLasso",0.18312800622758102
1403,"FLasso",0.18312800622758102
1404,"FLasso",0.18312800622758102
1405,"FLasso",0.18312800622758102
1406,"FLasso",0.18312800622758102
1407,"FLasso",0.18312800622758102
1408,"FLasso",0.18312800622758102
1409,"FLasso",0.18312800622758102
1410,"FLasso",0.18312800622758102
1411,"FLasso",0.18312800622758102
1412,"FLasso",0.18312800622758102
1413,"FLasso",0.18312800622758102
1414,"FLasso",0.18312800622758102
1415,"FLasso",0.18312800622758102
1416,"FLasso",0.18312800622758102
1417,"FLasso",0.18312800622758102
1418,"FLasso",0.18312800622758102
1419,"FLasso",0.18312800622758102
1420,"FLasso",0.18312800622758102
1421,"FLasso",0.18312800622758102
1422,"FLasso",0.18312800622758102
1423,"FLasso",0.18312800622758102
1424,"FLasso",0.18312800622758102
1425,"FLasso",0.18312800622758102
1426,"FLasso",0.18312800622758102
1427,"FLasso",0.18312800622758102
1428,"FLasso",0.18312800622758102
1429,"FLasso",0.18312800622758102
1430,"FLasso",0.18312800622758102
1431,"FLasso",0.18312800622758102
1432,"FLasso",0.18312800622758102
1433,"FLasso",0.18312800622758102
1434,"FLasso",0.18312800622758102
1435,"FLasso",0.18312800622758102
1436,"FLasso",0.18312800622758102
1437,"FLasso",0.18312800622758102
1438,"FLasso",0.18312800622758102
1439,"FLasso",0.22341119644553742
1440,"FLasso",0.22341119644553742
1441,"FLasso",0.22341119644553742
1442,"FLasso",0.22341119644553742
1443,"FLasso",0.22341119644553742
1444,"FLasso",0.28855738735313285
1445,"FLasso",0.28855738735313285
1446,"FLasso",0.28855738735313285
1447,"FLasso",0.28855738735313285
1448,"FLasso",0.28855738735313285
1449,"FLasso",0.28855738735313285
1450,"FLasso",0.3035026506971573
1451,"FLasso",0.3035026506971573
1452,"FLasso",0.3035026506971573
1453,"FLasso",0.3035026506971573
1454,"FLasso",0.3035026506971573
1455,"FLasso",0.3035026506971573
1456,"FLasso",0.3035026506971573
1457,"FLasso",0.2669401094921011
1458,"FLasso",0.2669401094921011
1459,"FLasso",0.2669401094921011
1460,"FLasso",0.2669401094921011
1461,"FLasso",0.2669401094921011
1462,"FLasso",0.2669401094921011
1463,"FLasso",0.2669401094921011
1464,"FLasso",0.2669401094921011
1465,"FLasso",0.25870290178326477
1466,"FLasso",0.25870290178326477
1467,"FLasso",0.25870290178326477
1468,"FLasso",0.25870290178326477
1469,"FLasso",0.25870290178326477
1470,"FLasso",0.25870290178326477
1471,"FLasso",0.25870290178326477
1472,"FLasso",0.25870290178326477
1473,"FLasso",0.25870290178326477
1474,"FLasso",0.25870290178326477
1475,"FLasso",0.25870290178326477
1476,"FLasso",0.25870290178326477
1477,"FLasso",0.25870290178326477
1478,"FLasso",0.25870290178326477
1479,"FLasso",0.25870290178326477
1480,"FLasso",0.25870290178326477
1481,"FLasso",0.25870290178326477
1482,"FLasso",0.25870290178326477
1483,"FLasso",0.25870290178326477
1484,"FLasso",0.25870290178326477
1485,"FLasso",0.25870290178326477
1486,"FLasso",0.25870290178326477
1487,"FLasso",0.19241750920433384
1488,"FLasso",0.19241750920433384
1489,"FLasso",0.19241750920433384
1490,"FLasso",0.19241750920433384
1491,"FLasso",0.19241750920433384
1492,"FLasso",0.19241750920433384
1493,"FLasso",0.19241750920433384
1494,"FLasso",0.19241750920433384
1495,"FLasso",0.18106034360035875
1496,"FLasso",0.18106034360035875
1497,"FLasso",0.17293282470835047
1498,"FLasso",0.17293282470835047
1499,"FLasso",0.17293282470835047
1500,"FLasso",0.17293282470835047
1501,"FLasso",0.17293282470835047
1502,"FLasso",0.17293282470835047
1503,"FLasso",0.17293282470835047
1504,"FLasso",0.17293282470835047
1505,"FLasso",0.17293282470835047
1506,"FLasso",0.17293282470835047
1507,"FLasso",0.17293282470835047
1508,"FLasso",0.17293282470835047
1509,"FLasso",0.17293282470835047
1510,"FLasso",0.17293282470835047
1511,"FLasso",0.17293282470835047
1512,"FLasso",0.17293282470835047
1513,"FLasso",0.17293282470835047
1514,"FLasso",0.17293282470835047
1515,"FLasso",0.17293282470835047
1516,"FLasso",0.17293282470835047
1517,"FLasso",0.17293282470835047
1518,"FLasso",0.17293282470835047
1519,"FLasso",0.17293282470835047
1520,"FLasso",0.17293282470835047
1521,"FLasso",0.17293282470835047
1522,"FLasso",0.17293282470835047
1523,"FLasso",0.17293282470835047
1524,"FLasso",0.17293282470835047
1525,"FLasso",0.17293282470835047
1526,"FLasso",0.17293282470835047
1527,"FLasso",0.17293282470835047
1528,"FLasso",0.29709854438376687
1529,"FLasso",0.29709854438376687
1530,"FLasso",0.29709854438376687
1531,"FLasso",0.29709854438376687
1532,"FLasso",0.29709854438376687
