"year","coefficient","value"
1368,"Penalized ML",0.1699348848778002
1369,"Penalized ML",0.16977064967804345
1370,"Penalized ML",0.17378391953643485
1371,"Penalized ML",0.17655712146152386
1372,"Penalized ML",0.18059165996701662
1373,"Penalized ML",0.18480300114138828
1374,"Penalized ML",0.1875983221296384
1375,"Penalized ML",0.19119344753522624
1376,"Penalized ML",0.19287776011291982
1377,"Penalized ML",0.19475445428539329
1378,"Penalized ML",0.19487624814418422
1379,"Penalized ML",0.1947829804624502
1380,"Penalized ML",0.19235975738648034
1381,"Penalized ML",0.19285547945806777
1382,"Penalized ML",0.19397165088407073
1383,"Penalized ML",0.1959650774413584
1384,"Penalized ML",0.19693093305566384
1385,"Penalized ML",0.1982478930213908
1386,"Penalized ML",0.19831641432081068
1387,"Penalized ML",0.19520364898510603
1388,"Penalized ML",0.18999661539914403
1389,"Penalized ML",0.1860630510322037
1390,"Penalized ML",0.18243584088477846
1391,"Penalized ML",0.17959472475491986
1392,"Penalized ML",0.17611608165642897
1393,"Penalized ML",0.1711224587633914
1394,"Penalized ML",0.1665817688202343
1395,"Penalized ML",0.16103050037285613
1396,"Penalized ML",0.158203581161319
1397,"Penalized ML",0.1557411312082017
1398,"Penalized ML",0.15462344285153684
1399,"Penalized ML",0.1539620246382939
1400,"Penalized ML",0.1559840347442871
1401,"Penalized ML",0.15707987604779966
1402,"Penalized ML",0.15832692514713884
1403,"Penalized ML",0.1599810345477163
1404,"Penalized ML",0.15961774356121264
1405,"Penalized ML",0.15927092966081513
1406,"Penalized ML",0.16082805157643995
1407,"Penalized ML",0.16177272581900815
1408,"Penalized ML",0.1640913804902267
1409,"Penalized ML",0.16522052459029649
1410,"Penalized ML",0.16635354321207393
1411,"Penalized ML",0.16726136390456559
1412,"Penalized ML",0.16865583484578017
1413,"Penalized ML",0.17005260417401302
1414,"Penalized ML",0.17136855588698977
1415,"Penalized ML",0.1721362050442157
1416,"Penalized ML",0.17540797998059465
1417,"Penalized ML",0.17520690961645177
1418,"Penalized ML",0.17416948642146243
1419,"Penalized ML",0.1742975826627081
1420,"Penalized ML",0.17340236542840895
1421,"Penalized ML",0.1693795685808777
1422,"Penalized ML",0.16633188985105665
1423,"Penalized ML",0.1638031897562555
1424,"Penalized ML",0.1581881790349411
1425,"Penalized ML",0.15373757354045248
1426,"Penalized ML",0.15037610474691362
1427,"Penalized ML",0.14806950805482055
1428,"Penalized ML",0.1442348049950373
1429,"Penalized ML",0.1428681330524281
1430,"Penalized ML",0.13829143258089852
1431,"Penalized ML",0.13428172534331986
1432,"Penalized ML",0.13178649632548164
1433,"Penalized ML",0.13052099510935142
1434,"Penalized ML",0.12945732110164304
1435,"Penalized ML",0.12877431850906956
1436,"Penalized ML",0.1270096165815314
1437,"Penalized ML",0.12866971976266398
1438,"Penalized ML",0.13172401168847805
1439,"Penalized ML",0.13782001531147198
1440,"Penalized ML",0.14035953631443465
1441,"Penalized ML",0.14338650237950756
1442,"Penalized ML",0.14383714963386193
1443,"Penalized ML",0.14529368799616144
1444,"Penalized ML",0.1465479364225337
1445,"Penalized ML",0.146889405511158
1446,"Penalized ML",0.14569849581848104
1447,"Penalized ML",0.14620045503636686
1448,"Penalized ML",0.14721726369878993
1449,"Penalized ML",0.14803644935119578
1450,"Penalized ML",0.14634945298977123
1451,"Penalized ML",0.14428251850637233
1452,"Penalized ML",0.14060572501275279
1453,"Penalized ML",0.13519026506200388
1454,"Penalized ML",0.13255259452867593
1455,"Penalized ML",0.1301394640478665
1456,"Penalized ML",0.12938049590413364
1457,"Penalized ML",0.13150965060840816
1458,"Penalized ML",0.13247936076219183
1459,"Penalized ML",0.13223317943505158
1460,"Penalized ML",0.12907258585317768
1461,"Penalized ML",0.12725451435417262
1462,"Penalized ML",0.12422416024573314
1463,"Penalized ML",0.12288022040051595
1464,"Penalized ML",0.12286610855855977
1465,"Penalized ML",0.12195271895552937
1466,"Penalized ML",0.12115467848570524
1467,"Penalized ML",0.123500590399104
1468,"Penalized ML",0.12663451326007572
1469,"Penalized ML",0.1276041607980336
1470,"Penalized ML",0.12826853025232546
1471,"Penalized ML",0.12931289638565358
1472,"Penalized ML",0.13087058200923002
1473,"Penalized ML",0.13262824402978998
1474,"Penalized ML",0.13430687711157518
1475,"Penalized ML",0.13444925305507435
1476,"Penalized ML",0.13595540702278033
1477,"Penalized ML",0.13968781659796828
1478,"Penalized ML",0.14204912267687583
1479,"Penalized ML",0.14455565115118377
1480,"Penalized ML",0.14979924394307872
1481,"Penalized ML",0.15698259171284032
1482,"Penalized ML",0.1618105372113054
1483,"Penalized ML",0.16589391146872615
1484,"Penalized ML",0.16871691271260983
1485,"Penalized ML",0.17116860613594823
1486,"Penalized ML",0.17150488169678463
1487,"Penalized ML",0.17051332993483204
1488,"Penalized ML",0.17272165610825874
1489,"Penalized ML",0.1755673606878407
1490,"Penalized ML",0.17749806237578314
