"year","coefficient","value"
1368,"Penalized ML",11.487803096869438
1369,"Penalized ML",11.458691704566055
1370,"Penalized ML",11.449134833273819
1371,"Penalized ML",11.414804982894495
1372,"Penalized ML",11.498616637416301
1373,"Penalized ML",11.366435622408058
1374,"Penalized ML",11.46862164642618
1375,"Penalized ML",11.53211454593167
1376,"Penalized ML",11.491968219491941
1377,"Penalized ML",11.453969313998023
1378,"Penalized ML",11.390617272358506
1379,"Penalized ML",11.402928450659966
1380,"Penalized ML",11.42487543973781
1381,"Penalized ML",11.498614071763859
1382,"Penalized ML",11.560604380804268
1383,"Penalized ML",11.584259925987364
1384,"Penalized ML",11.69206654342645
1385,"Penalized ML",11.643886055263474
1386,"Penalized ML",11.673607897998455
1387,"Penalized ML",11.605843974265094
1388,"Penalized ML",11.539171237069926
1389,"Penalized ML",11.478392316134409
1390,"Penalized ML",11.414363052879182
1391,"Penalized ML",11.437843285415461
1392,"Penalized ML",11.493443552613428
1393,"Penalized ML",11.453240046512382
1394,"Penalized ML",11.388829463571266
1395,"Penalized ML",11.43355485334916
1396,"Penalized ML",11.35172307315012
1397,"Penalized ML",11.336443481564709
1398,"Penalized ML",11.280632382270513
1399,"Penalized ML",11.483952871739845
1400,"Penalized ML",11.44081912328265
1401,"Penalized ML",11.401456260531393
1402,"Penalized ML",11.463243917919542
1403,"Penalized ML",11.62908150269567
1404,"Penalized ML",11.559890992601789
1405,"Penalized ML",11.469350617240904
1406,"Penalized ML",11.297736738125135
1407,"Penalized ML",11.247486487494998
1408,"Penalized ML",11.357976167139636
1409,"Penalized ML",11.478089381609074
1410,"Penalized ML",11.48811851542673
1411,"Penalized ML",11.412007603857584
1412,"Penalized ML",11.380952744801272
1413,"Penalized ML",11.497276755079143
1414,"Penalized ML",11.549537205798968
1415,"Penalized ML",11.506463193079997
1416,"Penalized ML",11.500851850613165
1417,"Penalized ML",11.488110250770426
1418,"Penalized ML",11.421000711540064
1419,"Penalized ML",11.40078793109639
1420,"Penalized ML",11.355466117719557
1421,"Penalized ML",11.425767650774882
1422,"Penalized ML",11.433934005148995
1423,"Penalized ML",11.346633874579831
1424,"Penalized ML",11.405139478425017
1425,"Penalized ML",11.28435103275364
1426,"Penalized ML",11.329440222615093
1427,"Penalized ML",11.433596169523202
1428,"Penalized ML",11.438310545510276
1429,"Penalized ML",11.357831767171598
1430,"Penalized ML",11.475139082079728
1431,"Penalized ML",11.601659668127521
1432,"Penalized ML",11.523931972087714
1433,"Penalized ML",11.591239113636703
1434,"Penalized ML",11.531591174969192
1435,"Penalized ML",11.47990230682672
1436,"Penalized ML",11.350354545595994
1437,"Penalized ML",11.358404863092911
1438,"Penalized ML",11.386024550618192
1439,"Penalized ML",11.52874020861287
1440,"Penalized ML",11.534286882721652
1441,"Penalized ML",11.47308843120217
1442,"Penalized ML",11.37916352860172
1443,"Penalized ML",11.464904556761857
1444,"Penalized ML",11.513628192797913
1445,"Penalized ML",11.667799874786892
1446,"Penalized ML",11.599191221508987
1447,"Penalized ML",11.533973784452499
1448,"Penalized ML",11.460642992086788
1449,"Penalized ML",11.512205868151467
1450,"Penalized ML",11.616022411118637
1451,"Penalized ML",11.568805456932445
1452,"Penalized ML",11.279218387340638
1453,"Penalized ML",11.07157813997691
1454,"Penalized ML",11.054390319469674
1455,"Penalized ML",11.144694543009505
1456,"Penalized ML",11.235528057055783
1457,"Penalized ML",11.28876868934923
1458,"Penalized ML",11.134457236344302
1459,"Penalized ML",10.843107674521448
1460,"Penalized ML",10.64487069775851
1461,"Penalized ML",10.910638893262384
1462,"Penalized ML",10.9963253988727
1463,"Penalized ML",11.1574305427057
1464,"Penalized ML",11.23954472244243
1465,"Penalized ML",11.357712365077516
1466,"Penalized ML",11.270779241639042
1467,"Penalized ML",11.246118008265059
1468,"Penalized ML",11.337801229316979
1469,"Penalized ML",11.363861807957838
1470,"Penalized ML",11.26984931841933
1471,"Penalized ML",11.261230620442285
1472,"Penalized ML",11.292459876675412
1473,"Penalized ML",11.276950536539045
1474,"Penalized ML",11.402760949174368
1475,"Penalized ML",11.394423227104502
1476,"Penalized ML",11.24655334355298
1477,"Penalized ML",11.1621006427146
1478,"Penalized ML",11.20697357288823
1479,"Penalized ML",11.124875428685474
1480,"Penalized ML",11.126381443227446
1481,"Penalized ML",11.084632452785051
1482,"Penalized ML",11.066758127747201
1483,"Penalized ML",11.03492268378967
1484,"Penalized ML",11.227898674153908
1485,"Penalized ML",11.257998745835629
1486,"Penalized ML",11.428500074726204
1487,"Penalized ML",11.382726635864056
1488,"Penalized ML",11.563449645504317
1489,"Penalized ML",11.414708363212407
1490,"Penalized ML",11.402638720468515
1491,"Penalized ML",11.410791083595706
1492,"Penalized ML",11.465951305087103
1493,"Penalized ML",11.36429153720257
1494,"Penalized ML",11.295796990590272
1495,"Penalized ML",11.417427676443053
1496,"Penalized ML",11.466484203334478
1497,"Penalized ML",11.516153728168298
1498,"Penalized ML",11.44716226424036
1499,"Penalized ML",11.475309780852628
1500,"Penalized ML",11.50276320347146
1501,"Penalized ML",11.509034212494061
1502,"Penalized ML",11.530759844508705
1503,"Penalized ML",11.532840195385726
1504,"Penalized ML",11.520559353534521
1505,"Penalized ML",11.504047654876826
1506,"Penalized ML",11.528204585463063
1507,"Penalized ML",11.560930028739204
1508,"Penalized ML",11.657139203807962
1509,"Penalized ML",11.540935930572978
1510,"Penalized ML",11.550987990091276
1511,"Penalized ML",11.597265894247657
1512,"Penalized ML",11.586655319820142
1513,"Penalized ML",11.471047684819789
1514,"Penalized ML",11.498854574401374
1515,"Penalized ML",11.541880697624384
1516,"Penalized ML",11.523061326649641
1517,"Penalized ML",11.420495201571063
1518,"Penalized ML",11.488392129593763
1519,"Penalized ML",11.498684875095105
1520,"Penalized ML",11.587848014724221
1521,"Penalized ML",11.594924685356084
1522,"Penalized ML",11.504999490353699
1523,"Penalized ML",11.463921639031373
1524,"Penalized ML",11.506053820536634
1525,"Penalized ML",11.425669581924923
1526,"Penalized ML",11.48314293188247
1527,"Penalized ML",11.362874351145877
1528,"Penalized ML",11.423443188331925
1529,"Penalized ML",11.453665384140105
1530,"Penalized ML",11.47064240059561
1531,"Penalized ML",11.532634715173213
1532,"Penalized ML",11.55927051206574
1533,"Penalized ML",11.563593359417958
1534,"Penalized ML",11.58177021311333
1535,"Penalized ML",11.654773162457085
1536,"Penalized ML",11.572621680069627
1537,"Penalized ML",11.538738267006712
1538,"Penalized ML",11.505725480766372
1539,"Penalized ML",11.397911928648021
1540,"Penalized ML",11.357605412241643
1541,"Penalized ML",11.468069793640337
1542,"Penalized ML",11.365088434208703
1543,"Penalized ML",11.31428508350043
1544,"Penalized ML",11.361194779091809
1545,"Penalized ML",11.454853391922073
1546,"Penalized ML",11.58946059402884
1547,"Penalized ML",11.56789358168114
1548,"Penalized ML",11.465478607223414
1549,"Penalized ML",11.444323475488396
1550,"Penalized ML",11.574810531588662
1551,"Penalized ML",11.605695736693383
1552,"Penalized ML",11.696890833327174
1553,"Penalized ML",11.620776865912886
1554,"Penalized ML",11.45662498462462
1555,"Penalized ML",11.491769143509025
1556,"Penalized ML",11.40771703922822
1557,"Penalized ML",11.398172385580422
1558,"Penalized ML",11.435242270147674
1559,"Penalized ML",11.436243124129437
1560,"Penalized ML",11.419604323688105
1561,"Penalized ML",11.428864563629912
1562,"Penalized ML",11.616843011304672
1563,"Penalized ML",11.531481185425902
1564,"Penalized ML",11.481593774970385
1565,"Penalized ML",11.59346283592636
1566,"Penalized ML",11.401666156397335
1567,"Penalized ML",11.367647540316906
1568,"Penalized ML",11.411812082794594
1569,"Penalized ML",11.480443567238947
1570,"Penalized ML",11.418489302769443
1571,"Penalized ML",11.40392218415769
1572,"Penalized ML",11.480418791794209
1573,"Penalized ML",11.453258966559293
1574,"Penalized ML",11.558240893332318
1575,"Penalized ML",11.558061529232113
1576,"Penalized ML",11.443534475095637
1577,"Penalized ML",11.419444210607773
1578,"Penalized ML",11.427069470391356
1579,"Penalized ML",11.447987122880361
1580,"Penalized ML",11.40712879781835
1581,"Penalized ML",11.276992122454983
1582,"Penalized ML",11.387950401122238
1583,"Penalized ML",11.340646469870563
1584,"Penalized ML",11.079921914839383
1585,"Penalized ML",10.842205938752288
1586,"Penalized ML",10.800392943249348
1587,"Penalized ML",11.021665926560123
1588,"Penalized ML",11.124262052571575
1589,"Penalized ML",11.170810380660159
1590,"Penalized ML",11.137333683051848
1591,"Penalized ML",11.30269668697988
1592,"Penalized ML",11.297575415959551
1593,"Penalized ML",11.260356693947147
1594,"Penalized ML",11.276340074117645
1595,"Penalized ML",11.290049130758774
1596,"Penalized ML",11.3864047848628
1597,"Penalized ML",11.391043609372426
1598,"Penalized ML",11.387830319329854
1599,"Penalized ML",11.26358386092735
1600,"Penalized ML",10.862671020070259
1601,"Penalized ML",10.70220535198974
1602,"Penalized ML",10.912857980930587
1603,"Penalized ML",11.36713780896982
1604,"Penalized ML",11.436175957534921
1605,"Penalized ML",11.217171333181955
1606,"Penalized ML",11.137541296794737
1607,"Penalized ML",11.021869510621869
1608,"Penalized ML",11.11411778813286
1609,"Penalized ML",11.098000326472276
1610,"Penalized ML",11.024230752653265
1611,"Penalized ML",11.038740935384974
1612,"Penalized ML",11.230764277954785
1613,"Penalized ML",11.257765377533575
1614,"Penalized ML",11.220494304164403
1615,"Penalized ML",11.271851381022525
1616,"Penalized ML",11.344389235924474
1617,"Penalized ML",11.321538650189542
1618,"Penalized ML",11.329089700095276
