"year","coefficient","value"
1368,"Penalized ML",16.354072617560664
1369,"Penalized ML",16.30038375114466
1370,"Penalized ML",16.124765937397285
1371,"Penalized ML",16.041318151319324
1372,"Penalized ML",16.252907800479527
1373,"Penalized ML",16.15043872589557
1374,"Penalized ML",16.227610243157702
1375,"Penalized ML",16.289144096143016
1376,"Penalized ML",16.181882636436004
1377,"Penalized ML",16.119014612168158
1378,"Penalized ML",16.1491357868773
1379,"Penalized ML",16.17111907464276
1380,"Penalized ML",16.167397130825773
1381,"Penalized ML",16.281510676668887
1382,"Penalized ML",16.364880964869432
1383,"Penalized ML",16.40088343474144
1384,"Penalized ML",16.419957127153136
1385,"Penalized ML",16.252713956928087
1386,"Penalized ML",16.281307113543452
1387,"Penalized ML",16.424923789738624
1388,"Penalized ML",16.333432430362777
1389,"Penalized ML",16.310412350372353
1390,"Penalized ML",16.135484130822082
1391,"Penalized ML",16.261069092064236
1392,"Penalized ML",16.199887771604764
1393,"Penalized ML",16.250724572599477
1394,"Penalized ML",16.26162153234279
1395,"Penalized ML",16.143845795055217
1396,"Penalized ML",16.050501613960375
1397,"Penalized ML",16.093964899030635
1398,"Penalized ML",16.12827155894041
1399,"Penalized ML",16.161328620843864
1400,"Penalized ML",16.12781708331406
1401,"Penalized ML",16.08443259158784
1402,"Penalized ML",16.145973360389625
1403,"Penalized ML",16.24927915754309
1404,"Penalized ML",16.221577961923472
1405,"Penalized ML",16.297985394165945
1406,"Penalized ML",16.095993950903075
1407,"Penalized ML",16.110464368803886
1408,"Penalized ML",16.278030833860623
1409,"Penalized ML",16.35970154469733
1410,"Penalized ML",16.21951890384395
1411,"Penalized ML",16.196565177090932
1412,"Penalized ML",16.182868942206778
1413,"Penalized ML",16.152759272251966
1414,"Penalized ML",16.14454969466274
1415,"Penalized ML",16.235834152896675
1416,"Penalized ML",16.235608925082875
1417,"Penalized ML",16.132978899932304
1418,"Penalized ML",15.988165232109477
1419,"Penalized ML",16.08103843857523
1420,"Penalized ML",16.110993592224055
1421,"Penalized ML",16.170396818134535
1422,"Penalized ML",16.24643943135645
1423,"Penalized ML",16.178722639540172
1424,"Penalized ML",16.221640906420557
1425,"Penalized ML",16.256585866944015
1426,"Penalized ML",16.125276912410975
1427,"Penalized ML",16.064707183590922
1428,"Penalized ML",16.09060203670903
1429,"Penalized ML",16.090360879002272
1430,"Penalized ML",16.20401517038767
1431,"Penalized ML",16.332946468040564
1432,"Penalized ML",16.24869239017389
1433,"Penalized ML",16.221731007289804
1434,"Penalized ML",16.132192518848914
1435,"Penalized ML",16.077806817235878
1436,"Penalized ML",16.113901633002172
1437,"Penalized ML",16.16652201282055
1438,"Penalized ML",16.266621440318847
1439,"Penalized ML",16.19160403305366
1440,"Penalized ML",16.144966985447
1441,"Penalized ML",16.127755813965763
1442,"Penalized ML",16.124145713633297
1443,"Penalized ML",16.097383575212824
1444,"Penalized ML",16.21849427575583
1445,"Penalized ML",16.269898651686926
1446,"Penalized ML",16.293211636583063
1447,"Penalized ML",16.126715624626318
1448,"Penalized ML",16.070051988546023
1449,"Penalized ML",16.152176263106593
1450,"Penalized ML",16.199632384159926
1451,"Penalized ML",16.108244797443707
1452,"Penalized ML",15.61271211911574
1453,"Penalized ML",15.312943682768447
1454,"Penalized ML",15.64712616389095
1455,"Penalized ML",15.825134197212357
1456,"Penalized ML",15.923572103926054
1457,"Penalized ML",16.084331241382042
1458,"Penalized ML",15.8496225428459
1459,"Penalized ML",15.491972012896222
1460,"Penalized ML",15.348513698187901
1461,"Penalized ML",15.640369585608731
1462,"Penalized ML",15.822056765987073
1463,"Penalized ML",15.928526728234758
1464,"Penalized ML",16.015957856224958
1465,"Penalized ML",16.10436910501472
1466,"Penalized ML",16.141800636937532
1467,"Penalized ML",16.086703236328876
1468,"Penalized ML",16.274611670267937
1469,"Penalized ML",16.252024697452175
1470,"Penalized ML",16.189484414807477
1471,"Penalized ML",16.14943214656485
1472,"Penalized ML",16.14646313900323
1473,"Penalized ML",16.056187745296743
1474,"Penalized ML",16.145859964433228
1475,"Penalized ML",16.228018282369803
1476,"Penalized ML",16.028482093759703
1477,"Penalized ML",15.866570346987643
1478,"Penalized ML",16.015590055928346
1479,"Penalized ML",16.048407052843608
1480,"Penalized ML",15.939339149370808
1481,"Penalized ML",15.941066689354429
