"year","coefficient","value"
1368,"Penalized ML",0.31961881653295393
1369,"Penalized ML",0.31858533300026737
1370,"Penalized ML",0.31687392237628936
1371,"Penalized ML",0.3134224249690513
1372,"Penalized ML",0.3105894669231153
1373,"Penalized ML",0.3075374579725341
1374,"Penalized ML",0.30413005468093335
1375,"Penalized ML",0.3032803999385027
1376,"Penalized ML",0.30087183192931066
1377,"Penalized ML",0.3006223190678409
1378,"Penalized ML",0.30154529600851704
1379,"Penalized ML",0.3016516213196353
1380,"Penalized ML",0.3011381088959347
1381,"Penalized ML",0.2998589458944568
1382,"Penalized ML",0.29825770564782556
1383,"Penalized ML",0.2980964499942354
1384,"Penalized ML",0.29764240858194657
1385,"Penalized ML",0.295848767046542
1386,"Penalized ML",0.2928545549165759
1387,"Penalized ML",0.2894910279514665
1388,"Penalized ML",0.28287435670598504
1389,"Penalized ML",0.27502369638524354
1390,"Penalized ML",0.26533594414399003
1391,"Penalized ML",0.2568771587791579
1392,"Penalized ML",0.2485536783322699
1393,"Penalized ML",0.24200534481803732
1394,"Penalized ML",0.2338092352887861
1395,"Penalized ML",0.22801287332528894
1396,"Penalized ML",0.22468379486878234
1397,"Penalized ML",0.22424086498721296
1398,"Penalized ML",0.22414466286813733
1399,"Penalized ML",0.2247837967367444
1400,"Penalized ML",0.22387710595348156
1401,"Penalized ML",0.22242293979466354
1402,"Penalized ML",0.22190391640008442
1403,"Penalized ML",0.22199363125624602
1404,"Penalized ML",0.21976626763865525
1405,"Penalized ML",0.21672305351641846
1406,"Penalized ML",0.21393685307691915
1407,"Penalized ML",0.21224424461002428
1408,"Penalized ML",0.21050993038139368
1409,"Penalized ML",0.21270708725937046
1410,"Penalized ML",0.21236062025126526
1411,"Penalized ML",0.21431471861888762
1412,"Penalized ML",0.21601944371349782
1413,"Penalized ML",0.21826432374122687
1414,"Penalized ML",0.22024020571511072
1415,"Penalized ML",0.22079812573952645
1416,"Penalized ML",0.22115423490216418
1417,"Penalized ML",0.22170304500099955
1418,"Penalized ML",0.22294814058032525
1419,"Penalized ML",0.224149263779157
1420,"Penalized ML",0.22589872862185703
1421,"Penalized ML",0.2241248635133044
1422,"Penalized ML",0.22247796020529306
1423,"Penalized ML",0.22119473996506964
1424,"Penalized ML",0.22056482383603357
1425,"Penalized ML",0.2216794862620166
1426,"Penalized ML",0.22032040906678452
1427,"Penalized ML",0.2205926050465956
1428,"Penalized ML",0.22126937009273204
1429,"Penalized ML",0.22102429643610014
1430,"Penalized ML",0.2185970720786093
1431,"Penalized ML",0.21779683574510875
1432,"Penalized ML",0.21694416610416972
1433,"Penalized ML",0.21797997040646216
1434,"Penalized ML",0.21743180940930915
1435,"Penalized ML",0.21580764804290611
1436,"Penalized ML",0.2165543068674403
1437,"Penalized ML",0.21837857492618906
1438,"Penalized ML",0.21942890712275928
1439,"Penalized ML",0.2219171376484096
1440,"Penalized ML",0.22502105681442944
1441,"Penalized ML",0.2276997861526518
1442,"Penalized ML",0.22999834107970316
1443,"Penalized ML",0.232953054885562
1444,"Penalized ML",0.23387687574535027
1445,"Penalized ML",0.23717735543276772
1446,"Penalized ML",0.23933004331145816
1447,"Penalized ML",0.24185206362979264
1448,"Penalized ML",0.24364065679484131
1449,"Penalized ML",0.2450195570107024
1450,"Penalized ML",0.2436922273360695
1451,"Penalized ML",0.24701644649064503
1452,"Penalized ML",0.25125550366205596
1453,"Penalized ML",0.2536288458837498
1454,"Penalized ML",0.25489098355635054
1455,"Penalized ML",0.25428997299421446
1456,"Penalized ML",0.2543775670050335
1457,"Penalized ML",0.25352400617071513
1458,"Penalized ML",0.2512677917980577
1459,"Penalized ML",0.25165936508159065
1460,"Penalized ML",0.25151579721648726
1461,"Penalized ML",0.25256045795063503
1462,"Penalized ML",0.25391895275800114
1463,"Penalized ML",0.253576611370958
1464,"Penalized ML",0.2527489174350733
1465,"Penalized ML",0.25057640546960536
1466,"Penalized ML",0.24784450348605272
1467,"Penalized ML",0.24481493813495406
1468,"Penalized ML",0.24280997031522578
1469,"Penalized ML",0.24119425641078573
1470,"Penalized ML",0.23949177839376598
1471,"Penalized ML",0.24119958199936703
1472,"Penalized ML",0.24310336999202836
1473,"Penalized ML",0.24387851122510135
1474,"Penalized ML",0.24614021009191797
1475,"Penalized ML",0.2481048249994814
1476,"Penalized ML",0.24830378042614162
1477,"Penalized ML",0.24925347671784248
1478,"Penalized ML",0.24924694842877437
1479,"Penalized ML",0.24922003456616898
1480,"Penalized ML",0.24835835646905252
1481,"Penalized ML",0.2486240553215335
1482,"Penalized ML",0.2496256660148037
1483,"Penalized ML",0.24916431106079437
1484,"Penalized ML",0.24908907338559147
1485,"Penalized ML",0.24913872559826283
1486,"Penalized ML",0.24786517694297389
1487,"Penalized ML",0.245822230888615
1488,"Penalized ML",0.2414116656035633
1489,"Penalized ML",0.24209832409037343
1490,"Penalized ML",0.2413365882478801
1491,"Penalized ML",0.2379676609311587
1492,"Penalized ML",0.23337383068050963
1493,"Penalized ML",0.23271821897934591
1494,"Penalized ML",0.2316710054942147
1495,"Penalized ML",0.22966812998837052
1496,"Penalized ML",0.22460397542729904
1497,"Penalized ML",0.22160875562707888
1498,"Penalized ML",0.2161394626970755
1499,"Penalized ML",0.21153410588481222
1500,"Penalized ML",0.20784679493787087
1501,"Penalized ML",0.20505175434945144
1502,"Penalized ML",0.1999940200499085
1503,"Penalized ML",0.19638791926402638
1504,"Penalized ML",0.1965331323119089
1505,"Penalized ML",0.1992604812382791
1506,"Penalized ML",0.19965656223023664
1507,"Penalized ML",0.20164753737950183
1508,"Penalized ML",0.2064959540791907
1509,"Penalized ML",0.2114319493820177
1510,"Penalized ML",0.21565175144827636
1511,"Penalized ML",0.2181089971269596
1512,"Penalized ML",0.22136038085179627
1513,"Penalized ML",0.22332245353872202
1514,"Penalized ML",0.22619558173282964
1515,"Penalized ML",0.22633742421221764
1516,"Penalized ML",0.22890057175679013
1517,"Penalized ML",0.23190728489713439
1518,"Penalized ML",0.2344087215118611
1519,"Penalized ML",0.23768398097922752
1520,"Penalized ML",0.2393460983273764
1521,"Penalized ML",0.24092070957508754
1522,"Penalized ML",0.24035786600832204
1523,"Penalized ML",0.24170861634483834
1524,"Penalized ML",0.24472297194392445
1525,"Penalized ML",0.24707984238788044
1526,"Penalized ML",0.2506622214667757
1527,"Penalized ML",0.255796889603522
1528,"Penalized ML",0.2615092896825398
1529,"Penalized ML",0.2689899313761328
1530,"Penalized ML",0.2753338233666214
1531,"Penalized ML",0.2751734274883168
1532,"Penalized ML",0.27615693174982403
1533,"Penalized ML",0.2789553797591383
1534,"Penalized ML",0.28402532755601845
1535,"Penalized ML",0.29064496399675493
1536,"Penalized ML",0.2943358921976957
1537,"Penalized ML",0.29579643487908136
1538,"Penalized ML",0.297396519473187
1539,"Penalized ML",0.2989635638098146
1540,"Penalized ML",0.30108814775422965
1541,"Penalized ML",0.3037272529905664
1542,"Penalized ML",0.3062517605414875
1543,"Penalized ML",0.3081423324100556
1544,"Penalized ML",0.30970602090962246
1545,"Penalized ML",0.3096430975802904
