"year","coefficient","value"
1368,"Penalized ML",0.18288076993703875
1369,"Penalized ML",0.18249380225416037
1370,"Penalized ML",0.1832199424146981
1371,"Penalized ML",0.1823725248280291
1372,"Penalized ML",0.18329636613234762
1373,"Penalized ML",0.18367491936587713
1374,"Penalized ML",0.18450969552947522
1375,"Penalized ML",0.18428540468509189
1376,"Penalized ML",0.18188267964025312
1377,"Penalized ML",0.17892780070865857
1378,"Penalized ML",0.1775026067913245
1379,"Penalized ML",0.17567454333837235
1380,"Penalized ML",0.1739806502643412
1381,"Penalized ML",0.1724817601337755
1382,"Penalized ML",0.16910345931512408
1383,"Penalized ML",0.16455037463878874
1384,"Penalized ML",0.1619488055983895
1385,"Penalized ML",0.16263562604215515
1386,"Penalized ML",0.162110804598614
1387,"Penalized ML",0.16092811530761753
1388,"Penalized ML",0.16148825810835418
1389,"Penalized ML",0.160887195882821
1390,"Penalized ML",0.16276755398144424
1391,"Penalized ML",0.16230356106017998
1392,"Penalized ML",0.1637325741721881
1393,"Penalized ML",0.16264666343641662
1394,"Penalized ML",0.16169013110561925
1395,"Penalized ML",0.15988191022880022
1396,"Penalized ML",0.1578894111569208
1397,"Penalized ML",0.15807007225450057
1398,"Penalized ML",0.1596441463620095
1399,"Penalized ML",0.159897313338728
1400,"Penalized ML",0.15824951428596373
1401,"Penalized ML",0.15655280193443222
1402,"Penalized ML",0.15689758781547183
1403,"Penalized ML",0.15875984662933126
1404,"Penalized ML",0.1616947358506668
1405,"Penalized ML",0.16336038517592044
1406,"Penalized ML",0.16580444828209856
1407,"Penalized ML",0.1664148958979741
1408,"Penalized ML",0.16727272296123866
1409,"Penalized ML",0.16682152789021096
1410,"Penalized ML",0.1654218949522371
1411,"Penalized ML",0.16574771324545898
1412,"Penalized ML",0.16333532876632528
1413,"Penalized ML",0.1633082619810706
1414,"Penalized ML",0.16125568064370227
1415,"Penalized ML",0.15893181061482817
1416,"Penalized ML",0.15839684207468324
1417,"Penalized ML",0.1556166058404682
1418,"Penalized ML",0.15483211710743425
1419,"Penalized ML",0.15456133297168498
1420,"Penalized ML",0.15262965115611282
1421,"Penalized ML",0.14969907021214843
1422,"Penalized ML",0.14902675569629986
1423,"Penalized ML",0.1466706528923026
1424,"Penalized ML",0.14569149657207559
1425,"Penalized ML",0.14696164402980152
1426,"Penalized ML",0.1466176003819229
1427,"Penalized ML",0.14797287899444672
1428,"Penalized ML",0.14522975693238419
1429,"Penalized ML",0.14303222482437297
1430,"Penalized ML",0.14013016383490212
1431,"Penalized ML",0.13597569400837167
1432,"Penalized ML",0.13223069196714832
1433,"Penalized ML",0.12841014115339672
1434,"Penalized ML",0.1276275617941472
1435,"Penalized ML",0.1264396921920363
1436,"Penalized ML",0.12328570288696152
1437,"Penalized ML",0.12428862977319408
1438,"Penalized ML",0.12529978520967783
1439,"Penalized ML",0.1276905610476498
1440,"Penalized ML",0.12794288438201307
1441,"Penalized ML",0.12743851881886933
1442,"Penalized ML",0.1279545909449071
1443,"Penalized ML",0.12668543855716632
1444,"Penalized ML",0.12821815347331494
1445,"Penalized ML",0.12773937592721918
1446,"Penalized ML",0.12639490958699887
1447,"Penalized ML",0.12336830360085495
1448,"Penalized ML",0.12290856732898629
1449,"Penalized ML",0.12228038177332366
1450,"Penalized ML",0.12167692435573797
1451,"Penalized ML",0.11852771043242398
1452,"Penalized ML",0.11469269655263421
1453,"Penalized ML",0.1053891666352554
1454,"Penalized ML",0.10360028353506609
1455,"Penalized ML",0.10092036915906892
1456,"Penalized ML",0.09849376624973362
1457,"Penalized ML",0.0979852257231755
1458,"Penalized ML",0.0972940765496666
1459,"Penalized ML",0.09694350866441048
1460,"Penalized ML",0.09592603643118401
1461,"Penalized ML",0.09492589425270329
1462,"Penalized ML",0.09127039408249497
