"year","coefficient","value"
1368,"Penalized ML",0.1788412567522408
1368,"ML",0.2068245633056262
1369,"Penalized ML",0.1784359181535992
1369,"ML",-0.35797564100459556
1370,"Penalized ML",0.18121659428316358
1370,"ML",0.38027137684539947
1371,"Penalized ML",0.1826807089750495
1371,"ML",0.11577239793311218
1372,"Penalized ML",0.18576836557687523
1372,"ML",0.18551788397088323
1373,"Penalized ML",0.1894921098896262
1373,"ML",0.5617293749618381
1374,"Penalized ML",0.19194072450901772
1374,"ML",0.11894320054810556
1375,"Penalized ML",0.1948816775915011
1375,"ML",0.45015859073893427
1376,"Penalized ML",0.1958680840265419
1376,"ML",0.0045537392181646255
1377,"Penalized ML",0.19733446886883985
1377,"ML",0.47832586767834995
1378,"Penalized ML",0.19710689232771145
1378,"ML",0.2680845290057623
1379,"Penalized ML",0.19651175985309408
1379,"ML",0.40505668946073875
1380,"Penalized ML",0.1937459714140969
1380,"ML",-0.008481870454826011
1381,"Penalized ML",0.19385811259477792
1381,"ML",0.04694787398992694
1382,"Penalized ML",0.1947043285259104
1382,"ML",-0.06939386420203046
1383,"Penalized ML",0.19635223296919377
1383,"ML",0.349338303535671
1384,"Penalized ML",0.1971061954106448
1384,"ML",0.2365862414483404
1385,"Penalized ML",0.19821245822613318
1385,"ML",0.3926669480388735
1386,"Penalized ML",0.19810937006981763
1386,"ML",0.7837772230204716
1387,"Penalized ML",0.19565081804615764
1387,"ML",0.4551586976206543
1388,"Penalized ML",0.19067559528532543
1388,"ML",0.04494965459719136
1389,"Penalized ML",0.18707547176999365
1389,"ML",0.30909866480153475
1390,"Penalized ML",0.18303222093248922
1390,"ML",0.1448448807772262
1391,"Penalized ML",0.1797955934689075
1391,"ML",0.4121561455099643
1392,"Penalized ML",0.1757709506136384
1392,"ML",0.4440847085024387
1393,"Penalized ML",0.17040739584682188
1393,"ML",0.14266051452191716
1394,"Penalized ML",0.16524223676957212
1394,"ML",0.5294625365059534
1395,"Penalized ML",0.1592017007741994
1395,"ML",-0.1869724674310674
1396,"Penalized ML",0.15596687542413842
1396,"ML",0.12824714802313406
1397,"Penalized ML",0.1529344746276106
1397,"ML",-0.10928028294274868
1398,"Penalized ML",0.15109476328653015
1398,"ML",-0.06581193193896202
1399,"Penalized ML",0.15022120848986886
1399,"ML",-0.11694919171847491
1400,"Penalized ML",0.1519974038832774
1400,"ML",0.25732464829965646
1401,"Penalized ML",0.15275360256273493
1401,"ML",0.17504760934946423
1402,"Penalized ML",0.1534100681403196
1402,"ML",0.05172218619942818
1403,"Penalized ML",0.15462520360771131
1403,"ML",0.4003955485720331
1404,"Penalized ML",0.1540201743604463
1404,"ML",0.21548831166059648
1405,"Penalized ML",0.15335817707477462
1405,"ML",0.006551637381733456
1406,"Penalized ML",0.15498327134675868
1406,"ML",0.2202352745243852
1407,"Penalized ML",0.15584727331108195
1407,"ML",-0.07414518254089246
1408,"Penalized ML",0.1583669826021137
1408,"ML",0.3353817980737668
1409,"Penalized ML",0.15975190487744861
1409,"ML",0.18154775887684152
1410,"Penalized ML",0.16141966338494987
1410,"ML",0.32006774325320136
1411,"Penalized ML",0.16258417673059763
1411,"ML",-0.029820596018893475
1412,"Penalized ML",0.16445831647943268
1412,"ML",0.13415963871365086
1413,"Penalized ML",0.1667568710133638
1413,"ML",0.19413966773754993
1414,"Penalized ML",0.16881333823966005
1414,"ML",0.36656002510429164
1415,"Penalized ML",0.170382177176495
1415,"ML",-0.4847644467761223
1416,"Penalized ML",0.17440666826067508
1416,"ML",0.3924046817445224
1417,"Penalized ML",0.1745185703913854
1417,"ML",0.4085471937109929
1418,"Penalized ML",0.17332576311322975
1418,"ML",0.061814414716667404
1419,"Penalized ML",0.17314760796119866
1419,"ML",1.0922303158017048
1420,"Penalized ML",0.17208677681013546
1420,"ML",0.42942913388061094
1421,"Penalized ML",0.16780991563954825
1421,"ML",-0.0351813138314179
1422,"Penalized ML",0.16480991200654072
1422,"ML",0.09840624972464758
1423,"Penalized ML",0.16249767879322694
1423,"ML",0.8572184373186297
1424,"Penalized ML",0.15745162482280808
1424,"ML",0.0817554421008741
1425,"Penalized ML",0.1527696302121777
1425,"ML",0.03355521737615446
1426,"Penalized ML",0.14942401450154272
1426,"ML",-0.04574253975737781
1427,"Penalized ML",0.14694587359011058
1427,"ML",0.6581666478598964
1428,"Penalized ML",0.14286820242931772
