"year","coefficient","value"
1369,"FLasso",11.685132128176596
1370,"FLasso",11.685132128176596
1371,"FLasso",11.685132128176596
1372,"FLasso",11.685132128176596
1373,"FLasso",11.685132128176596
1374,"FLasso",11.685132128176596
1375,"FLasso",11.685132128176596
1376,"FLasso",11.685132128176596
1377,"FLasso",11.685132128176596
1378,"FLasso",11.685132128176596
1379,"FLasso",11.685132128176596
1380,"FLasso",11.685132128176596
1381,"FLasso",11.724941553361438
1382,"FLasso",11.730840855106646
1383,"FLasso",11.730840855106646
1384,"FLasso",11.730840855106646
1385,"FLasso",11.730840855106646
1386,"FLasso",11.730840855106646
1387,"FLasso",11.730840855106646
1388,"FLasso",11.730840855106646
1389,"FLasso",11.730840855106646
1390,"FLasso",11.7030795908293
1391,"FLasso",11.7030795908293
1392,"FLasso",11.7030795908293
1393,"FLasso",11.7030795908293
1394,"FLasso",11.624284609990882
1395,"FLasso",11.624284609990882
1396,"FLasso",11.585411324976329
1397,"FLasso",11.585411324976329
1398,"FLasso",11.551397157853055
1399,"FLasso",11.707925439692891
1400,"FLasso",11.707925439692891
1401,"FLasso",11.707925439692891
1402,"FLasso",11.707925439692891
1403,"FLasso",11.707925439692891
1404,"FLasso",11.707925439692891
1405,"FLasso",11.707925439692891
1406,"FLasso",11.526744997741922
1407,"FLasso",11.526744997741922
1408,"FLasso",11.547319161050938
1409,"FLasso",11.653720486776377
1410,"FLasso",11.653720486776377
1411,"FLasso",11.653720486776377
1412,"FLasso",11.653720486776377
1413,"FLasso",11.687722917719427
1414,"FLasso",11.687722917719427
1415,"FLasso",11.687722917719427
1416,"FLasso",11.687722917719427
1417,"FLasso",11.687722917719427
1418,"FLasso",11.6739662394644
1419,"FLasso",11.6739662394644
1420,"FLasso",11.6739662394644
1421,"FLasso",11.6739662394644
1422,"FLasso",11.6739662394644
1423,"FLasso",11.6739662394644
1424,"FLasso",11.6739662394644
1425,"FLasso",11.6398978531285
1426,"FLasso",11.6398978531285
1427,"FLasso",11.70444839253555
1428,"FLasso",11.70444839253555
1429,"FLasso",11.70444839253555
1430,"FLasso",11.70444839253555
1431,"FLasso",11.74281094539562
1432,"FLasso",11.74281094539562
1433,"FLasso",11.74281094539562
1434,"FLasso",11.74281094539562
1435,"FLasso",11.74281094539562
1436,"FLasso",11.601139166829743
1437,"FLasso",11.601139166829743
1438,"FLasso",11.601139166829743
1439,"FLasso",11.688434457514596
1440,"FLasso",11.688434457514596
1441,"FLasso",11.688434457514596
1442,"FLasso",11.688434457514596
1443,"FLasso",11.688434457514596
1444,"FLasso",11.688434457514596
1445,"FLasso",11.783203226830947
1446,"FLasso",11.783203226830947
1447,"FLasso",11.781174953553414
1448,"FLasso",11.781174953553414
1449,"FLasso",11.781174953553414
1450,"FLasso",11.781174953553414
1451,"FLasso",11.781174953553414
1452,"FLasso",11.39645069860774
1453,"FLasso",11.39645069860774
1454,"FLasso",11.39645069860774
1455,"FLasso",11.39645069860774
1456,"FLasso",11.39645069860774
1457,"FLasso",11.39645069860774
1458,"FLasso",11.39645069860774
1459,"FLasso",11.092554005812177
1460,"FLasso",10.842664782008548
1461,"FLasso",11.303549311235273
1462,"FLasso",11.303549311235273
1463,"FLasso",11.485216065075807
1464,"FLasso",11.485216065075807
1465,"FLasso",11.485216065075807
1466,"FLasso",11.485216065075807
1467,"FLasso",11.485216065075807
1468,"FLasso",11.50631435726756
1469,"FLasso",11.50631435726756
1470,"FLasso",11.50631435726756
1471,"FLasso",11.50631435726756
1472,"FLasso",11.50631435726756
1473,"FLasso",11.50631435726756
1474,"FLasso",11.582036772927955
1475,"FLasso",11.582036772927955
1476,"FLasso",11.404211003359606
1477,"FLasso",11.404211003359606
1478,"FLasso",11.404211003359606
1479,"FLasso",11.39233632705707
1480,"FLasso",11.39233632705707
1481,"FLasso",11.39233632705707
1482,"FLasso",11.39233632705707
1483,"FLasso",11.39233632705707
1484,"FLasso",11.562222937165199
1485,"FLasso",11.562222937165199
1486,"FLasso",11.584688899809345
1487,"FLasso",11.584688899809345
1488,"FLasso",11.629796582274455
1489,"FLasso",11.629796582274455
1490,"FLasso",11.629796582274455
1491,"FLasso",11.629796582274455
1492,"FLasso",11.629796582274455
1493,"FLasso",11.629796582274455
1494,"FLasso",11.629796582274455
1495,"FLasso",11.706458235055898
1496,"FLasso",11.72286164685507
1497,"FLasso",11.733867067050396
1498,"FLasso",11.733867067050396
1499,"FLasso",11.733867067050396
1500,"FLasso",11.733867067050396
1501,"FLasso",11.74508132403825
1502,"FLasso",11.745488980228567
1503,"FLasso",11.745488980228567
1504,"FLasso",11.745488980228567
1505,"FLasso",11.745488980228567
1506,"FLasso",11.745488980228567
1507,"FLasso",11.745488980228567
1508,"FLasso",11.745488980228567
1509,"FLasso",11.745488980228567
1510,"FLasso",11.745488980228567
1511,"FLasso",11.745488980228567
1512,"FLasso",11.745488980228567
1513,"FLasso",11.745488980228567
1514,"FLasso",11.745488980228567
1515,"FLasso",11.745488980228567
1516,"FLasso",11.745488980228567
1517,"FLasso",11.745488980228567
1518,"FLasso",11.745488980228567
1519,"FLasso",11.745488980228567
1520,"FLasso",11.745488980228567
1521,"FLasso",11.745488980228567
1522,"FLasso",11.745488980228567
1523,"FLasso",11.745488980228567
1524,"FLasso",11.745488980228567
1525,"FLasso",11.745488980228567
1526,"FLasso",11.745488980228567
1527,"FLasso",11.691352157132936
1528,"FLasso",11.691352157132936
1529,"FLasso",11.691352157132936
1530,"FLasso",11.691352157132936
1531,"FLasso",11.744278394302663
1532,"FLasso",11.744278394302663
1533,"FLasso",11.744278394302663
1534,"FLasso",11.744278394302663
1535,"FLasso",11.744278394302663
1536,"FLasso",11.744278394302663
1537,"FLasso",11.744278394302663
1538,"FLasso",11.744278394302663
1539,"FLasso",11.69516497501171
1540,"FLasso",11.69516497501171
1541,"FLasso",11.69516497501171
1542,"FLasso",11.69516497501171
1543,"FLasso",11.69516497501171
1544,"FLasso",11.69516497501171
1545,"FLasso",11.69804312941546
1546,"FLasso",11.753312229122942
1547,"FLasso",11.753312229122942
1548,"FLasso",11.753312229122942
1549,"FLasso",11.753312229122942
1550,"FLasso",11.773124780879245
1551,"FLasso",11.773124780879245
1552,"FLasso",11.77756150739653
1553,"FLasso",11.77756150739653
1554,"FLasso",11.694001767106318
1555,"FLasso",11.694001767106318
1556,"FLasso",11.694001767106318
1557,"FLasso",11.694001767106318
1558,"FLasso",11.694001767106318
1559,"FLasso",11.694001767106318
1560,"FLasso",11.694001767106318
1561,"FLasso",11.694001767106318
1562,"FLasso",11.850537897883246
1563,"FLasso",11.850537897883246
1564,"FLasso",11.850537897883246
1565,"FLasso",11.850537897883246
1566,"FLasso",11.661779607741476
1567,"FLasso",11.661779607741476
1568,"FLasso",11.661779607741476
1569,"FLasso",11.661779607741476
1570,"FLasso",11.661779607741476
1571,"FLasso",11.661779607741476
1572,"FLasso",11.661779607741476
1573,"FLasso",11.661779607741476
1574,"FLasso",11.665519574155706
1575,"FLasso",11.665519574155706
1576,"FLasso",11.665519574155706
1577,"FLasso",11.665519574155706
1578,"FLasso",11.665519574155706
1579,"FLasso",11.665519574155706
1580,"FLasso",11.665519574155706
1581,"FLasso",11.6147796067163
1582,"FLasso",11.6147796067163
1583,"FLasso",11.6147796067163
1584,"FLasso",11.272493734353981
1585,"FLasso",11.02153427475089
1586,"FLasso",11.02153427475089
1587,"FLasso",11.361904871583892
1588,"FLasso",11.404700604074304
1589,"FLasso",11.404700604074304
1590,"FLasso",11.404700604074304
1591,"FLasso",11.52559138182632
1592,"FLasso",11.52559138182632
1593,"FLasso",11.52559138182632
1594,"FLasso",11.52559138182632
1595,"FLasso",11.52559138182632
1596,"FLasso",11.542216105059383
1597,"FLasso",11.542216105059383
1598,"FLasso",11.542216105059383
1599,"FLasso",11.542216105059383
1600,"FLasso",10.847097689496637
1601,"FLasso",10.847097689496637
1602,"FLasso",10.927387176926215
1603,"FLasso",11.612464640949112
1604,"FLasso",11.612464640949112
1605,"FLasso",11.396197945382761
1606,"FLasso",11.396197945382761
1607,"FLasso",11.2774852688321
1608,"FLasso",11.2774852688321
1609,"FLasso",11.2774852688321
1610,"FLasso",11.2774852688321
1611,"FLasso",11.2774852688321
1612,"FLasso",11.502920988386169
1613,"FLasso",11.502920988386169
1614,"FLasso",11.502920988386169
1615,"FLasso",11.502920988386169
1616,"FLasso",11.502920988386169
1617,"FLasso",11.502920988386169
1618,"FLasso",11.502920988386169
1619,"FLasso",11.502920988386169
1620,"FLasso",11.502920988386169
1621,"FLasso",11.502920988386169
1622,"FLasso",11.502920988386169
1623,"FLasso",11.57007513031607
1624,"FLasso",11.57007513031607
1625,"FLasso",11.57007513031607
1626,"FLasso",11.57007513031607
1627,"FLasso",11.57007513031607
1628,"FLasso",11.57007513031607
1629,"FLasso",11.57007513031607
1630,"FLasso",11.57007513031607
1631,"FLasso",11.57007513031607
1632,"FLasso",11.57007513031607
1633,"FLasso",11.57007513031607
1634,"FLasso",11.57007513031607
1635,"FLasso",11.57007513031607
1636,"FLasso",11.57007513031607
1637,"FLasso",11.57007513031607
1638,"FLasso",11.57007513031607
1639,"FLasso",11.57007513031607
1640,"FLasso",11.57007513031607
1641,"FLasso",11.31301889762472
1642,"FLasso",11.31301889762472
1643,"FLasso",11.31301889762472
1644,"FLasso",11.383291372641882
1645,"FLasso",11.383291372641882
1646,"FLasso",11.383291372641882
1647,"FLasso",11.540938021216789
1648,"FLasso",11.425728437773525
1649,"FLasso",11.562510921992901
1650,"FLasso",11.562510921992901
1651,"FLasso",11.562510921992901
1652,"FLasso",11.562510921992901
1653,"FLasso",11.562510921992901
1654,"FLasso",11.562510921992901
1655,"FLasso",11.562510921992901
1656,"FLasso",11.562510921992901
1657,"FLasso",11.562510921992901
1658,"FLasso",11.562510921992901
1659,"FLasso",11.562510921992901
1660,"FLasso",11.562510921992901
1661,"FLasso",11.771652393258567
1662,"FLasso",11.754583913144439
1663,"FLasso",11.754583913144439
1664,"FLasso",11.658091828835524
1665,"FLasso",11.563751662820481
1666,"FLasso",11.563751662820481
1667,"FLasso",11.563751662820481
1668,"FLasso",11.563751662820481
1669,"FLasso",11.563751662820481
1670,"FLasso",11.563751662820481
1671,"FLasso",11.563751662820481
1672,"FLasso",11.563751662820481
1673,"FLasso",11.563751662820481
1674,"FLasso",11.563751662820481
1675,"FLasso",11.563751662820481
1676,"FLasso",11.563751662820481
1677,"FLasso",11.563751662820481
1678,"FLasso",11.563751662820481
1679,"FLasso",11.563751662820481
1680,"FLasso",11.563751662820481
1681,"FLasso",11.537297429604804
1682,"FLasso",11.537297429604804
1683,"FLasso",11.365012088566512
1684,"FLasso",11.365012088566512
1685,"FLasso",11.521215921534125
1686,"FLasso",11.521215921534125
1687,"FLasso",11.521215921534125
1688,"FLasso",11.521215921534125
1689,"FLasso",11.521215921534125
1690,"FLasso",11.521215921534125
1691,"FLasso",11.521215921534125
1692,"FLasso",11.521215921534125
1693,"FLasso",11.626951964597446
1694,"FLasso",11.626951964597446
1695,"FLasso",11.626951964597446
1696,"FLasso",11.626951964597446
1697,"FLasso",11.626951964597446
1698,"FLasso",11.626951964597446
1699,"FLasso",11.479217988440858
1700,"FLasso",11.479217988440858
1701,"FLasso",11.479217988440858
1702,"FLasso",11.479217988440858
1703,"FLasso",11.433584132682258
1704,"FLasso",11.433584132682258
1705,"FLasso",11.433584132682258
1706,"FLasso",11.440820484521186
1707,"FLasso",11.440820484521186
1708,"FLasso",11.440820484521186
1709,"FLasso",11.440820484521186
1710,"FLasso",11.533836533863994
1711,"FLasso",11.533836533863994
1712,"FLasso",11.533836533863994
1713,"FLasso",11.533836533863994
1714,"FLasso",11.533836533863994
1715,"FLasso",11.533836533863994
1716,"FLasso",11.533836533863994
1717,"FLasso",11.533836533863994
1718,"FLasso",11.533836533863994
1719,"FLasso",11.383746127622919
1720,"FLasso",11.067090357703261
1721,"FLasso",11.152686509460857
1722,"FLasso",11.340968991299219
1723,"FLasso",11.340968991299219
1724,"FLasso",11.340968991299219
1725,"FLasso",11.340968991299219
1726,"FLasso",11.38473698230906
1727,"FLasso",11.38473698230906
1728,"FLasso",11.38473698230906
1729,"FLasso",11.38473698230906
1730,"FLasso",11.321807876210642
1731,"FLasso",11.321807876210642
1732,"FLasso",11.542507728196274
1733,"FLasso",11.55406639823353
1734,"FLasso",11.55406639823353
1735,"FLasso",11.52388727310913
1736,"FLasso",11.52388727310913
1737,"FLasso",11.52388727310913
1738,"FLasso",11.52388727310913
1739,"FLasso",11.52388727310913
1740,"FLasso",11.52388727310913
1741,"FLasso",11.52388727310913
1742,"FLasso",11.52388727310913
1743,"FLasso",11.52388727310913
1744,"FLasso",11.548425387424814
1745,"FLasso",11.548425387424814
1746,"FLasso",11.548425387424814
1747,"FLasso",11.548425387424814
1748,"FLasso",11.548425387424814
1749,"FLasso",11.548425387424814
1750,"FLasso",11.548425387424814
1751,"FLasso",11.548425387424814
1752,"FLasso",11.548425387424814
1753,"FLasso",11.407104569857394
1754,"FLasso",11.407104569857394
1755,"FLasso",11.407104569857394
1756,"FLasso",11.407104569857394
1757,"FLasso",11.407104569857394
1758,"FLasso",11.407104569857394
1759,"FLasso",11.407104569857394
1760,"FLasso",11.407104569857394
1761,"FLasso",11.359340514169702
1762,"FLasso",9.965421867944757
1763,"FLasso",9.965421867944757
1764,"FLasso",10.586313309835452
1765,"FLasso",11.126136215272663
1766,"FLasso",11.240764576313081
1767,"FLasso",11.240764576313081
1768,"FLasso",11.373939633899017
1769,"FLasso",11.373939633899017
1770,"FLasso",11.559022618557787
1771,"FLasso",11.559022618557787
1772,"FLasso",11.559022618557787
1773,"FLasso",11.559022618557787
1774,"FLasso",11.559022618557787
1775,"FLasso",11.559022618557787
1776,"FLasso",11.559022618557787
1777,"FLasso",11.559022618557787
1778,"FLasso",11.559022618557787
