"year","coefficient","value"
1368,"Penalized ML",22.596732862452594
1368,"ML",22.714115819112035
1369,"Penalized ML",22.521653075727308
1369,"ML",22.50790644275103
1370,"Penalized ML",22.45665079641046
1370,"ML",22.336892798337566
1371,"Penalized ML",22.43927965186179
1371,"ML",22.282724937340472
1372,"Penalized ML",22.505123099326145
1372,"ML",22.607038681659684
1373,"Penalized ML",22.498645785513098
1373,"ML",22.469012311976524
1374,"Penalized ML",22.518114831416913
1374,"ML",22.50165315008493
1375,"Penalized ML",22.550695029887436
1375,"ML",22.614643689107215
1376,"Penalized ML",22.544087689765473
1376,"ML",22.53601598598713
1377,"Penalized ML",22.54444598016297
1377,"ML",22.50583951711873
1378,"Penalized ML",22.56249201760622
1378,"ML",22.53645039538836
1379,"Penalized ML",22.59217339033212
1379,"ML",22.60749695837282
1380,"Penalized ML",22.615258419757595
1380,"ML",22.659832874063667
1381,"Penalized ML",22.619225038789892
1381,"ML",22.638736953706452
1382,"Penalized ML",22.619517012581323
1382,"ML",22.64812012502862
1383,"Penalized ML",22.61320604363672
1383,"ML",22.686595099592108
1384,"Penalized ML",22.581366371219996
1384,"ML",22.657040989019702
1385,"Penalized ML",22.508419676697535
1385,"ML",22.352112809903968
1386,"Penalized ML",22.508464396067318
1386,"ML",22.414503408459833
1387,"Penalized ML",22.546471748813744
1387,"ML",22.59584972460328
1388,"Penalized ML",22.559504007794857
1388,"ML",22.62864373508707
1389,"Penalized ML",22.54577895332116
1389,"ML",22.567154596999483
1390,"Penalized ML",22.518978935438597
1390,"ML",22.399279179856563
1391,"Penalized ML",22.55335174166978
1391,"ML",22.62441514854904
1392,"Penalized ML",22.54160290586675
1392,"ML",22.493376743925158
1393,"Penalized ML",22.560965948474063
1393,"ML",22.575185912766155
1394,"Penalized ML",22.575819035285566
1394,"ML",22.660204616252184
1395,"Penalized ML",22.54036127636159
1395,"ML",22.48087243133026
1396,"Penalized ML",22.545649587603293
1396,"ML",22.54909007113032
1397,"Penalized ML",22.539973391070497
1397,"ML",22.500036101216605
1398,"Penalized ML",22.568227073924366
1398,"ML",22.657731746939582
1399,"Penalized ML",22.535688919224874
1399,"ML",22.512018050421894
1400,"Penalized ML",22.51969691820301
1400,"ML",22.447569929854822
1401,"Penalized ML",22.551890517596537
1401,"ML",22.577334065877164
1402,"Penalized ML",22.55701370772065
1402,"ML",22.558300778403176
1403,"Penalized ML",22.568402570216147
1403,"ML",22.607187014989282
1404,"Penalized ML",22.545415878373415
1404,"ML",22.497702455480646
1405,"Penalized ML",22.565551577578002
1405,"ML",22.574301099701568
1406,"Penalized ML",22.568035355394365
1406,"ML",22.519935154786335
1407,"Penalized ML",22.61009301073881
1407,"ML",22.62439830813862
1408,"Penalized ML",22.650787918469245
1408,"ML",22.791904383860746
1409,"Penalized ML",22.601254285912482
1409,"ML",22.618022168610747
1410,"Penalized ML",22.545702944182246
1410,"ML",22.438584145731816
1411,"Penalized ML",22.548938934883516
1411,"ML",22.52239433345661
1412,"Penalized ML",22.55901305665215
1412,"ML",22.574170939306367
1413,"Penalized ML",22.560068300953354
1413,"ML",22.582459473751705
1414,"Penalized ML",22.54286979207489
1414,"ML",22.48744113105143
1415,"Penalized ML",22.5665304302025
1415,"ML",22.592839977831492
1416,"Penalized ML",22.57585795466356
1416,"ML",22.6543758846977
1417,"Penalized ML",22.54568912420503
1417,"ML",22.578603233268307
1418,"Penalized ML",22.49566889295156
1418,"ML",22.394031904274843
1419,"Penalized ML",22.497122630070567
1419,"ML",22.43172120091315
1420,"Penalized ML",22.535070808792256
1420,"ML",22.623213152126787
1421,"Penalized ML",22.512086466737916
1421,"ML",22.461658438406424
1422,"Penalized ML",22.53154946857012
1422,"ML",22.565031470547183
1423,"Penalized ML",22.52153546792292
1423,"ML",22.487089808465942
1424,"Penalized ML",22.534942595786923
1424,"ML",22.49342406721332
1425,"Penalized ML",22.592286159961414
1425,"ML",22.675495452311228
1426,"Penalized ML",22.57993295938866
