"year","coefficient","value"
1368,"Penalized ML",16.704193378494573
1368,"ML",16.78564032359543
1369,"Penalized ML",16.65794855328242
1369,"ML",16.739182206808447
1370,"Penalized ML",16.551463228615635
1370,"ML",16.44375612788445
1371,"Penalized ML",16.504087493214293
1371,"ML",16.285335614528645
1372,"Penalized ML",16.62384856287126
1372,"ML",16.814237696028165
1373,"Penalized ML",16.561778239152126
1373,"ML",16.448903637847568
1374,"Penalized ML",16.61403326688944
1374,"ML",16.63156956655815
1375,"Penalized ML",16.657459791831002
1375,"ML",16.79888494429234
1376,"Penalized ML",16.58637532416508
1376,"ML",16.569965668472527
1377,"Penalized ML",16.537331184152865
1377,"ML",16.448713631562676
1378,"Penalized ML",16.559269543841562
1378,"ML",16.54651360608842
1379,"Penalized ML",16.576602968440152
1379,"ML",16.56907761166062
1380,"Penalized ML",16.584497226428393
1380,"ML",16.499259191711378
1381,"Penalized ML",16.666255098128314
1381,"ML",16.67527168207946
1382,"Penalized ML",16.73304393024227
1382,"ML",16.776488145124127
1383,"Penalized ML",16.769259104847265
1383,"ML",16.82277105371889
1384,"Penalized ML",16.78206945829892
1384,"ML",16.897519054417184
1385,"Penalized ML",16.664985093588776
1385,"ML",16.529765000859314
1386,"Penalized ML",16.68715405535124
1386,"ML",16.60456210632068
1387,"Penalized ML",16.79318320196406
1387,"ML",16.958947098520543
1388,"Penalized ML",16.733199645475622
1388,"ML",16.743630639079704
1389,"Penalized ML",16.704867722915303
1389,"ML",16.780815929042813
1390,"Penalized ML",16.576700732925215
1390,"ML",16.389170873719358
1391,"Penalized ML",16.650487138572984
1391,"ML",16.732551144720215
1392,"Penalized ML",16.606947128018096
1392,"ML",16.55002196397695
1393,"Penalized ML",16.63565446131443
1393,"ML",16.676728607936997
1394,"Penalized ML",16.633879593391413
1394,"ML",16.7369717370602
1395,"Penalized ML",16.540185312804176
1395,"ML",16.514566122627546
1396,"Penalized ML",16.467921411228993
1396,"ML",16.349049202645304
1397,"Penalized ML",16.495592420793272
1397,"ML",16.475613047070425
1398,"Penalized ML",16.527999294016446
1398,"ML",16.548814639435037
1399,"Penalized ML",16.545512794026823
1399,"ML",16.595594061264038
1400,"Penalized ML",16.519987822268025
1400,"ML",16.5055151709247
1401,"Penalized ML",16.50229323492412
1401,"ML",16.41732282310254
1402,"Penalized ML",16.558411570585324
1402,"ML",16.542110338508316
1403,"Penalized ML",16.630562507347975
1403,"ML",16.72189018539809
1404,"Penalized ML",16.611334786753613
1404,"ML",16.579279923317692
1405,"Penalized ML",16.65793844259743
1405,"ML",16.828192048924784
1406,"Penalized ML",16.522842271656003
1406,"ML",16.369783009935233
1407,"Penalized ML",16.536057537566432
1407,"ML",16.40792053067577
1408,"Penalized ML",16.658572287362205
1408,"ML",16.72901939882857
1409,"Penalized ML",16.721147648857784
1409,"ML",16.895687913658577
1410,"Penalized ML",16.62092899823714
1410,"ML",16.55808826032884
1411,"Penalized ML",16.603221508492748
1411,"ML",16.594242946839604
1412,"Penalized ML",16.58463430560977
1412,"ML",16.583090761342195
1413,"Penalized ML",16.56121067967882
1413,"ML",16.524540823673284
1414,"Penalized ML",16.558792501847858
1414,"ML",16.484063262403147
1415,"Penalized ML",16.6288500219322
1415,"ML",16.725218606436435
1416,"Penalized ML",16.623496102633858
1416,"ML",16.7444902961855
1417,"Penalized ML",16.53450847304564
1417,"ML",16.55040194878974
1418,"Penalized ML",16.419970977560887
1418,"ML",16.221393157451356
1419,"Penalized ML",16.48246849510826
1419,"ML",16.48049245274008
1420,"Penalized ML",16.512923384667445
1420,"ML",16.48873514365463
1421,"Penalized ML",16.56617558751471
1421,"ML",16.57393755526734
1422,"Penalized ML",16.623893562492487
1422,"ML",16.723827481066564
1423,"Penalized ML",16.577509541028252
1423,"ML",16.5194787956454
1424,"Penalized ML",16.60743991648132
1424,"ML",16.626059741581646
1425,"Penalized ML",16.62783386792897
1425,"ML",16.748756765354944
1426,"Penalized ML",16.52641599025678
1426,"ML",16.493622585493142
1427,"Penalized ML",16.463124263342674
1427,"ML",16.373988265505126
1428,"Penalized ML",16.48327784305687
1428,"ML",16.466417151726205
1429,"Penalized ML",16.49634954821946
1429,"ML",16.412641812094428
1430,"Penalized ML",16.589453276561457
1430,"ML",16.605068733562803
1431,"Penalized ML",16.675763219952756
1431,"ML",16.826266903136396
1432,"Penalized ML",16.624700116469395
1432,"ML",16.62781084245425
1433,"Penalized ML",16.593117813785675
1433,"ML",16.629828634719612
1434,"Penalized ML",16.522343047873836
1434,"ML",16.478241655624757
1435,"Penalized ML",16.487434350870426
1435,"ML",16.406723367337246
1436,"Penalized ML",16.521717506551173
1436,"ML",16.494795960529796
1437,"Penalized ML",16.57206478748188
1437,"ML",16.570416275465252
1438,"Penalized ML",16.63514540024767
1438,"ML",16.75487699332878
1439,"Penalized ML",16.58373126865699
1439,"ML",16.585722548129723
1440,"Penalized ML",16.54190217121731
1440,"ML",16.5173425630911
1441,"Penalized ML",16.520704172261542
1441,"ML",16.4945448471632
1442,"Penalized ML",16.51977947191791
1442,"ML",16.506973731822573
1443,"Penalized ML",16.514989898866638
1443,"ML",16.415639456708877
