"year","coefficient","value"
1368,"Penalized ML",0.39811738261556723
1369,"Penalized ML",0.3936870327207854
1370,"Penalized ML",0.38131186631198
1371,"Penalized ML",0.36999146947466166
1372,"Penalized ML",0.35837801252325613
1373,"Penalized ML",0.3464311284464782
1374,"Penalized ML",0.34084165754902823
1375,"Penalized ML",0.3312048314563913
1376,"Penalized ML",0.32397662842345704
1377,"Penalized ML",0.323417156999564
1378,"Penalized ML",0.32876024492288614
1379,"Penalized ML",0.33668042216850363
1380,"Penalized ML",0.34785448158508914
1381,"Penalized ML",0.35310159429376103
1382,"Penalized ML",0.3605420983478779
1383,"Penalized ML",0.37140524261565344
1384,"Penalized ML",0.3817243903511971
1385,"Penalized ML",0.3836621917940358
1386,"Penalized ML",0.3824122821987348
1387,"Penalized ML",0.3852246193947451
1388,"Penalized ML",0.39005976845465723
1389,"Penalized ML",0.3891791168201551
1390,"Penalized ML",0.3822109438783438
1391,"Penalized ML",0.3745425001726898
1392,"Penalized ML",0.36614389112664053
1393,"Penalized ML",0.3600683910442443
1394,"Penalized ML",0.34529738490549416
1395,"Penalized ML",0.33597952516726354
1396,"Penalized ML",0.317521134253273
1397,"Penalized ML",0.29785081770507604
1398,"Penalized ML",0.28422270829263097
1399,"Penalized ML",0.2779837054046273
1400,"Penalized ML",0.2785375839733491
1401,"Penalized ML",0.28290244538173065
1402,"Penalized ML",0.29290386617776787
1403,"Penalized ML",0.29985202800650324
1404,"Penalized ML",0.30280084526938317
1405,"Penalized ML",0.3045495967723608
1406,"Penalized ML",0.31187531898455184
1407,"Penalized ML",0.32506093995699703
1408,"Penalized ML",0.3399221052627572
1409,"Penalized ML",0.346420926675965
1410,"Penalized ML",0.3511797088468765
1411,"Penalized ML",0.3544713207454575
1412,"Penalized ML",0.36018879304575024
1413,"Penalized ML",0.36371999262830346
1414,"Penalized ML",0.36722090736357144
1415,"Penalized ML",0.3738406268943184
1416,"Penalized ML",0.3765148504482001
1417,"Penalized ML",0.3751684642734754
1418,"Penalized ML",0.3732039523602914
1419,"Penalized ML",0.36666345749681745
1420,"Penalized ML",0.3623747673975871
1421,"Penalized ML",0.35592276360885733
1422,"Penalized ML",0.3508803769792015
1423,"Penalized ML",0.34946436932385033
1424,"Penalized ML",0.34383986719053733
1425,"Penalized ML",0.34158324284679065
1426,"Penalized ML",0.34397130753908944
1427,"Penalized ML",0.34944245160775506
1428,"Penalized ML",0.3588773837027909
1429,"Penalized ML",0.36954529512115825
1430,"Penalized ML",0.3769708943322701
1431,"Penalized ML",0.3804788635653477
1432,"Penalized ML",0.3828947166330242
1433,"Penalized ML",0.3786376319992329
1434,"Penalized ML",0.372652367112934
1435,"Penalized ML",0.3598631529228206
1436,"Penalized ML",0.3443678069614667
1437,"Penalized ML",0.33335000376208723
1438,"Penalized ML",0.3225809309198174
1439,"Penalized ML",0.3159368127116079
1440,"Penalized ML",0.31040198627615656
1441,"Penalized ML",0.30198913138722483
1442,"Penalized ML",0.30037899120155526
1443,"Penalized ML",0.30251601322572313
1444,"Penalized ML",0.3023954332179006
1445,"Penalized ML",0.3007546383122072
1446,"Penalized ML",0.30212006989530177
1447,"Penalized ML",0.3046258370735056
1448,"Penalized ML",0.31503364620309265
1449,"Penalized ML",0.3276788281269982
1450,"Penalized ML",0.33523271659399323
1451,"Penalized ML",0.3409010972899231
