"year","coefficient","value"
1368,"Penalized ML",0.10555754151930453
1368,"ML",0.08564913392261304
1369,"Penalized ML",0.10730942622341295
1369,"ML",0.04168894614786465
1370,"Penalized ML",0.12685453553924037
1370,"ML",0.21066859133964272
1371,"Penalized ML",0.12333483802795801
1371,"ML",0.08440263104092907
1372,"Penalized ML",0.12389480229216956
1372,"ML",0.14338740945633086
1373,"Penalized ML",0.11458693726186456
1373,"ML",0.07440801055147499
1374,"Penalized ML",0.11416601390575432
1374,"ML",0.0972969795776937
1375,"Penalized ML",0.1178705259209581
1375,"ML",0.1081657024521369
1376,"Penalized ML",0.12231071954977314
1376,"ML",0.1149984341327399
1377,"Penalized ML",0.12451410139121455
1377,"ML",0.12225998620715238
1378,"Penalized ML",0.1259976701928372
1378,"ML",0.12107602390900721
1379,"Penalized ML",0.12655716759908847
1379,"ML",0.09340869922598781
1380,"Penalized ML",0.133716249296584
1380,"ML",0.1576111331620483
1381,"Penalized ML",0.1361891766087405
1381,"ML",0.12117348106988203
1382,"Penalized ML",0.14125757825464175
1382,"ML",0.11570718530999695
1383,"Penalized ML",0.14733319386933502
1383,"ML",0.20025610590470322
1384,"Penalized ML",0.1439662741449629
1384,"ML",0.13831968132890626
1385,"Penalized ML",0.13983294308517047
1385,"ML",0.08563346677838969
1386,"Penalized ML",0.13527338245259762
1386,"ML",0.058030478813420334
1387,"Penalized ML",0.14274737582495575
1387,"ML",0.1601577141454753
1388,"Penalized ML",0.1461841467964287
1388,"ML",0.14697002985594387
1389,"Penalized ML",0.14720826884487181
1389,"ML",0.15397125440267084
1390,"Penalized ML",0.14576848487165525
1390,"ML",0.1448831192449983
1391,"Penalized ML",0.13924293910489333
1391,"ML",0.1288189148010114
1392,"Penalized ML",0.130388300280502
1392,"ML",0.09738103053413599
1393,"Penalized ML",0.1252333463519167
1393,"ML",0.09563189234081702
1394,"Penalized ML",0.12122831534835726
1394,"ML",0.10706743094539778
1395,"Penalized ML",0.11892254181204438
1395,"ML",0.13315375087435022
1396,"Penalized ML",0.1108433872582437
1396,"ML",0.10869484250605142
1397,"Penalized ML",0.10324550776623377
1397,"ML",0.0527848863507001
1398,"Penalized ML",0.10817304224018238
1398,"ML",0.12329953805991145
1399,"Penalized ML",0.1043456946753412
1399,"ML",0.09569236653158258
1400,"Penalized ML",0.10086781901034035
1400,"ML",0.1238953599394122
1401,"Penalized ML",0.08771802728948666
1401,"ML",0.07368500166781049
1402,"Penalized ML",0.07968409451533581
1402,"ML",0.039922419097792136
1403,"Penalized ML",0.08975363621613576
1403,"ML",0.10487739972814211
1404,"Penalized ML",0.08488347073661819
1404,"ML",0.062118152134361226
1405,"Penalized ML",0.08889641786848008
1405,"ML",0.10293532922769462
1406,"Penalized ML",0.08587505246347919
1406,"ML",0.07047156349214512
1407,"Penalized ML",0.08823815596092613
1407,"ML",0.05286991671712764
1408,"Penalized ML",0.10038446323524818
1408,"ML",0.08451911119052408
1409,"Penalized ML",0.11118501722540534
1409,"ML",0.11367187686740884
1410,"Penalized ML",0.11964335318681311
1410,"ML",0.1658165345692606
1411,"Penalized ML",0.11377215190604695
1411,"ML",0.0806201488542494
1412,"Penalized ML",0.11499123881671883
1412,"ML",0.1277813984920122
1413,"Penalized ML",0.10631614596513664
1413,"ML",0.0812201460829559
1414,"Penalized ML",0.10209391133584993
1414,"ML",0.04445079551231739
1415,"Penalized ML",0.10915246601439875
1415,"ML",0.10599246069124885
1416,"Penalized ML",0.11592720849828271
1416,"ML",0.11978593764997526
1417,"Penalized ML",0.11813129905879652
1417,"ML",0.09328559056782616
1418,"Penalized ML",0.12351427777290083
1418,"ML",0.16009915924645943
1419,"Penalized ML",0.11480309675296581
1419,"ML",0.07395643850727901
1420,"Penalized ML",0.11542272619155688
1420,"ML",0.12203665153941756
1421,"Penalized ML",0.10680081835535252
1421,"ML",0.07808975270734769
1422,"Penalized ML",0.10476534810762457
1422,"ML",0.1403366304537127
1423,"Penalized ML",0.08964482622078317
1423,"ML",0.09360581718577994
1424,"Penalized ML",0.07090114934813148
1424,"ML",0.03458475103560655
1425,"Penalized ML",0.07364117032965045
1425,"ML",0.051218635987500906
1426,"Penalized ML",0.07738343731020261
1426,"ML",0.044297426561395375
1427,"Penalized ML",0.0951194738565208
1427,"ML",0.07995067203702927
1428,"Penalized ML",0.11015727534957793
1428,"ML",0.11630798640653302
1429,"Penalized ML",0.10650591271754983
1429,"ML",0.1018601742124853
1430,"Penalized ML",0.1038234236985816
1430,"ML",0.09077389491686814
1431,"Penalized ML",0.10404487004780454
1431,"ML",0.0619955971677624
1432,"Penalized ML",0.11304086090140493
1432,"ML",0.13848338688940942
1433,"Penalized ML",0.11424553838897883
1433,"ML",0.08799454462662476
1434,"Penalized ML",0.12139288054723066
1434,"ML",0.1630680746995601
1435,"Penalized ML",0.10969058363928312
1435,"ML",0.07231396085750029
1436,"Penalized ML",0.10737909278976834
1436,"ML",0.056927331109688756
1437,"Penalized ML",0.11463249381833854
1437,"ML",0.12890602113563226
1438,"Penalized ML",0.10283901548067774
1438,"ML",0.04177521234502021
1439,"Penalized ML",0.10864434996149361
1439,"ML",0.1588261961079412
1440,"Penalized ML",0.09673668762295715
1440,"ML",0.04380965507117313
1441,"Penalized ML",0.10073396552995002
1441,"ML",0.08194526111954972
1442,"Penalized ML",0.10868523903018107
1442,"ML",0.06649793695764945
1443,"Penalized ML",0.12594385101903513
1443,"ML",0.20644478536309158
1444,"Penalized ML",0.1234946745269989
1444,"ML",0.12631673966258314
1445,"Penalized ML",0.11747530467434221
1445,"ML",0.10403850802760205
1446,"Penalized ML",0.11116790300948597
1446,"ML",0.06330166849366778
1447,"Penalized ML",0.11541697015919072
1447,"ML",0.10519886210858567
1448,"Penalized ML",0.12001890459946765
1448,"ML",0.08248362943438223
1449,"Penalized ML",0.13003813969113967
1449,"ML",0.11170616437522062
1450,"Penalized ML",0.143427066219758
1450,"ML",0.14485988312720188
1451,"Penalized ML",0.15190708979073844
1451,"ML",0.06686380879609671
1452,"Penalized ML",0.16734179673826693
1452,"ML",0.09528277790125103
1453,"Penalized ML",0.18195481937872882
1453,"ML",0.05801451224150215
1454,"Penalized ML",0.1627974492599521
1454,"ML",0.1288670257364506
1455,"Penalized ML",0.14055608670943945
1455,"ML",0.09231992081942626
1456,"Penalized ML",0.12448806902769058
1456,"ML",0.11576909621559904
1457,"Penalized ML",0.11014578203831629
1457,"ML",0.06455159214618225
1458,"Penalized ML",0.10489280092078489
1458,"ML",0.07224865832806972
1459,"Penalized ML",0.10872815591334643
1459,"ML",0.12285847751415176
1460,"Penalized ML",0.09916764520923539
1460,"ML",0.06571341713952676
1461,"Penalized ML",0.0986095317478117
1461,"ML",0.09301742851015471
1462,"Penalized ML",0.09991755189400119
1462,"ML",0.12527021547493727
1463,"Penalized ML",0.08718255425582108
1463,"ML",0.07128626630735299
1464,"Penalized ML",0.07696361255769668
1464,"ML",0.03950973008983471
1465,"Penalized ML",0.08299694674839038
1465,"ML",0.06811493305733632
1466,"Penalized ML",0.09277702100914048
1466,"ML",0.09163117619789078
1467,"Penalized ML",0.10151445409021048
1467,"ML",0.06936050282992302
1468,"Penalized ML",0.11066853981508584
1468,"ML",0.10556470541579362
1469,"Penalized ML",0.11840379696565266
1469,"ML",0.16277818122951374
1470,"Penalized ML",0.11521930855207267
1470,"ML",0.0891633198403467
1471,"Penalized ML",0.11644372045287914
1471,"ML",0.08657275332965851
1472,"Penalized ML",0.11469372786628167
1472,"ML",0.08111922072902161
1473,"Penalized ML",0.11713242608814307
1473,"ML",0.10641400571006948
1474,"Penalized ML",0.12171965753381561
1474,"ML",0.04553000599377767
1475,"Penalized ML",0.13375024452097703
1475,"ML",0.13779244532233462
1476,"Penalized ML",0.1397022620854927
1476,"ML",0.17674558742977248
1477,"Penalized ML",0.13873222393064044
1477,"ML",0.06387255654009048
1478,"Penalized ML",0.14765022592701177
1478,"ML",0.17537342458926686
1479,"Penalized ML",0.15065845339615966
1479,"ML",0.23576587010029734
1480,"Penalized ML",0.14069864705995655
1480,"ML",0.09987929412852181
1481,"Penalized ML",0.13552705301377044
1481,"ML",0.1683226792757319
1482,"Penalized ML",0.12449724901719426
1482,"ML",0.059659833173294194
1483,"Penalized ML",0.12657276442929422
1483,"ML",0.15661781143217363
1484,"Penalized ML",0.12109989239496727
1484,"ML",0.04502940361911475
1485,"Penalized ML",0.13121168453996407
1485,"ML",0.17451125362338618
1486,"Penalized ML",0.13223354883816024
1486,"ML",0.19152168355601737
1487,"Penalized ML",0.12120932886979457
1487,"ML",0.1304733175130747
1488,"Penalized ML",0.10809267350968045
1488,"ML",0.08588854663452034
1489,"Penalized ML",0.09846804556160409
1489,"ML",0.05277533469329681
1490,"Penalized ML",0.10032750888716942
1490,"ML",0.12105450786397742
1491,"Penalized ML",0.08891869413923938
1491,"ML",0.07121048420439154
1492,"Penalized ML",0.07789810846333657
1492,"ML",0.07420346316613864
1493,"Penalized ML",0.06807713395577913
1493,"ML",0.055785686302195055
1494,"Penalized ML",0.0571497462677381
1494,"ML",0.02712089656727386
1495,"Penalized ML",0.06560996622869551
1495,"ML",0.03241297547909523
1496,"Penalized ML",0.09743736933394737
1496,"ML",0.13807477011105765
1497,"Penalized ML",0.11497219720165681
1497,"ML",0.12657175005620933
1498,"Penalized ML",0.12619816920959187
1498,"ML",0.11875639045868217
1499,"Penalized ML",0.13316900147823355
1499,"ML",0.1541324841569064
1500,"Penalized ML",0.13094507291398658
1500,"ML",0.13467538765414658
1501,"Penalized ML",0.12608777913331845
1501,"ML",0.1268876298065365
1502,"Penalized ML",0.11889374760089551
1502,"ML",0.1049042734472059
1503,"Penalized ML",0.11486821994120966
1503,"ML",0.05874847575581887
1504,"Penalized ML",0.12220916251426532
1504,"ML",0.1320906991819597
1505,"Penalized ML",0.12662217362692568
1505,"ML",0.13855633262402475
1506,"Penalized ML",0.12757488832354077
1506,"ML",0.12195776988089864
1507,"Penalized ML",0.12286045684953803
1507,"ML",0.08847863220409002
1508,"Penalized ML",0.11837072600923461
1508,"ML",0.09959564103032188
1509,"Penalized ML",0.11474593416079643
1509,"ML",0.09602788041314304
1510,"Penalized ML",0.1129426448542864
1510,"ML",0.08781641995716692
1511,"Penalized ML",0.11466423498789616
1511,"ML",0.0713012328883983
1512,"Penalized ML",0.12371228122936226
1512,"ML",0.21127606356590242
1513,"Penalized ML",0.1134970403412163
1513,"ML",0.08431173372207237
1514,"Penalized ML",0.10655582915566697
1514,"ML",0.08429192106833217
1515,"Penalized ML",0.10542347679465959
1515,"ML",0.0962016101654954
1516,"Penalized ML",0.10673012645317748
1516,"ML",0.09453221387866477
1517,"Penalized ML",0.10538188627506521
1517,"ML",0.07090945981507485
1518,"Penalized ML",0.11306951415513747
1518,"ML",0.07016541296385626
1519,"Penalized ML",0.12501788017216384
1519,"ML",0.15041111303076285
1520,"Penalized ML",0.13104865214094957
1520,"ML",0.1532645872816096
1521,"Penalized ML",0.13184288816344714
1521,"ML",0.0846213737102656
1522,"Penalized ML",0.13977755043137616
1522,"ML",0.21530295904598842
1523,"Penalized ML",0.1311275980024474
1523,"ML",0.07552697406792998
1524,"Penalized ML",0.13246270623166403
1524,"ML",0.13325650363483277
1525,"Penalized ML",0.13038524690854839
1525,"ML",0.1359482211747712
1526,"Penalized ML",0.12571989785925064
1526,"ML",0.03939409132878034
1527,"Penalized ML",0.12859987087531408
1527,"ML",0.11257657584805672
1528,"Penalized ML",0.1331560450686251
1528,"ML",0.14354716055867886
1529,"Penalized ML",0.13343377662452274
1529,"ML",0.11742275691240998
1530,"Penalized ML",0.13458639508473758
1530,"ML",0.10957229570189483
1531,"Penalized ML",0.13820257694717253
1531,"ML",0.16307197006176086
1532,"Penalized ML",0.13746936263683174
1532,"ML",0.17026267948605897
1533,"Penalized ML",0.12624653202957778
1533,"ML",0.0875983770833081
1534,"Penalized ML",0.12262131041173749
1534,"ML",0.052195329406625655
1535,"Penalized ML",0.12996298387645974
1535,"ML",0.12829846786614324
1536,"Penalized ML",0.13343297581417765
1536,"ML",0.13850446208397335
1537,"Penalized ML",0.1344953545495935
1537,"ML",0.09862598322714357
1538,"Penalized ML",0.13950041967095814
1538,"ML",0.16062444668078277
1539,"Penalized ML",0.14009277344190574
1539,"ML",0.14785980860676975
1540,"Penalized ML",0.13756070061359327
1540,"ML",0.15817966545376105
1541,"Penalized ML",0.1307901757786598
1541,"ML",0.11416266384794871
1542,"Penalized ML",0.1263040456830042
1542,"ML",0.08969733880942184
1543,"Penalized ML",0.1255832412749843
1543,"ML",0.09896380533203798
1544,"Penalized ML",0.12572921025536946
1544,"ML",0.09147585162636288
1545,"Penalized ML",0.12705056356874664
1545,"ML",0.10282416861226398
1546,"Penalized ML",0.13173516241348357
1546,"ML",0.1133132404736514
1547,"Penalized ML",0.1372002413595419
1547,"ML",0.19455618727008148
1548,"Penalized ML",0.12928787011721232
1548,"ML",0.09197921198963392
1549,"Penalized ML",0.12466382371191506
1549,"ML",0.09334970788242629
1550,"Penalized ML",0.1264982727556074
1550,"ML",0.09896750897660826
1551,"Penalized ML",0.12717998967791835
1551,"ML",0.15009610788862315
1552,"Penalized ML",0.12142359562757997
1552,"ML",0.03578973345212629
1553,"Penalized ML",0.12713688683365548
1553,"ML",0.1420196966950016
1554,"Penalized ML",0.12511371553192177
1554,"ML",0.09858302589607854
1555,"Penalized ML",0.12636425712754693
1555,"ML",0.05616840612978645
1556,"Penalized ML",0.13181006557770203
1556,"ML",0.1806011676872366
1557,"Penalized ML",0.12446100167278928
1557,"ML",0.06501398470832676
