"year","coefficient","value"
1368,"Penalized ML",0.3082914966357595
1368,"ML",0.46979966297250925
1369,"Penalized ML",0.3025400285338761
1369,"ML",0.23389058431171852
1370,"Penalized ML",0.2990569557962799
1370,"ML",0.1588803800248239
1371,"Penalized ML",0.2974212207694349
1371,"ML",0.3393621781045555
1372,"Penalized ML",0.292416062976953
1372,"ML",0.44309388677455164
1373,"Penalized ML",0.27962085256283514
1373,"ML",0.13919532826520786
1374,"Penalized ML",0.2717484368697117
1374,"ML",0.2521124930208208
1375,"Penalized ML",0.26376931911649637
1375,"ML",0.3215883703873903
1376,"Penalized ML",0.2520766320148189
1376,"ML",0.03922369105019399
1377,"Penalized ML",0.2499946354783086
1377,"ML",0.22619330331683293
1378,"Penalized ML",0.24856991061368852
1378,"ML",0.15162260909574365
1379,"Penalized ML",0.25124197438917817
1379,"ML",0.37368206787460817
1380,"Penalized ML",0.24757637441709124
1380,"ML",0.43705897229802976
1381,"Penalized ML",0.23262257851323986
1381,"ML",0.16552060604559243
1382,"Penalized ML",0.22053616994838196
1382,"ML",0.10669293200179175
1383,"Penalized ML",0.21569809235293683
1383,"ML",0.15558969726234073
1384,"Penalized ML",0.21440644393760483
1384,"ML",0.14608556907531892
1385,"Penalized ML",0.2169651110505613
1385,"ML",0.1641587750915785
1386,"Penalized ML",0.22141862105174018
1386,"ML",0.1420270599664158
1387,"Penalized ML",0.23046059311589506
1387,"ML",0.2620147561215374
1388,"Penalized ML",0.23173072134663336
1388,"ML",0.2564253615750283
1389,"Penalized ML",0.23003770200169257
1389,"ML",0.24676917415628746
1390,"Penalized ML",0.22654633780681716
1390,"ML",0.15460093534278058
1391,"Penalized ML",0.22487439718868227
1391,"ML",0.1411717839264407
1392,"Penalized ML",0.2277073375566909
1392,"ML",0.17259895676293147
1393,"Penalized ML",0.233287821183651
1393,"ML",0.3600146097082433
1394,"Penalized ML",0.23020355138475906
1394,"ML",0.09504620512223041
1395,"Penalized ML",0.23481392326508768
1395,"ML",0.28328345631995444
1396,"Penalized ML",0.2356953201274705
1396,"ML",0.24829345230308417
1397,"Penalized ML",0.23305085284197274
1397,"ML",0.15932225706077918
1398,"Penalized ML",0.23480561603744213
1398,"ML",0.1636369657451538
1399,"Penalized ML",0.2399299950993104
1399,"ML",0.359761615400782
1400,"Penalized ML",0.23771834458407298
1400,"ML",0.3199187449808195
1401,"Penalized ML",0.2291072107601279
1401,"ML",0.12643856554953933
1402,"Penalized ML",0.22618249929621098
1402,"ML",0.17110431814814053
1403,"Penalized ML",0.22673382646030477
1403,"ML",0.27062941598646745
1404,"Penalized ML",0.2237906762020939
1404,"ML",0.08175214355039936
1405,"Penalized ML",0.22891718366565528
1405,"ML",0.33894364271861455
1406,"Penalized ML",0.2252801712554986
1406,"ML",0.16257408657102215
1407,"Penalized ML",0.2232060548943259
1407,"ML",0.19270207732138125
1408,"Penalized ML",0.22234583533169824
1408,"ML",0.1617905898819665
1409,"Penalized ML",0.22433553811014528
1409,"ML",0.21194297567248863
1410,"Penalized ML",0.22506521529931958
1410,"ML",0.10788510001783556
1411,"Penalized ML",0.23277132987945082
1411,"ML",0.12252616115174254
1412,"Penalized ML",0.24697310353024163
1412,"ML",0.5322685219817056
1413,"Penalized ML",0.2457283995464709
1413,"ML",0.23262992041648586
1414,"Penalized ML",0.2450736663498143
1414,"ML",0.130804483468802
1415,"Penalized ML",0.25031985664964385
1415,"ML",0.15051494769706478
1416,"Penalized ML",0.25979122779231667
1416,"ML",0.6345659343190995
1417,"Penalized ML",0.24713643115051237
1417,"ML",0.1036717829774195
1418,"Penalized ML",0.24033632758210138
1418,"ML",0.2306790837405096
1419,"Penalized ML",0.2312343189873757
1419,"ML",0.03167531445440506
1420,"Penalized ML",0.2340072509196072
1420,"ML",0.39599089224024336
1421,"Penalized ML",0.22477869161915615
1421,"ML",0.1340776809470489
1422,"Penalized ML",0.2194845981355493
1422,"ML",0.22659510219202075
1423,"Penalized ML",0.21237445687968945
1423,"ML",0.13488496739841505
1424,"Penalized ML",0.21038687180805993
1424,"ML",0.09230658500377788
1425,"Penalized ML",0.21247757568197664
1425,"ML",0.29199614864345824
1426,"Penalized ML",0.20764637778656095
1426,"ML",0.15519520970192294
1427,"Penalized ML",0.20626037069412184
1427,"ML",0.09781167019163403
1428,"Penalized ML",0.2121141066214263
1428,"ML",0.1787811125525965
1429,"Penalized ML",0.21853968984075559
1429,"ML",0.20779787535990962
1430,"Penalized ML",0.2228238638738648
1430,"ML",0.2029736338394129
1431,"Penalized ML",0.22529486925494427
1431,"ML",0.20030102386375723
1432,"Penalized ML",0.22795484515883718
1432,"ML",0.33594734307541957
1433,"Penalized ML",0.22317624628404717
1433,"ML",0.1421682756180125
1434,"Penalized ML",0.22329625410985546
1434,"ML",0.3187909843874346
1435,"Penalized ML",0.2168069139173798
1435,"ML",0.12414952282884617
1436,"Penalized ML",0.2162799570377025
1436,"ML",0.1614168355003901
1437,"Penalized ML",0.21906011939024572
1437,"ML",0.20419505225714346
1438,"Penalized ML",0.21852677564664308
1438,"ML",0.18252718851076713
1439,"Penalized ML",0.21883116702254485
1439,"ML",0.22051290696726195
1440,"Penalized ML",0.21620296657320523
1440,"ML",0.09898491609658273
1441,"Penalized ML",0.21806192124230775
1441,"ML",0.12223311839457816
1442,"Penalized ML",0.2263531661602216
1442,"ML",0.1482439417293628
1443,"Penalized ML",0.23507724255692
1443,"ML",0.46814969489205943
1444,"Penalized ML",0.2291235372311963
1444,"ML",0.16151615143139836
1445,"Penalized ML",0.22716276574996416
1445,"ML",0.17271347970745482
1446,"Penalized ML",0.22819236310518937
1446,"ML",0.16858202424531318
1447,"Penalized ML",0.2312822288953925
1447,"ML",0.2650695260108812
1448,"Penalized ML",0.2311492266484812
1448,"ML",0.20338671084173085
1449,"Penalized ML",0.2319619263358589
1449,"ML",0.2341254208260021
1450,"Penalized ML",0.23239003427017724
1450,"ML",0.14395764886465576
1451,"Penalized ML",0.23520552574895573
1451,"ML",0.17324641341011923
1452,"Penalized ML",0.2382629421699235
1452,"ML",0.028917766370169472
1453,"Penalized ML",0.24798546530523852
1453,"ML",0.10565688198483865
1454,"Penalized ML",0.25225205672826817
1454,"ML",0.20948271231712728
1455,"Penalized ML",0.255910665918296
1455,"ML",0.28211731825235425
1456,"Penalized ML",0.25803645298937533
1456,"ML",0.2984127016291578
1457,"Penalized ML",0.25749335819810765
1457,"ML",0.33993350383558857
1458,"Penalized ML",0.24538307786314606
1458,"ML",0.1070893388673023
1459,"Penalized ML",0.24052897596596015
1459,"ML",0.13772445703780337
1460,"Penalized ML",0.23668641135972043
1460,"ML",0.14947768975059608
1461,"Penalized ML",0.23070571331520504
1461,"ML",0.20778160320114336
1462,"Penalized ML",0.22582422538130223
1462,"ML",0.22248244101102102
1463,"Penalized ML",0.22037212550014204
1463,"ML",0.16866679963706374
1464,"Penalized ML",0.21751367644208666
1464,"ML",0.16338960643361333
1465,"Penalized ML",0.21793974047875955
1465,"ML",0.18249782271439086
1466,"Penalized ML",0.2201314111800187
1466,"ML",0.2183707974583583
1467,"Penalized ML",0.2221605301713922
1467,"ML",0.18782914280970892
1468,"Penalized ML",0.22189489112790364
1468,"ML",0.19358477800639778
1469,"Penalized ML",0.22183174047987245
1469,"ML",0.2025263496823316
1470,"Penalized ML",0.22133465733279248
1470,"ML",0.29337451554706884
1471,"Penalized ML",0.2157639921025519
1471,"ML",0.21220367673503943
1472,"Penalized ML",0.21032227589479577
1472,"ML",0.18376113096861746
1473,"Penalized ML",0.20668561417358283
1473,"ML",0.22616039742205485
1474,"Penalized ML",0.20046089494933722
1474,"ML",0.1516574321531474
1475,"Penalized ML",0.19807648255358024
1475,"ML",0.128469013100267
1476,"Penalized ML",0.19687418485664687
1476,"ML",0.08203468349604616
1477,"Penalized ML",0.20418360881775394
1477,"ML",0.16167222171817397
1478,"Penalized ML",0.20696747524282472
1478,"ML",0.19090371028118672
1479,"Penalized ML",0.20920185409733813
1479,"ML",0.28809749193122064
1480,"Penalized ML",0.20493713949541317
1480,"ML",0.24378606696562255
1481,"Penalized ML",0.19545137476534458
1481,"ML",0.2706675909766
1482,"Penalized ML",0.1782928924628103
1482,"ML",0.09935781436267907
1483,"Penalized ML",0.16785821546516705
1483,"ML",0.04691247244374643
1484,"Penalized ML",0.1703304398492033
1484,"ML",0.11075649121793132
1485,"Penalized ML",0.17292286462573783
1485,"ML",0.24205729816304103
1486,"Penalized ML",0.1676536757611745
1486,"ML",0.17257448928581823
1487,"Penalized ML",0.16072246271012514
1487,"ML",0.11588396709924269
1488,"Penalized ML",0.15873338200142248
1488,"ML",0.11694251176905975
1489,"Penalized ML",0.15676912175255592
1489,"ML",0.08537020483069495
1490,"Penalized ML",0.1631010190489594
1490,"ML",0.19559171140036663
1491,"Penalized ML",0.16466252323215275
1491,"ML",0.13472168086878675
1492,"Penalized ML",0.16719479380574823
1492,"ML",0.11588348275339355
1493,"Penalized ML",0.17458074713696078
1493,"ML",0.312672177556287
1494,"Penalized ML",0.16664328860855004
1494,"ML",0.12438020959769511
1495,"Penalized ML",0.16315419090372893
1495,"ML",0.11792004426272128
1496,"Penalized ML",0.16499078880698792
1496,"ML",0.0783296987336618
1497,"Penalized ML",0.17691142495516773
1497,"ML",0.12061015100587093
1498,"Penalized ML",0.1923124813570703
1498,"ML",0.20081836560934846
1499,"Penalized ML",0.20636055409588175
1499,"ML",0.2692559542005455
1500,"Penalized ML",0.21216791904995866
1500,"ML",0.12441421779310546
1501,"Penalized ML",0.22263395258257287
1501,"ML",0.19696769689856095
1502,"Penalized ML",0.23292496088868378
1502,"ML",0.32485907914528167
1503,"Penalized ML",0.23731192506286908
1503,"ML",0.19953276687087676
1504,"Penalized ML",0.2399197893984345
1504,"ML",0.2110269616770566
1505,"Penalized ML",0.24357117082658256
1505,"ML",0.2359079464612348
1506,"Penalized ML",0.24663110822073606
1506,"ML",0.1388382352415198
1507,"Penalized ML",0.25251118334157785
1507,"ML",0.22158884163983006
1508,"Penalized ML",0.25650284296493453
1508,"ML",0.2859597844307807
1509,"Penalized ML",0.2549755410145153
1509,"ML",0.2984240250205233
1510,"Penalized ML",0.2488420054216582
1510,"ML",0.17668742604706564
1511,"Penalized ML",0.24511654178815162
1511,"ML",0.22502142394873226
1512,"Penalized ML",0.24130519104269826
1512,"ML",0.2704125546312027
1513,"Penalized ML",0.235564404502997
1513,"ML",0.14396897572208756
1514,"Penalized ML",0.23220799778538667
1514,"ML",0.25500323353389415
1515,"Penalized ML",0.22659068960738246
1515,"ML",0.12698124228503183
1516,"Penalized ML",0.2266963756911554
1516,"ML",0.19542269478127486
1517,"Penalized ML",0.22809855155954242
1517,"ML",0.13651697509916694
1518,"Penalized ML",0.23309758084170631
1518,"ML",0.37376466347985354
1519,"Penalized ML",0.22956602342227245
1519,"ML",0.2571000121361911
1520,"Penalized ML",0.22427501513074133
1520,"ML",0.15131606326368097
1521,"Penalized ML",0.22335253197368896
1521,"ML",0.17818630175730346
1522,"Penalized ML",0.2252765215704204
1522,"ML",0.2215206273520124
1523,"Penalized ML",0.22633514794821433
1523,"ML",0.13239811123072645
1524,"Penalized ML",0.23312873273004664
1524,"ML",0.3076818129848402
1525,"Penalized ML",0.23471062924330877
1525,"ML",0.19487819423816607
1526,"Penalized ML",0.2385341052452664
1526,"ML",0.12841858893481664
1527,"Penalized ML",0.24678511162136765
1527,"ML",0.2824783704563033
1528,"Penalized ML",0.25068613375132326
1528,"ML",0.24111654162416052
1529,"Penalized ML",0.2537023226976251
1529,"ML",0.3550735601888099
1530,"Penalized ML",0.2506455423310766
1530,"ML",0.1393102743541226
1531,"Penalized ML",0.2491657978178475
1531,"ML",0.19470154263772385
1532,"Penalized ML",0.24767175124376387
1532,"ML",0.1845122085724499
1533,"Penalized ML",0.24911075264813365
1533,"ML",0.22111191934067861
1534,"Penalized ML",0.25167617210891785
1534,"ML",0.175162552939169
1535,"Penalized ML",0.2568886747511246
1535,"ML",0.3595298756510317
1536,"Penalized ML",0.25699512106188405
1536,"ML",0.295091270516776
1537,"Penalized ML",0.2548417917393279
1537,"ML",0.2148497220683691
1538,"Penalized ML",0.254632959324208
1538,"ML",0.26390333655680953
1539,"Penalized ML",0.2533070802967098
1539,"ML",0.20670495829374474
1540,"Penalized ML",0.2534793567831065
1540,"ML",0.23803350312323523
1541,"Penalized ML",0.25287694135732125
1541,"ML",0.3862482825689011
1542,"Penalized ML",0.24496952724470683
1542,"ML",0.17554265873335795
1543,"Penalized ML",0.23972600658596993
1543,"ML",0.15987790784608966
1544,"Penalized ML",0.23789349458653275
1544,"ML",0.1603515476466554
1545,"Penalized ML",0.24027195476433785
1545,"ML",0.17662355110890196
1546,"Penalized ML",0.2448945014934681
1546,"ML",0.17638979380979095
1547,"Penalized ML",0.25302594515173465
1547,"ML",0.26282672012930963
1548,"Penalized ML",0.2605146015200226
1548,"ML",0.32443890864126707
1549,"Penalized ML",0.26120936620214713
1549,"ML",0.28541818492860055
1550,"Penalized ML",0.26016337518662136
1550,"ML",0.6051138629213154
1551,"Penalized ML",0.24162180073086958
1551,"ML",0.12842453950964022
1552,"Penalized ML",0.2286151835680903
1552,"ML",0.1041743028273267
1553,"Penalized ML",0.22320975476843458
1553,"ML",0.21332641199372046
1554,"Penalized ML",0.21803895971509507
1554,"ML",0.1144249728457025
1555,"Penalized ML",0.2197326668429652
1555,"ML",0.2126838416361886
1556,"Penalized ML",0.22147755472851333
1556,"ML",0.16782563655541607
1557,"Penalized ML",0.22380044167510113
1557,"ML",0.15244300740517197
1558,"Penalized ML",0.230698120871716
1558,"ML",0.3862629141914139
1559,"Penalized ML",0.22703943678747102
1559,"ML",0.14886816279817291
1560,"Penalized ML",0.2275295141633929
1560,"ML",0.22482331849578066
1561,"Penalized ML",0.22788920086374656
1561,"ML",0.16820494948108883
1562,"Penalized ML",0.2295840629618461
1562,"ML",0.1988913823383195
1563,"Penalized ML",0.2265031308340197
1563,"ML",0.25708381126844887
1564,"Penalized ML",0.22109249690454155
1564,"ML",0.1688140553019777
1565,"Penalized ML",0.21598154429519292
1565,"ML",0.1266261022537042
1566,"Penalized ML",0.21605654963414692
1566,"ML",0.13192462762168172
