"year","coefficient","value"
1368,"Penalized ML",0.12335240290347985
1369,"Penalized ML",0.1669917688461018
1370,"Penalized ML",0.19839593668577296
1371,"Penalized ML",0.22158653918722332
1372,"Penalized ML",0.23219255544946488
1373,"Penalized ML",0.2288869069986405
1374,"Penalized ML",0.23470896795271617
1375,"Penalized ML",0.2411392621997593
1376,"Penalized ML",0.2406846720913874
1377,"Penalized ML",0.2441476396970292
1378,"Penalized ML",0.24361960857858012
1379,"Penalized ML",0.2428030806050994
1380,"Penalized ML",0.23373415828889235
1381,"Penalized ML",0.21456716108300572
1382,"Penalized ML",0.20382526467814469
1383,"Penalized ML",0.20378375768861165
1384,"Penalized ML",0.20580786645271482
1385,"Penalized ML",0.20861947014739468
1386,"Penalized ML",0.21112575416182575
1387,"Penalized ML",0.21796689516557247
1388,"Penalized ML",0.21725159706182573
1389,"Penalized ML",0.2151970570683167
1390,"Penalized ML",0.21315071962414234
1391,"Penalized ML",0.21387480324629232
1392,"Penalized ML",0.21718149657567354
1393,"Penalized ML",0.2224415755919893
1394,"Penalized ML",0.22148395449900157
1395,"Penalized ML",0.22809837595554344
1396,"Penalized ML",0.22814037465267936
1397,"Penalized ML",0.22467184895997294
1398,"Penalized ML",0.22511346508437724
1399,"Penalized ML",0.2287258549843145
1400,"Penalized ML",0.22439355783900466
1401,"Penalized ML",0.2133461988739024
1402,"Penalized ML",0.2085267048291387
1403,"Penalized ML",0.20803638032416108
1404,"Penalized ML",0.20196510839925988
1405,"Penalized ML",0.20341138690179997
1406,"Penalized ML",0.1988219630793165
1407,"Penalized ML",0.20133773909755143
1408,"Penalized ML",0.2059524042721965
1409,"Penalized ML",0.21023307070131703
1410,"Penalized ML",0.2152846342890689
1411,"Penalized ML",0.23060063999503827
1412,"Penalized ML",0.2524828713927716
1413,"Penalized ML",0.25497332777349246
1414,"Penalized ML",0.25510326623525187
1415,"Penalized ML",0.25919095398961206
1416,"Penalized ML",0.26665485757890506
1417,"Penalized ML",0.2533884720807886
1418,"Penalized ML",0.24360660052728503
1419,"Penalized ML",0.23144248856387464
1420,"Penalized ML",0.2302614192754226
1421,"Penalized ML",0.21581094002692214
1422,"Penalized ML",0.20493588048254258
1423,"Penalized ML",0.19415488219345797
1424,"Penalized ML",0.1905218994115083
1425,"Penalized ML",0.19420089623971779
1426,"Penalized ML",0.19340926931982322
1427,"Penalized ML",0.1967472125536389
1428,"Penalized ML",0.20741936394267624
1429,"Penalized ML",0.21662297322900112
1430,"Penalized ML",0.22065109629324697
1431,"Penalized ML",0.22140344231684653
1432,"Penalized ML",0.22288227377079747
1433,"Penalized ML",0.2161344759379832
1434,"Penalized ML",0.21468218458980734
1435,"Penalized ML",0.2059414028221839
1436,"Penalized ML",0.20304591309400405
1437,"Penalized ML",0.20710955165385322
1438,"Penalized ML",0.2104056378535671
1439,"Penalized ML",0.21576683177975342
1440,"Penalized ML",0.21618018750660356
1441,"Penalized ML",0.21900212007138328
1442,"Penalized ML",0.2268773518363032
1443,"Penalized ML",0.2336593643840911
1444,"Penalized ML",0.22550619994625518
1445,"Penalized ML",0.22030872924237954
1446,"Penalized ML",0.2146777305226582
1447,"Penalized ML",0.20857085548733056
1448,"Penalized ML",0.19721607759476967
1449,"Penalized ML",0.18930462028887723
1450,"Penalized ML",0.18444036054410984
1451,"Penalized ML",0.18774279681616732
1452,"Penalized ML",0.19453083052744036
1453,"Penalized ML",0.21000450321080577
1454,"Penalized ML",0.22208377183697608
1455,"Penalized ML",0.22754525026051065
1456,"Penalized ML",0.22920324014370844
1457,"Penalized ML",0.22630764168278908
1458,"Penalized ML",0.21160726025765125
1459,"Penalized ML",0.20437701593841776
1460,"Penalized ML",0.19996794602873116
1461,"Penalized ML",0.19537574718274683
1462,"Penalized ML",0.1935822002962916
1463,"Penalized ML",0.19062477091756108
1464,"Penalized ML",0.19105550084620482
1465,"Penalized ML",0.19606945742109375
1466,"Penalized ML",0.20313767245331388
1467,"Penalized ML",0.20930131000221225
1468,"Penalized ML",0.21071735795427862
1469,"Penalized ML",0.21076315702218995
1470,"Penalized ML",0.20777532240120394
1471,"Penalized ML",0.19795495819850983
1472,"Penalized ML",0.18841653496351388
1473,"Penalized ML",0.18336525995687677
