"year","coefficient","value"
1368,"Penalized ML",0.32542496254787495
1368,"ML",0.4735376434371691
1369,"Penalized ML",0.32430665182787105
1369,"ML",0.3760009578865067
1370,"Penalized ML",0.32250882312013973
1370,"ML",0.6164099563892619
1371,"Penalized ML",0.3188417902060645
1371,"ML",0.2506426183509597
1372,"Penalized ML",0.31587691688551134
1372,"ML",0.3887721309963118
1373,"Penalized ML",0.3127057152498356
1373,"ML",0.468352514831979
1374,"Penalized ML",0.30917877224105667
1374,"ML",0.0715055966464697
1375,"Penalized ML",0.30835280455595077
1375,"ML",0.5942878344811323
1376,"Penalized ML",0.30594475496963314
1376,"ML",-0.17526610718181573
1377,"Penalized ML",0.30580151097013347
1377,"ML",-0.16962294060907868
1378,"Penalized ML",0.3068987364363551
1378,"ML",0.47326078090968393
1379,"Penalized ML",0.3071594742871298
1379,"ML",0.41515574009977785
1380,"Penalized ML",0.3067884468045143
1380,"ML",0.37249139265414066
1381,"Penalized ML",0.30564938476746617
1381,"ML",0.3565753631086203
1382,"Penalized ML",0.3041906089432151
1382,"ML",-0.08634280182742646
1383,"Penalized ML",0.30436230891752264
1383,"ML",0.37308559464026203
1384,"Penalized ML",0.3042361567100148
1384,"ML",0.4215565110345539
1385,"Penalized ML",0.30266671709321097
1385,"ML",0.4273195122027471
1386,"Penalized ML",0.29978694977694276
1386,"ML",0.42222182897905763
1387,"Penalized ML",0.2965045667240439
1387,"ML",1.3020297987899492
1388,"Penalized ML",0.28950558678413263
1388,"ML",0.39886473666930045
1389,"Penalized ML",0.2811777712184848
1389,"ML",0.44895057859485155
1390,"Penalized ML",0.27084823748440073
1390,"ML",0.07326185821454818
1391,"Penalized ML",0.26192979872244343
1391,"ML",0.24268580485127783
1392,"Penalized ML",0.25318082696559124
1392,"ML",-0.18914055556596596
1393,"Penalized ML",0.24633104195484384
1393,"ML",0.3783599799603959
1394,"Penalized ML",0.23783261702122657
1394,"ML",-0.2620459055951078
1395,"Penalized ML",0.23177121216394905
1395,"ML",0.04592674129267142
1396,"Penalized ML",0.22819653373166052
1396,"ML",-0.12996715214708637
1397,"Penalized ML",0.22744745039748218
1397,"ML",0.09661595214154815
1398,"Penalized ML",0.22703465320108507
1398,"ML",0.18802091228484968
1399,"Penalized ML",0.22735310234662864
1399,"ML",0.7537676817102105
1400,"Penalized ML",0.22621441405381285
1400,"ML",0.31843588744114487
1401,"Penalized ML",0.22456757659002516
1401,"ML",-0.01786021059264335
1402,"Penalized ML",0.22382977710885613
1402,"ML",0.1780488432946022
1403,"Penalized ML",0.2237069909571287
1403,"ML",0.4844243148694121
1404,"Penalized ML",0.22131584025180123
1404,"ML",0.3078252064620898
1405,"Penalized ML",0.21812716529498435
1405,"ML",0.18710367713926132
1406,"Penalized ML",0.21520275152973117
1406,"ML",-0.35223993986301527
1407,"Penalized ML",0.21338513185125443
1407,"ML",0.2329976111191723
1408,"Penalized ML",0.2115296625755532
1408,"ML",-0.10985101569457088
1409,"Penalized ML",0.21370829328083346
1409,"ML",0.6046546641089757
1410,"Penalized ML",0.21327220174347042
1410,"ML",-0.046565346300390345
1411,"Penalized ML",0.21523570255105245
1411,"ML",0.2495134721249642
1412,"Penalized ML",0.21694574829415322
1412,"ML",0.171032434717986
1413,"Penalized ML",0.21922591274348968
1413,"ML",0.25010295053595843
1414,"Penalized ML",0.22123070032045777
1414,"ML",0.6531181140885176
1415,"Penalized ML",0.22172532787319957
1415,"ML",0.24392393147175379
1416,"Penalized ML",0.22201335018879892
1416,"ML",0.19723842564953556
1417,"Penalized ML",0.22251564026156234
1417,"ML",0.10800128071287389
1418,"Penalized ML",0.2237577563674363
1418,"ML",0.22824804703057844
1419,"Penalized ML",0.22496140840197806
1419,"ML",0.10212077778116777
1420,"Penalized ML",0.22673706158409718
1420,"ML",0.6926600758832557
1421,"Penalized ML",0.22492232050625496
1421,"ML",0.20013441180233635
1422,"Penalized ML",0.22324223958401732
1422,"ML",0.18386165690057277
1423,"Penalized ML",0.22193019767638053
1423,"ML",0.18216716615513986
1424,"Penalized ML",0.22128112328329788
1424,"ML",-0.0284455700440658
1425,"Penalized ML",0.22239710440625804
1425,"ML",0.9009980221457322
1426,"Penalized ML",0.22098391993453967
1426,"ML",-0.03826137003105607
1427,"Penalized ML",0.2212715166043019
1427,"ML",0.04386894133153057
1428,"Penalized ML",0.2219902636879672
1428,"ML",0.4885025548664879
1429,"Penalized ML",0.2217214662142177
1429,"ML",0.5421433795324201
1430,"Penalized ML",0.219113422132539
1430,"ML",0.03634566531359086
1431,"Penalized ML",0.21825274820019258
1431,"ML",0.317713065683765
1432,"Penalized ML",0.21732260627030248
1432,"ML",0.05433122315089534
1433,"Penalized ML",0.21838330193270827
1433,"ML",0.4664517002894905
1434,"Penalized ML",0.217796799700209
1434,"ML",0.3023993451806553
1435,"Penalized ML",0.21610609280963658
1435,"ML",-0.017844126083770437
1436,"Penalized ML",0.21683635722137656
1436,"ML",-0.243520443439977
1437,"Penalized ML",0.2186574235510694
1437,"ML",0.3288224763586979
1438,"Penalized ML",0.21970871880031012
1438,"ML",-0.03798452702242227
1439,"Penalized ML",0.22218227057686732
1439,"ML",0.09211653445486842
1440,"Penalized ML",0.2252577988116468
1440,"ML",0.2729966966724061
1441,"Penalized ML",0.22792280991873856
1441,"ML",0.33903842098702397
1442,"Penalized ML",0.23021978555507977
1442,"ML",0.10665592729682633
1443,"Penalized ML",0.23315560663602525
1443,"ML",0.47049642115358703
1444,"Penalized ML",0.2341128828835353
1444,"ML",4.3993922103231076e-4
1445,"Penalized ML",0.23740514141875751
1445,"ML",0.5391486584114052
1446,"Penalized ML",0.23956316641798658
1446,"ML",0.18614159847030654
1447,"Penalized ML",0.24209133518716805
1447,"ML",0.6554417571874578
1448,"Penalized ML",0.24388265071876047
1448,"ML",0.32937982311180086
1449,"Penalized ML",0.24525944558305482
1449,"ML",0.5440264255524567
1450,"Penalized ML",0.24388927783064177
1450,"ML",-0.4151499482923741
1451,"Penalized ML",0.24725975837238848
1451,"ML",0.21240555937596034
1452,"Penalized ML",0.25155104122381877
