"year","coefficient","value"
1368,"Penalized ML",0.18218424764109986
1368,"ML",0.26983644237726306
1369,"Penalized ML",0.18189457320872812
1369,"ML",-0.24823246493688994
1370,"Penalized ML",0.18267741823139771
1370,"ML",0.25512012194899836
1371,"Penalized ML",0.18200711649050266
1371,"ML",-0.022334763416759988
1372,"Penalized ML",0.18304604568602428
1372,"ML",0.2585527385275411
1373,"Penalized ML",0.18354166799499194
1373,"ML",0.07308701188382268
1374,"Penalized ML",0.18450689974224155
1374,"ML",0.41158017367949806
1375,"Penalized ML",0.18437784317508701
1375,"ML",0.5149303487784185
1376,"Penalized ML",0.18204907154743283
1376,"ML",0.25170749446738033
1377,"Penalized ML",0.17915606464612147
1377,"ML",-0.05212558707980726
1378,"Penalized ML",0.17782638293868294
1378,"ML",0.2482499731215897
1379,"Penalized ML",0.17608298750237597
1379,"ML",0.14163902008848686
1380,"Penalized ML",0.17448641288820532
1380,"ML",0.1471215937803189
1381,"Penalized ML",0.17310604403923527
1381,"ML",0.5123363735352587
1382,"Penalized ML",0.1697603292665874
1382,"ML",0.32567674026115156
1383,"Penalized ML",0.16527156134505241
1383,"ML",-0.06685818075321462
1384,"Penalized ML",0.16268439503513055
1384,"ML",-0.23836862123410787
1385,"Penalized ML",0.16328634673149994
1385,"ML",0.3195746602100876
1386,"Penalized ML",0.1626711664581986
1386,"ML",0.44976740863348247
1387,"Penalized ML",0.16139050371608923
1387,"ML",-0.07145144033680892
1388,"Penalized ML",0.16194100232742586
1388,"ML",0.3707792850812288
1389,"Penalized ML",0.16130249633736335
1389,"ML",-0.13626211773376362
1390,"Penalized ML",0.16321228065612312
1390,"ML",0.5481821527666065
1391,"Penalized ML",0.16272570412669296
1391,"ML",-0.053388577981718456
1392,"Penalized ML",0.16420602656234787
1392,"ML",0.6607167651864541
1393,"Penalized ML",0.1630553796544314
1393,"ML",0.14351156223250125
1394,"Penalized ML",0.16204350724530775
1394,"ML",0.32698056180121204
1395,"Penalized ML",0.16019192224003895
1395,"ML",0.1804529746149722
1396,"Penalized ML",0.15815846323305
1396,"ML",-0.14917460169592436
1397,"Penalized ML",0.15835920745746015
1397,"ML",-0.21187405157707534
1398,"Penalized ML",0.15999991090234442
1398,"ML",0.3631100820488771
1399,"Penalized ML",0.1603277508377605
1399,"ML",0.4238307222358184
1400,"Penalized ML",0.1587512944640304
1400,"ML",0.1850427754358287
1401,"Penalized ML",0.15713538255361303
1401,"ML",-0.20170599525611022
1402,"Penalized ML",0.15758055022137335
1402,"ML",-0.33183529498198777
1403,"Penalized ML",0.15956858210952135
1403,"ML",0.04831383308281865
1404,"Penalized ML",0.16263801789214477
1404,"ML",0.5206266200795385
1405,"Penalized ML",0.16446122879073763
1405,"ML",0.08886589278626532
1406,"Penalized ML",0.16705677772102429
1406,"ML",0.5095324352187727
1407,"Penalized ML",0.1677175407467806
1407,"ML",0.08842337307694464
1408,"Penalized ML",0.1686692265167369
1408,"ML",0.4802569969075716
1409,"Penalized ML",0.16820168627196858
1409,"ML",0.3311071869099714
1410,"Penalized ML",0.16673308693865005
1410,"ML",0.015823612988746398
1411,"Penalized ML",0.16704014894412647
1411,"ML",0.6895313587289694
1412,"Penalized ML",0.16462585841442356
1412,"ML",-0.06872351365368053
1413,"Penalized ML",0.16459763671837094
1413,"ML",0.5769568956799338
1414,"Penalized ML",0.16255063904320524
1414,"ML",0.24428588550997918
1415,"Penalized ML",0.16022565096889316
1415,"ML",-0.1646470618802028
1416,"Penalized ML",0.1597464467604707
1416,"ML",0.48871732031219306
1417,"Penalized ML",0.15692909564467797
1417,"ML",-0.14650240860537875
1418,"Penalized ML",0.15617743168500728
1418,"ML",0.07636926573951326
1419,"Penalized ML",0.15599173384904685
1419,"ML",0.6431204762117781
1420,"Penalized ML",0.15402681886790454
1420,"ML",0.2909085069284163
1421,"Penalized ML",0.1510218824673214
1421,"ML",-0.2508557388578183
1422,"Penalized ML",0.15027935391432787
1422,"ML",0.3171191247377249
1423,"Penalized ML",0.14792729254394799
1423,"ML",0.010723067244207714
1424,"Penalized ML",0.1468585856253566
1424,"ML",-0.54280792877993
1425,"Penalized ML",0.14810364991646216
1425,"ML",0.40146940305326057
1426,"Penalized ML",0.14763312412476212
1426,"ML",-0.20461072471274588
1427,"Penalized ML",0.14893960975325146
1427,"ML",0.9618217432445177
1428,"Penalized ML",0.14612370237152372
1428,"ML",0.08444754408186184
1429,"Penalized ML",0.1438868557826902
1429,"ML",0.27688769651329315
1430,"Penalized ML",0.14093472944626173
1430,"ML",0.3115767057881154
1431,"Penalized ML",0.13666441032223223
1431,"ML",0.012014408751065865
1432,"Penalized ML",0.1328280637974731
1432,"ML",0.15146858662207882
1433,"Penalized ML",0.12891777032401516
1433,"ML",-0.5159854297926773
1434,"Penalized ML",0.1281361925303901
1434,"ML",0.15632753512988254
1435,"Penalized ML",0.1269590048254349
1435,"ML",0.5816516159743329
1436,"Penalized ML",0.12375113465664513
1436,"ML",-0.7257598809039562
1437,"Penalized ML",0.12481337343887916
1437,"ML",0.12014967047233806
1438,"Penalized ML",0.12589013765485332
1438,"ML",-0.37252503990978614
1439,"Penalized ML",0.12829621349610748
1439,"ML",0.33189558984081746
1440,"Penalized ML",0.12847515935367668
1440,"ML",0.2615342350171668
1441,"Penalized ML",0.1278315249930293
1441,"ML",-0.015185179979013778
1442,"Penalized ML",0.12827680687182358
1442,"ML",0.6842158685811278
1443,"Penalized ML",0.1268735096722741
1443,"ML",-0.09375718737786715
1444,"Penalized ML",0.1283113120600167
1444,"ML",0.4344825362460612
1445,"Penalized ML",0.1277930450028882
1445,"ML",0.2542679578216617
1446,"Penalized ML",0.12645266990365572
1446,"ML",0.4888129302842985
1447,"Penalized ML",0.12349150988232435
1447,"ML",-0.24240798117820261
1448,"Penalized ML",0.12292684154942338
1448,"ML",0.16341947397837064
1449,"Penalized ML",0.12220864191860065
1449,"ML",0.10725535602267529
1450,"Penalized ML",0.12148192049145917
1450,"ML",0.28906461607575146
1451,"Penalized ML",0.11847313899370746
1451,"ML",0.6211102637597546
1452,"Penalized ML",0.11507303465884508
1452,"ML",0.47591985535448567
1453,"Penalized ML",0.1062909630895608
1453,"ML",-0.5895118961380902
1454,"Penalized ML",0.10446390400199036
1454,"ML",0.1299969686737514
1455,"Penalized ML",0.1018655494591849
1455,"ML",0.05773771856751352
1456,"Penalized ML",0.09949127234703724
1456,"ML",-0.17872573772531547
1457,"Penalized ML",0.09887445137616684
1457,"ML",0.10714517580392037
1458,"Penalized ML",0.09808037059644817
1458,"ML",0.11429752800192579
1459,"Penalized ML",0.09765195762823257
1459,"ML",0.1159672192862287
1460,"Penalized ML",0.0965539683372933
1460,"ML",0.07547703942036718
1461,"Penalized ML",0.09548248327035269
1461,"ML",0.49971253850447667
1462,"Penalized ML",0.09183800127457303
1462,"ML",-0.19729282031766635
1463,"Penalized ML",0.09123397007361159
1463,"ML",-0.0832103153636829
1464,"Penalized ML",0.09164263860727238
1464,"ML",0.40044889599298744
1465,"Penalized ML",0.091575746182729
1465,"ML",0.3165480487991287
1466,"Penalized ML",0.09053787664386997
1466,"ML",-0.4646080229556767
1467,"Penalized ML",0.09311095201969344
1467,"ML",0.26368513820040373
1468,"Penalized ML",0.09508218237223821
1468,"ML",0.1098109856203578
1469,"Penalized ML",0.09686004383039631
1469,"ML",-0.04702639998670004
1470,"Penalized ML",0.10029497340303581
1470,"ML",0.7490554357099292
1471,"Penalized ML",0.10063554420795638
1471,"ML",-0.23285537510110416
1472,"Penalized ML",0.10364974060442786
1472,"ML",0.05506927013503538
1473,"Penalized ML",0.10687758881859988
1473,"ML",0.70270055880007
1474,"Penalized ML",0.10650896133855797
1474,"ML",0.12158681857868678
1475,"Penalized ML",0.1063905220513267
1475,"ML",0.14459658731819255
1476,"Penalized ML",0.10636419811858866
1476,"ML",0.2886259851893208
1477,"Penalized ML",0.10466023497329437
1477,"ML",0.3999283549403509
1478,"Penalized ML",0.1022576432217279
1478,"ML",0.20880100968013557
1479,"Penalized ML",0.09907949171818829
1479,"ML",-0.13860236647223273
1480,"Penalized ML",0.09858860820615228
1480,"ML",0.11690055700382086
1481,"Penalized ML",0.09798706413534064
1481,"ML",0.15228867219312597
1482,"Penalized ML",0.0968822352717807
1482,"ML",-0.07873953740459673
1483,"Penalized ML",0.09644830568251032
1483,"ML",-0.09129648021604964
1484,"Penalized ML",0.09773460659913001
1484,"ML",-0.22447155776029037
1485,"Penalized ML",0.09977845788890619
1485,"ML",0.07950520524732595
1486,"Penalized ML",0.10211324725955949
1486,"ML",0.13010479949394918
1487,"Penalized ML",0.10413332282266266
1487,"ML",-0.02754694850456833
1488,"Penalized ML",0.10719745936374778
1488,"ML",0.5197815676433724
1489,"Penalized ML",0.10766692428835066
1489,"ML",-0.49547244099335547
1490,"Penalized ML",0.11103853595462332
1490,"ML",0.33996344966997066
1491,"Penalized ML",0.1121686221782038
1491,"ML",0.09739567113437651
1492,"Penalized ML",0.11357266226150628
1492,"ML",0.3910193963271302
1493,"Penalized ML",0.11271616160022067
1493,"ML",0.27592516104087694
1494,"Penalized ML",0.11098825424938698
1494,"ML",-0.06579419060906568
1495,"Penalized ML",0.10985886766238043
1495,"ML",0.085899951961485907
1496,"Penalized ML",0.10878813441607667
1496,"ML",-0.1855486772669318
1497,"Penalized ML",0.11007570205376865
1497,"ML",-0.30587167418825434
1498,"Penalized ML",0.11390042713081944
1498,"ML",0.448055569950368
1499,"Penalized ML",0.11498005064216414
1499,"ML",0.363113032470027
1500,"Penalized ML",0.11414864929979297
1500,"ML",-0.15948570833672504
1501,"Penalized ML",0.11560319636682242
1501,"ML",-3.9898416302374637e-4
1502,"Penalized ML",0.1179064148436894
1502,"ML",0.3910815572407729
1503,"Penalized ML",0.11870262816457436
1503,"ML",0.12378968454498702
1504,"Penalized ML",0.11952958744522264
1504,"ML",0.2751477360417746
1505,"Penalized ML",0.11917439874693948
1505,"ML",-0.3843028948507106
1506,"Penalized ML",0.12235996459208877
1506,"ML",0.467589761532047
1507,"Penalized ML",0.1231640174002915
1507,"ML",0.3355364599512261
1508,"Penalized ML",0.12208361888752328
1508,"ML",0.20695980696398872
1509,"Penalized ML",0.12093847988897838
1509,"ML",-0.2402142590282583
1510,"Penalized ML",0.12193759899484112
1510,"ML",0.37257788138680903
1511,"Penalized ML",0.12140469117192886
1511,"ML",-0.029813365340708557
1512,"Penalized ML",0.12146721224733194
1512,"ML",0.3845113539902727
1513,"Penalized ML",0.11853272116686048
1513,"ML",-0.0032946999372213477
1514,"Penalized ML",0.11647366685193054
1514,"ML",0.04960462156825527
1515,"Penalized ML",0.11472438432204628
1515,"ML",-0.2618258426940955
1516,"Penalized ML",0.11568345649004046
1516,"ML",0.19428449567582623
1517,"Penalized ML",0.11612483931553133
1517,"ML",-0.41488052522050606
1518,"Penalized ML",0.11871671105418116
1518,"ML",0.2150082693010278
1519,"Penalized ML",0.12097495896774033
1519,"ML",0.11139421264051133
1520,"Penalized ML",0.12346150195660185
1520,"ML",0.13531039883642335
1521,"Penalized ML",0.1262384185382281
1521,"ML",0.015627655357957425
1522,"Penalized ML",0.12993361952891852
1522,"ML",0.23668581823999668
