"year","coefficient","value"
1368,"Penalized ML",0.18108002532641718
1368,"ML",0.17648991632769845
1369,"Penalized ML",0.1810600959816165
1369,"ML",-0.38230435166288784
1370,"Penalized ML",0.18422748055155666
1370,"ML",0.36294655801003783
1371,"Penalized ML",0.18637176325411525
1371,"ML",0.13051318048352695
1372,"Penalized ML",0.18977718090913684
1372,"ML",0.20698512271494895
1373,"Penalized ML",0.19345735260545224
1373,"ML",0.535598289813545
1374,"Penalized ML",0.1958764395359739
1374,"ML",0.08042926325678204
1375,"Penalized ML",0.19913866553150064
1375,"ML",0.4475596925487035
1376,"Penalized ML",0.20046122785073323
1376,"ML",0.1046453213605911
1377,"Penalized ML",0.2020216251964766
1377,"ML",0.5269408830013447
1378,"Penalized ML",0.20173862889341693
1378,"ML",0.2342872156808302
1379,"Penalized ML",0.20127023522714235
1379,"ML",0.4240302063699874
1380,"Penalized ML",0.19852005418846733
1380,"ML",-1.8044182894851605e-4
1381,"Penalized ML",0.19869585707878906
1381,"ML",0.06102544290557756
1382,"Penalized ML",0.19949364081044335
1382,"ML",-0.057640121092030816
1383,"Penalized ML",0.20117653259708987
1383,"ML",0.37476926069155087
1384,"Penalized ML",0.20182218995682916
1384,"ML",0.19210534871162702
1385,"Penalized ML",0.20285389852440552
1385,"ML",0.43561658321318886
1386,"Penalized ML",0.20261819841103665
1386,"ML",0.8736393003346627
1387,"Penalized ML",0.19914699196233612
1387,"ML",0.39507553326037215
1388,"Penalized ML",0.19359923518267486
1388,"ML",0.04888800389774133
1389,"Penalized ML",0.1893725838098794
1389,"ML",0.18234082146110484
1390,"Penalized ML",0.1854776573552921
1390,"ML",0.10062613713349161
1391,"Penalized ML",0.18240304795491652
1391,"ML",0.37564329859149936
1392,"Penalized ML",0.17867572626907016
1392,"ML",0.44996688628374437
1393,"Penalized ML",0.17342331640317546
1393,"ML",0.12480507690470057
1394,"Penalized ML",0.16865448790120385
1394,"ML",0.48835467505172625
1395,"Penalized ML",0.16285569569899674
1395,"ML",-0.1452774768640627
1396,"Penalized ML",0.15990982199010195
1396,"ML",0.10522984765934343
1397,"Penalized ML",0.15735430759077304
1397,"ML",-0.1890911669122974
1398,"Penalized ML",0.1561901540086442
