"year","coefficient","value"
1368,"Penalized ML",11.479642545733967
1368,"ML",11.49699125656679
1369,"Penalized ML",11.457469277911327
1369,"ML",11.45022829985233
1370,"Penalized ML",11.448907469007601
1370,"ML",11.447434535248785
1371,"Penalized ML",11.419944243810072
1371,"ML",11.363312012834257
1372,"Penalized ML",11.492934015948086
1372,"ML",11.59415212844294
1373,"Penalized ML",11.374876421222655
1373,"ML",11.234592683233247
1374,"Penalized ML",11.469271767378522
1374,"ML",11.48356967053556
1375,"Penalized ML",11.528658915335505
1375,"ML",11.618019684018172
1376,"Penalized ML",11.49041334470256
1376,"ML",11.51699580091502
1377,"Penalized ML",11.453344776145652
1377,"ML",11.461584015217642
1378,"Penalized ML",11.391259952267616
1378,"ML",11.324058540167337
1379,"Penalized ML",11.403215774115571
1379,"ML",11.36178333059664
1380,"Penalized ML",11.42461005613287
1380,"ML",11.36991065928472
1381,"Penalized ML",11.499395450105506
1381,"ML",11.500250183414792
1382,"Penalized ML",11.56234132687533
1382,"ML",11.586121704684487
1383,"Penalized ML",11.584883220464267
1383,"ML",11.549805330332555
1384,"Penalized ML",11.699961032668844
1384,"ML",11.830880171785855
1385,"Penalized ML",11.646074988961082
1385,"ML",11.633716526637231
1386,"Penalized ML",11.67995508534425
1386,"ML",11.770810181829011
1387,"Penalized ML",11.608201140131886
1387,"ML",11.629741156758943
1388,"Penalized ML",11.538834649020147
1388,"ML",11.533152959955855
1389,"Penalized ML",11.475910751932734
1389,"ML",11.453257524506249
1390,"Penalized ML",11.408127036645295
1390,"ML",11.311593747627716
1391,"Penalized ML",11.435320661999262
1391,"ML",11.40291683843226
1392,"Penalized ML",11.496423730953836
1392,"ML",11.584037830417484
1393,"Penalized ML",11.454657269243889
1393,"ML",11.479951693882708
1394,"Penalized ML",11.388383803194543
1394,"ML",11.315908739543397
1395,"Penalized ML",11.434679870395145
1395,"ML",11.519267569322947
1396,"Penalized ML",11.35336780249101
1396,"ML",11.31333927583702
1397,"Penalized ML",11.338445420022426
1397,"ML",11.323380087838723
1398,"Penalized ML",11.286999483738253
1398,"ML",11.128486323542639
1399,"Penalized ML",11.477888252428533
1399,"ML",11.619342015794714
1400,"Penalized ML",11.439857656788648
1400,"ML",11.45064879546533
1401,"Penalized ML",11.40452684428232
1401,"ML",11.321111564130637
1402,"Penalized ML",11.464832864756524
1402,"ML",11.406160706266558
1403,"Penalized ML",11.626445058667667
1403,"ML",11.812327813823558
1404,"Penalized ML",11.558234053240193
1404,"ML",11.626676022655648
1405,"Penalized ML",11.468406034376352
1405,"ML",11.522656096834403
1406,"Penalized ML",11.298586708656378
1406,"ML",11.1796149765964
1407,"Penalized ML",11.24808640833361
1407,"ML",11.083187339531323
1408,"Penalized ML",11.358872798156082
1408,"ML",11.338771886249411
1409,"Penalized ML",11.480080418614616
1409,"ML",11.593584773839483
1410,"Penalized ML",11.489610588401495
1410,"ML",11.580947751901254
1411,"Penalized ML",11.411217710687094
1411,"ML",11.36108724483771
1412,"Penalized ML",11.378712225460369
1412,"ML",11.242195459706183
1413,"Penalized ML",11.498558502292477
1413,"ML",11.550187553016332
1414,"Penalized ML",11.552158264387051
1414,"ML",11.649441949392484
1415,"Penalized ML",11.506950094424946
1415,"ML",11.493641214778096
1416,"Penalized ML",11.501792270047428
1416,"ML",11.515706633580791
1417,"Penalized ML",11.489542353601491
1417,"ML",11.537583515975951
1418,"Penalized ML",11.420061021475188
1418,"ML",11.383643621908023
1419,"Penalized ML",11.400030461861622
1419,"ML",11.395665443136476
1420,"Penalized ML",11.353375367734218
1420,"ML",11.255424223498167
1421,"Penalized ML",11.425620188119733
1421,"ML",11.479418016564328
1422,"Penalized ML",11.434044233911843
1422,"ML",11.512724166746175
1423,"Penalized ML",11.346940242191486
1423,"ML",11.256073887817248
1424,"Penalized ML",11.404463736089895
1424,"ML",11.513045736834473
1425,"Penalized ML",11.286555173720735
1425,"ML",11.154215615893488
1426,"Penalized ML",11.330745418969505
1426,"ML",11.269343811365639
1427,"Penalized ML",11.433878672291966
1427,"ML",11.519979508640407
1428,"Penalized ML",11.43816665243084
1428,"ML",11.498663059972793
1429,"Penalized ML",11.353517276223487
1429,"ML",11.176549187455247
1430,"Penalized ML",11.475813603349327
1430,"ML",11.466633507089632
1431,"Penalized ML",11.6086397126159
1431,"ML",11.792261672109099
1432,"Penalized ML",11.523806630934486
1432,"ML",11.437297817034949
1433,"Penalized ML",11.595887246898293
1433,"ML",11.709448897087864
1434,"Penalized ML",11.534040153240833
1434,"ML",11.559573197711638
1435,"Penalized ML",11.481726912848204
1435,"ML",11.532410871989411
1436,"Penalized ML",11.350312943847596
