"year","coefficient","value"
1368,"Penalized ML",22.592004154021048
1368,"ML",22.68828449288749
1369,"Penalized ML",22.480298411933493
1369,"ML",22.467437207072408
1370,"Penalized ML",22.385353426707837
1370,"ML",22.28693031903365
1371,"Penalized ML",22.359699103808893
1371,"ML",22.236778011429635
1372,"Penalized ML",22.45061967901897
1372,"ML",22.526902868316263
1373,"Penalized ML",22.442522637961584
1373,"ML",22.425304429056098
1374,"Penalized ML",22.464792119502
1374,"ML",22.45292355486995
1375,"Penalized ML",22.505418729034037
1375,"ML",22.55775406762118
1376,"Penalized ML",22.48965470623144
1376,"ML",22.472196668718794
1377,"Penalized ML",22.494669503221758
1377,"ML",22.467694014049947
1378,"Penalized ML",22.516814636659984
1378,"ML",22.48713509136225
1379,"Penalized ML",22.563220330762285
1379,"ML",22.57742001015487
1380,"Penalized ML",22.600196581640862
1380,"ML",22.65239660684903
1381,"Penalized ML",22.597625458939127
1381,"ML",22.608540065339565
1382,"Penalized ML",22.59430494005061
1382,"ML",22.601301482481553
1383,"Penalized ML",22.59587568543055
1383,"ML",22.666343003783957
1384,"Penalized ML",22.55330882879079
1384,"ML",22.627217957425803
1385,"Penalized ML",22.44336727643029
1385,"ML",22.299588862342958
1386,"Penalized ML",22.44779467961023
1386,"ML",22.36440116978356
1387,"Penalized ML",22.508891298561114
1387,"ML",22.556737017140627
1388,"Penalized ML",22.527719872971023
1388,"ML",22.579972606730404
1389,"Penalized ML",22.515137772019724
1389,"ML",22.547702481982945
1390,"Penalized ML",22.470913261539646
1390,"ML",22.366898667641326
1391,"Penalized ML",22.520918717386856
1391,"ML",22.59092834820488
1392,"Penalized ML",22.494023459849494
1392,"ML",22.444501710268643
1393,"Penalized ML",22.519370032347343
1393,"ML",22.522634376192332
1394,"Penalized ML",22.545664338791696
1394,"ML",22.620353509495107
1395,"Penalized ML",22.498208539255405
1395,"ML",22.457052143293794
1396,"Penalized ML",22.499030550095807
1396,"ML",22.490221963711477
1397,"Penalized ML",22.49606187097303
1397,"ML",22.459000816046405
1398,"Penalized ML",22.545236685767108
1398,"ML",22.627760244265716
1399,"Penalized ML",22.498460716650474
1399,"ML",22.48417497030602
1400,"Penalized ML",22.46772141279473
1400,"ML",22.389596701870172
1401,"Penalized ML",22.527210135194814
1401,"ML",22.55865907087256
1402,"Penalized ML",22.534065739666016
1402,"ML",22.54331850505242
1403,"Penalized ML",22.54080060661669
1403,"ML",22.571538131251952
1404,"Penalized ML",22.502530471951783
1404,"ML",22.45539930743011
1405,"Penalized ML",22.532636106884986
1405,"ML",22.547384383865026
1406,"Penalized ML",22.52715517783845
1406,"ML",22.47684337964602
1407,"Penalized ML",22.588332903117447
1407,"ML",22.60534632097294
1408,"Penalized ML",22.641646914365303
1408,"ML",22.764966619494796
1409,"Penalized ML",22.560863569150808
1409,"ML",22.565365780060713
1410,"Penalized ML",22.479570809408365
1410,"ML",22.37150892933501
1411,"Penalized ML",22.501877901153684
1411,"ML",22.503923235259936
1412,"Penalized ML",22.506889059494622
1412,"ML",22.520222085333856
1413,"Penalized ML",22.499050642831598
1413,"ML",22.50052035912194
1414,"Penalized ML",22.48339031095603
1414,"ML",22.436142090701786
1415,"Penalized ML",22.526572328093746
1415,"ML",22.558355252654863
1416,"Penalized ML",22.53855679204708
1416,"ML",22.60571305254657
1417,"Penalized ML",22.49312696675661
1417,"ML",22.5215724360698
1418,"Penalized ML",22.41740107133438
1418,"ML",22.327209069087402
1419,"Penalized ML",22.42148688731401
1419,"ML",22.366908200953027
1420,"Penalized ML",22.477451242685312
1420,"ML",22.55411167996032
1421,"Penalized ML",22.441120777754907
1421,"ML",22.384461542631023
1422,"Penalized ML",22.481658604568498
1422,"ML",22.51546857872132
1423,"Penalized ML",22.47463179279208
1423,"ML",22.458602529072635
1424,"Penalized ML",22.484661192825648
1424,"ML",22.445470304470714
1425,"Penalized ML",22.56484858225978
1425,"ML",22.643264768513564
1426,"Penalized ML",22.538672425023066
1426,"ML",22.606616243069176
1427,"Penalized ML",22.420103298291593
1427,"ML",22.34496448562464
1428,"Penalized ML",22.39081581353801
1428,"ML",22.306709378043337
1429,"Penalized ML",22.432295049759333
1429,"ML",22.39743699579356
1430,"Penalized ML",22.502450406671617
1430,"ML",22.53613268020094
1431,"Penalized ML",22.54466757171818
1431,"ML",22.628007746901016
1432,"Penalized ML",22.511521057399282
1432,"ML",22.548590499391487
1433,"Penalized ML",22.44893740802598
1433,"ML",22.4081999206121
1434,"Penalized ML",22.423110322370942
1434,"ML",22.368901338261956
1435,"Penalized ML",22.436418007582564
1435,"ML",22.393621701927938
1436,"Penalized ML",22.48971991742411
1436,"ML",22.529226577084643
1437,"Penalized ML",22.500091788272105
1437,"ML",22.5111946353531
1438,"Penalized ML",22.511099803003418
1438,"ML",22.56381321066541
1439,"Penalized ML",22.470044864423176
1439,"ML",22.46887312543026
1440,"Penalized ML",22.42988468745043
1440,"ML",22.380167516626866
1441,"Penalized ML",22.431552295706528
1441,"ML",22.360308809850252
1442,"Penalized ML",22.50938968031465
1442,"ML",22.590559648006632
1443,"Penalized ML",22.496264014245362
1443,"ML",22.46575028729501
1444,"Penalized ML",22.52204585326777
1444,"ML",22.5505673769944
1445,"Penalized ML",22.51559038530828
1445,"ML",22.493128517905408
1446,"Penalized ML",22.542472978395345
1446,"ML",22.608032923053013
1447,"Penalized ML",22.499105412303006
1447,"ML",22.486821809844027
1448,"Penalized ML",22.474553928911224
1448,"ML",22.463121683385175
1449,"Penalized ML",22.46103598301944
1449,"ML",22.475132409396487
1450,"Penalized ML",22.448768400897414
1450,"ML",22.600613307747953
1451,"Penalized ML",22.33186836388562
1451,"ML",22.524153753932183
1452,"Penalized ML",22.064865131780657
1452,"ML",21.905704722295184
1453,"Penalized ML",21.884183534096014
1453,"ML",21.290436867106955
1454,"Penalized ML",22.104251633090012
1454,"ML",22.224821350920177
1455,"Penalized ML",22.19905767829778
