"year","coefficient","value"
1368,"Penalized ML",16.328467489645647
1368,"ML",16.378257031501096
1369,"Penalized ML",16.280158372202912
1369,"ML",16.35073556347449
1370,"Penalized ML",16.131665958796564
1370,"ML",16.057867652709945
1371,"Penalized ML",16.05640598977936
1371,"ML",15.876627413713404
1372,"Penalized ML",16.249830978089555
1372,"ML",16.407860569953172
1373,"Penalized ML",16.15400550596866
1373,"ML",16.070440951945173
1374,"Penalized ML",16.227453039899242
1374,"ML",16.241295762442267
1375,"Penalized ML",16.287740061212858
1375,"ML",16.394286216755873
1376,"Penalized ML",16.17960948922901
1376,"ML",16.16063530314456
1377,"Penalized ML",16.115836622140048
1377,"ML",16.05244931148579
1378,"Penalized ML",16.148270266575963
1378,"ML",16.14230257549494
1379,"Penalized ML",16.170884232633995
1379,"ML",16.172699391842944
1380,"Penalized ML",16.166731781911114
1380,"ML",16.096893387576024
1381,"Penalized ML",16.28075192619039
1381,"ML",16.292078782200093
1382,"Penalized ML",16.3636967018074
1382,"ML",16.397481643903873
1383,"Penalized ML",16.40001152097967
1383,"ML",16.4320385968821
1384,"Penalized ML",16.420407710768682
1384,"ML",16.50775847208471
1385,"Penalized ML",16.249155125071535
1385,"ML",16.148364457634095
1386,"Penalized ML",16.279101612065343
1386,"ML",16.219311500265107
1387,"Penalized ML",16.425398965961595
1387,"ML",16.547107551463018
1388,"Penalized ML",16.333130863926744
1388,"ML",16.3281154971111
1389,"Penalized ML",16.310620580360105
1389,"ML",16.368966326092178
1390,"Penalized ML",16.13397334551419
1390,"ML",15.989800761345174
1391,"Penalized ML",16.26231872090385
1391,"ML",16.333615060251176
1392,"Penalized ML",16.199224916845644
1392,"ML",16.152004612989714
1393,"Penalized ML",16.250729721776487
1393,"ML",16.279226944225705
1394,"Penalized ML",16.261780051273043
1394,"ML",16.339069801411863
1395,"Penalized ML",16.143161330155976
1395,"ML",16.128009164903563
1396,"Penalized ML",16.048604879716507
1396,"ML",15.962967544894019
1397,"Penalized ML",16.093457774822816
1397,"ML",16.086881903226104
1398,"Penalized ML",16.128211179664614
1398,"ML",16.134233400108787
1399,"Penalized ML",16.16155464796255
1399,"ML",16.20322109215102
1400,"Penalized ML",16.127878328662476
1400,"ML",16.12994474677049
1401,"Penalized ML",16.084329716489556
1401,"ML",16.021445088921258
1402,"Penalized ML",16.14587563973709
1402,"ML",16.123108237347946
1403,"Penalized ML",16.248935827877947
1403,"ML",16.31420354423694
1404,"Penalized ML",16.221617210868576
1404,"ML",16.195541144635477
1405,"Penalized ML",16.29709544390641
1405,"ML",16.428545875129497
1406,"Penalized ML",16.10034496060505
1406,"ML",15.989642726779254
1407,"Penalized ML",16.114184060660403
1407,"ML",16.021464978171107
1408,"Penalized ML",16.279218137131142
1408,"ML",16.330210316222864
1409,"Penalized ML",16.361091389114026
1409,"ML",16.48580481355749
1410,"Penalized ML",16.21915970080858
1410,"ML",16.171300989134487
1411,"Penalized ML",16.196231809274632
1411,"ML",16.183846158768105
1412,"Penalized ML",16.182586466507484
1412,"ML",16.187941169545567
1413,"Penalized ML",16.150859374145046
1413,"ML",16.128190436830334
1414,"Penalized ML",16.141550503727792
1414,"ML",16.083102430409177
1415,"Penalized ML",16.23928533271657
1415,"ML",16.30339470349225
1416,"Penalized ML",16.23982861331248
1416,"ML",16.3227166570154
1417,"Penalized ML",16.133264306972976
1417,"ML",16.149875685227713
1418,"Penalized ML",15.981211372377102
1418,"ML",15.837357009424322
1419,"Penalized ML",16.079772763022586
1419,"ML",16.09170340217118
1420,"Penalized ML",16.110031735901195
1420,"ML",16.094761812549947
1421,"Penalized ML",16.170100759704585
1421,"ML",16.170399820730097
1422,"Penalized ML",16.24666243385685
1422,"ML",16.317360705501176
1423,"Penalized ML",16.17917830988677
1423,"ML",16.134888159398326
1424,"Penalized ML",16.22123088010383
1424,"ML",16.23102945285879
1425,"Penalized ML",16.255318705874238
1425,"ML",16.338784389220635
1426,"Penalized ML",16.12513141648781
1426,"ML",16.094258933222786
1427,"Penalized ML",16.064450058438386
1427,"ML",16.01439970123433
1428,"Penalized ML",16.09043394805525
1428,"ML",16.088814572137707
1429,"Penalized ML",16.089158613375275
1429,"ML",16.02326675739279
1430,"Penalized ML",16.204166139523206
1430,"ML",16.202540932813715
1431,"Penalized ML",16.335018611045072
1431,"ML",16.458875357224798
1432,"Penalized ML",16.249133344097583
1432,"ML",16.235038286924322
1433,"Penalized ML",16.222065924001658
