"year","coefficient","value"
1368,"Penalized ML",0.3553485355862048
1368,"ML",0.41256332117246586
1369,"Penalized ML",0.35379042170902913
1369,"ML",0.6061911308449285
1370,"Penalized ML",0.3453581864629927
1370,"ML",0.23353735750490817
1371,"Penalized ML",0.3398388722685458
1371,"ML",0.30437799159685625
1372,"Penalized ML",0.3343359223478421
1372,"ML",0.354900297841157
1373,"Penalized ML",0.32767580579989963
1373,"ML",0.10956647287691083
1374,"Penalized ML",0.3265712596371861
1374,"ML",0.5263991267749177
1375,"Penalized ML",0.31906109779646696
1375,"ML",0.26308738419910815
1376,"Penalized ML",0.31200008941857565
1376,"ML",0.13072679746841323
1377,"Penalized ML",0.310173522312024
1377,"ML",0.11757108728698958
1378,"Penalized ML",0.3130069979992785
1378,"ML",0.23352304259405365
1379,"Penalized ML",0.317297145337465
1379,"ML",0.2227522143394542
1380,"Penalized ML",0.3243328125672522
1380,"ML",0.5502393923907273
1381,"Penalized ML",0.32415564988057016
1381,"ML",0.23223686184494943
1382,"Penalized ML",0.32665538402854
1382,"ML",0.17177143050323485
1383,"Penalized ML",0.3337590929527462
1383,"ML",0.2980144989907726
1384,"Penalized ML",0.3408440585566188
1384,"ML",0.6571598977330937
1385,"Penalized ML",0.3384145880125974
1385,"ML",0.42404236254817246
1386,"Penalized ML",0.3331408256671579
1386,"ML",0.073575777972889
1387,"Penalized ML",0.33489638021405177
1387,"ML",0.1635107101211728
1388,"Penalized ML",0.341487258121784
1388,"ML",0.311242613787438
1389,"Penalized ML",0.3433865893183535
1389,"ML",0.5107700551883745
1390,"Penalized ML",0.3404015251561497
1390,"ML",0.25221736866439465
1391,"Penalized ML",0.3391340455591325
1391,"ML",0.2950136612576766
1392,"Penalized ML",0.33865724001542585
1392,"ML",0.20876955111891987
1393,"Penalized ML",0.34156006272299483
1393,"ML",0.649854470038632
1394,"Penalized ML",0.33460671113127577
1394,"ML",0.14063641609842953
1395,"Penalized ML",0.3327397442721154
1395,"ML",0.6165330586882314
1396,"Penalized ML",0.3204846113548711
1396,"ML",0.3705321145547631
1397,"Penalized ML",0.30581103828592365
1397,"ML",0.1284892847709702
1398,"Penalized ML",0.2956101423970437
1398,"ML",0.11706190772631495
1399,"Penalized ML",0.29103982806118056
1399,"ML",0.12573687222062332
1400,"Penalized ML",0.29156891251963113
1400,"ML",0.18608190839790176
1401,"Penalized ML",0.29471020367968986
1401,"ML",0.1618746873868143
1402,"Penalized ML",0.30243851798318105
1402,"ML",0.37933065327737975
1403,"Penalized ML",0.30696072614790343
1403,"ML",0.38049166332746726
1404,"Penalized ML",0.3075286650967352
1404,"ML",0.31235238752620925
1405,"Penalized ML",0.306963958548326
1405,"ML",0.1417150522695368
1406,"Penalized ML",0.31191637281121604
1406,"ML",0.11974266081644802
1407,"Penalized ML",0.32268608012422834
1407,"ML",0.21069240670540856
1408,"Penalized ML",0.33505468236351316
1408,"ML",0.6345104346322324
1409,"Penalized ML",0.3387197913421397
1409,"ML",0.32311910529381627
1410,"Penalized ML",0.34051547169984214
1410,"ML",0.33876119675690697
1411,"Penalized ML",0.34078903030896285
1411,"ML",0.20623917529832675
1412,"Penalized ML",0.34379521976137134
1412,"ML",0.4040160992973502
1413,"Penalized ML",0.3446746020126385
1413,"ML",0.31886673758855266
1414,"Penalized ML",0.3460247929670519
1414,"ML",0.17637151903020967
1415,"Penalized ML",0.3517400976253732
1415,"ML",0.4333735624884806
1416,"Penalized ML",0.354282149884411
1416,"ML",0.4653883207657614
1417,"Penalized ML",0.3539011205471786
1417,"ML",0.3132953232993192
1418,"Penalized ML",0.35448065962862635
1418,"ML",0.48988009218167533
1419,"Penalized ML",0.3513542282433374
1419,"ML",0.22948345552766927
1420,"Penalized ML",0.3514016172558404
1420,"ML",0.4271954455583197
1421,"Penalized ML",0.3490709314565872
1421,"ML",0.22854594388904514
1422,"Penalized ML",0.3472774267281094
1422,"ML",0.26564994792467383
1423,"Penalized ML",0.3475230210272144
1423,"ML",0.571920745764938
1424,"Penalized ML",0.34136737363468206
1424,"ML",0.2785850217257723
1425,"Penalized ML",0.33644023556559477
1425,"ML",0.18538811253871987
1426,"Penalized ML",0.3345809590967817
1426,"ML",0.16398149133679868
1427,"Penalized ML",0.3351307046885518
1427,"ML",0.14686681667774737
1428,"Penalized ML",0.34019860268782603
1428,"ML",0.2412451713413949
1429,"Penalized ML",0.34783932233476417
1429,"ML",0.35635608956976494
1430,"Penalized ML",0.35379175881043795
1430,"ML",0.3949010133386024
1431,"Penalized ML",0.3575270329520832
1431,"ML",0.2719353416997312
1432,"Penalized ML",0.36210336935807164
1432,"ML",0.580236356251193
1433,"Penalized ML",0.3607904188724528
1433,"ML",0.36415108625539155
1434,"Penalized ML",0.3585361942959169
1434,"ML",0.6083317603368804
1435,"Penalized ML",0.34938129497251486
1435,"ML",0.44487537008437505
1436,"Penalized ML",0.337483252975849
1436,"ML",0.1293829459062717
1437,"Penalized ML",0.3301858636041066
1437,"ML",0.30012417282654713
1438,"Penalized ML",0.32291842577917557
1438,"ML",0.19503771160777494
1439,"Penalized ML",0.3193490078503757
1439,"ML",0.2724972923700303
1440,"Penalized ML",0.31623244498186287
1440,"ML",0.4177114244913738
1441,"Penalized ML",0.3095555903642849
1441,"ML",0.1410878181142537
1442,"Penalized ML",0.3085456740271465
1442,"ML",0.20481964572326894
1443,"Penalized ML",0.3102980657498753
1443,"ML",0.39164144208564317
1444,"Penalized ML",0.30916223106661306
1444,"ML",0.34698634640304815
1445,"Penalized ML",0.3059047538783681
1445,"ML",0.18008945017630973
1446,"Penalized ML",0.3050537659554048
1446,"ML",0.261471545411657
1447,"Penalized ML",0.30513316950901126
1447,"ML",0.0723987695052414
1448,"Penalized ML",0.3132752957051431
1448,"ML",0.20145805161597857
1449,"Penalized ML",0.32424948248886226
1449,"ML",0.46118834155009875
1450,"Penalized ML",0.33091637412068026
1450,"ML",0.2813992207921544
1451,"Penalized ML",0.33672479944211725
1451,"ML",0.4127105131223257
1452,"Penalized ML",0.3339314614327149
1452,"ML",0.08562470700095973
1453,"Penalized ML",0.33786336538110134
1453,"ML",0.20908053855701206
1454,"Penalized ML",0.3424137460074676
1454,"ML",0.4436197262588899
1455,"Penalized ML",0.34376115538803886
1455,"ML",0.3223702182283096
1456,"Penalized ML",0.34507370323612724
1456,"ML",0.44408600513031415
1457,"Penalized ML",0.3433465418415565
1457,"ML",0.1823483807377563
1458,"Penalized ML",0.3447125530657307
1458,"ML",0.08856140029809292
1459,"Penalized ML",0.3524921490738411
1459,"ML",0.4344697471077007
1460,"Penalized ML",0.354539088398012
1460,"ML",0.24047975023476445
1461,"Penalized ML",0.35490323197518686
1461,"ML",0.2461760880336749
1462,"Penalized ML",0.3572920678911986
1462,"ML",0.34246635761761623
1463,"Penalized ML",0.35991684626557496
1463,"ML",0.23091308855302814
1464,"Penalized ML",0.36475274639327454
1464,"ML",0.35321301485802
1465,"Penalized ML",0.3697822792530444
1465,"ML",0.7076314222926113
1466,"Penalized ML",0.3654378984181632
1466,"ML",0.3050451181238695
1467,"Penalized ML",0.3622285176604715
1467,"ML",0.4250062226863438
1468,"Penalized ML",0.357177165649797
1468,"ML",0.49260310496402
1469,"Penalized ML",0.34830172527495784
1469,"ML",0.44909494922893944
1470,"Penalized ML",0.33641547491284685
1470,"ML",0.2594072320974525
1471,"Penalized ML",0.32648187091016695
1471,"ML",0.3439206832477079
1472,"Penalized ML",0.31278544885431897
1472,"ML",0.09787021381147357
1473,"Penalized ML",0.3061850601402463
1473,"ML",0.17541922924411474
1474,"Penalized ML",0.3030051030217969
1474,"ML",0.1898178440722667
1475,"Penalized ML",0.3026695661587663
1475,"ML",0.24211770294259558
1476,"Penalized ML",0.30413146039829536
1476,"ML",0.34276898595292105
1477,"Penalized ML",0.30287776408051775
1477,"ML",0.2880005166622878
1478,"Penalized ML",0.30175695915481876
1478,"ML",0.2661833706766791
1479,"Penalized ML",0.3012687101509847
1479,"ML",0.18649255974234125
1480,"Penalized ML",0.30473288851517477
1480,"ML",0.3550285105453212
1481,"Penalized ML",0.30611089432325
1481,"ML",0.32378327394337136
1482,"Penalized ML",0.3065832107963972
1482,"ML",0.3904488178989977
1483,"Penalized ML",0.30397373106370706
1483,"ML",0.20278907446609898
1484,"Penalized ML",0.30367158257128485
1484,"ML",0.17098970557863996
1485,"Penalized ML",0.30756094115041266
1485,"ML",0.28865846987050237
1486,"Penalized ML",0.3118553957406369
1486,"ML",0.3892486943675386
1487,"Penalized ML",0.31214478015004
1487,"ML",0.2095177753220456
1488,"Penalized ML",0.3150147985925281
1488,"ML",0.18364352400025716
1489,"Penalized ML",0.3174414352682189
1489,"ML",0.13459142838600524
1490,"Penalized ML",0.32034968743342956
1490,"ML",0.19874345298434778
1491,"Penalized ML",0.32620676284487493
1491,"ML",0.2986153145930976
1492,"Penalized ML",0.3308011712552062
1492,"ML",0.36234689197810893
1493,"Penalized ML",0.33362093073929155
1493,"ML",0.3914278635283739
1494,"Penalized ML",0.33184036077845486
1494,"ML",0.2336719088551209
1495,"Penalized ML",0.33216640180049273
1495,"ML",0.38233648757799427
1496,"Penalized ML",0.3304014246237963
1496,"ML",0.23980029140949785
1497,"Penalized ML",0.3296077226586465
1497,"ML",0.29054231715370454
1498,"Penalized ML",0.3288181660734226
1498,"ML",0.24655421021599488
1499,"Penalized ML",0.3283716213916106
1499,"ML",0.2842742112458699
1500,"Penalized ML",0.32908278171408967
1500,"ML",0.23235061367107074
1501,"Penalized ML",0.3324414789339985
1501,"ML",0.25439871760631744
1502,"Penalized ML",0.33780873888146795
1502,"ML",0.35773198719074395
1503,"Penalized ML",0.3410112932515799
1503,"ML",0.285968298180752
1504,"Penalized ML",0.3453804651390434
1504,"ML",0.3208691919940211
1505,"Penalized ML",0.34658405139339143
1505,"ML",0.3458546772174678
1506,"Penalized ML",0.34641292864556966
1506,"ML",0.3191041449607746
1507,"Penalized ML",0.34575359206042394
1507,"ML",0.22805919274553696
1508,"Penalized ML",0.34776942347044754
1508,"ML",0.31196609123826297
1509,"Penalized ML",0.34712032654801156
1509,"ML",0.35368296449474135
1510,"Penalized ML",0.34580535636385057
1510,"ML",0.21088068005537663
1511,"Penalized ML",0.3480151089352128
1511,"ML",0.30784095188583643
1512,"Penalized ML",0.3500224688832747
1512,"ML",0.34432833627175896
1513,"Penalized ML",0.35184865488070105
1513,"ML",0.43668046157359347
1514,"Penalized ML",0.3503376651868395
1514,"ML",0.42102305024963727
1515,"Penalized ML",0.3467850331538682
1515,"ML",0.28372559849665074
1516,"Penalized ML",0.34335327910342545
1516,"ML",0.34867352638310606
1517,"Penalized ML",0.3385614586672816
1517,"ML",0.28211550052698864
1518,"Penalized ML",0.334688212770526
1518,"ML",0.2855963191002204
1519,"Penalized ML",0.3320408659535506
1519,"ML",0.23882168025607214
1520,"Penalized ML",0.3318811554743069
1520,"ML",0.24600170579755892
1521,"Penalized ML",0.3331085511773526
1521,"ML",0.34486966887150733
1522,"Penalized ML",0.3337709428127564
1522,"ML",0.11397388609284823
1523,"Penalized ML",0.3396668649768974
1523,"ML",0.22963530657027792
1524,"Penalized ML",0.34719689692451033
1524,"ML",0.4581905639658036
1525,"Penalized ML",0.35059979022723237
1525,"ML",0.34727702885445744
1526,"Penalized ML",0.3536109885816264
1526,"ML",0.14635616466527165
1527,"Penalized ML",0.3611893853713696
1527,"ML",0.16943917793919713
1528,"Penalized ML",0.37172699388149993
1528,"ML",0.45839562476253737
1529,"Penalized ML",0.37999101386228673
1529,"ML",0.6275064234657474
