"year","coefficient","value"
1368,"Penalized ML",0.10523409634464757
1368,"ML",0.08807625879573952
1369,"Penalized ML",0.10754852983956432
1369,"ML",0.045157473952255577
1370,"Penalized ML",0.12694333721769296
1370,"ML",0.23001483704389192
1371,"Penalized ML",0.12176404736623042
1371,"ML",0.08298985887168436
1372,"Penalized ML",0.12240143237902458
1372,"ML",0.15621540742594944
1373,"Penalized ML",0.11270265843736736
1373,"ML",0.06581992782072264
1374,"Penalized ML",0.11452236384000784
1374,"ML",0.09255030390743674
1375,"Penalized ML",0.12153684201837453
1375,"ML",0.11898134352387811
1376,"Penalized ML",0.1274042737288154
1376,"ML",0.12190545204888875
1377,"Penalized ML",0.13127740923297712
1377,"ML",0.13287992047379832
1378,"Penalized ML",0.1345965767968303
1378,"ML",0.13161233231032696
1379,"Penalized ML",0.13696858416009416
1379,"ML",0.1070167878074462
1380,"Penalized ML",0.14434941004708926
1380,"ML",0.17858228783966387
1381,"Penalized ML",0.1459833282239347
1381,"ML",0.1296896045258694
1382,"Penalized ML",0.15008002685783448
1382,"ML",0.13556872959647542
1383,"Penalized ML",0.15404745997084773
1383,"ML",0.1918754565155374
1384,"Penalized ML",0.15160783021351687
1384,"ML",0.15041445996374295
1385,"Penalized ML",0.14718803046814002
1385,"ML",0.10599681159683669
1386,"Penalized ML",0.14165306553999737
1386,"ML",0.05907678033355799
1387,"Penalized ML",0.14845724825015205
1387,"ML",0.17604785910512938
1388,"Penalized ML",0.1497757337604775
1388,"ML",0.12670841718337428
1389,"Penalized ML",0.15265303324224855
1389,"ML",0.17091602909680959
1390,"Penalized ML",0.15212509846756983
1390,"ML",0.1602405568652909
1391,"Penalized ML",0.14643670537926126
1391,"ML",0.12576711895621115
1392,"Penalized ML",0.1390560181129785
1392,"ML",0.11029470387745517
1393,"Penalized ML",0.1345119365535896
1393,"ML",0.10617393879816925
1394,"Penalized ML",0.13012839824567354
1394,"ML",0.12009665896198654
1395,"Penalized ML",0.1266032781356978
1395,"ML",0.14531672786342184
1396,"Penalized ML",0.11802841444753867
1396,"ML",0.11820930542502307
1397,"Penalized ML",0.1093949132022022
1397,"ML",0.0553755885724211
1398,"Penalized ML",0.11192150906024455
1398,"ML",0.11699123360873699
1399,"Penalized ML",0.10903854124326624
1399,"ML",0.09935846773360997
1400,"Penalized ML",0.10724632080103923
1400,"ML",0.13149142506115072
1401,"Penalized ML",0.09471948654610685
1401,"ML",0.07383311883744685
1402,"Penalized ML",0.08902394225938709
1402,"ML",0.04456557853521421
1403,"Penalized ML",0.09737837155044017
1403,"ML",0.12038017569249294
1404,"Penalized ML",0.09363280698115081
1404,"ML",0.05718761875291586
1405,"Penalized ML",0.10181730387904069
1405,"ML",0.12950929997469657
1406,"Penalized ML",0.0988533382420009
1406,"ML",0.08801807487689475
1407,"Penalized ML",0.0982921858696105
1407,"ML",0.06254200798569357
1408,"Penalized ML",0.10602170407131202
1408,"ML",0.08641387220011744
1409,"Penalized ML",0.11506869481236078
1409,"ML",0.10140625453014036
1410,"Penalized ML",0.12532867092055033
1410,"ML",0.1884672309339459
1411,"Penalized ML",0.11940726622848664
1411,"ML",0.09447520191288873
1412,"Penalized ML",0.11802957636673538
1412,"ML",0.1260484955871408
1413,"Penalized ML",0.10872148008166913
1413,"ML",0.07855642484027914
1414,"Penalized ML",0.10514701129293434
1414,"ML",0.05485429311604237
1415,"Penalized ML",0.11172655596432417
1415,"ML",0.1055574948269659
1416,"Penalized ML",0.11936536334689185
1416,"ML",0.12659355139922643
1417,"Penalized ML",0.12181874278241661
1417,"ML",0.09353105613796281
1418,"Penalized ML",0.12732712114429615
1418,"ML",0.17345888538773857
1419,"Penalized ML",0.11949386970111574
1419,"ML",0.07641614360838905
1420,"Penalized ML",0.12083695926448872
1420,"ML",0.13799854344627738
1421,"Penalized ML",0.1126551559767556
1421,"ML",0.07641304402127258
1422,"Penalized ML",0.11173803264946108
1422,"ML",0.14415798621570242
1423,"Penalized ML",0.09809719219699868
1423,"ML",0.10511105004668286
1424,"Penalized ML",0.08052805725207131
1424,"ML",0.03781232364570606
1425,"Penalized ML",0.08255358007725386
1425,"ML",0.058847850418410494
1426,"Penalized ML",0.0839253413350046
1426,"ML",0.048450719487954784
1427,"Penalized ML",0.09812841254390961
1427,"ML",0.07945609470077622
1428,"Penalized ML",0.1136839061805622
1428,"ML",0.11834019742428284
1429,"Penalized ML",0.1131130639980445
1429,"ML",0.1036087705682961
1430,"Penalized ML",0.11463940968020944
1430,"ML",0.11376511893945811
1431,"Penalized ML",0.11555230766376712
1431,"ML",0.07211936269268654
1432,"Penalized ML",0.12467007800508773
1432,"ML",0.16681499502292843
1433,"Penalized ML",0.1245646783896243
1433,"ML",0.09625011068334902
1434,"Penalized ML",0.12994122003236858
1434,"ML",0.1640811321177735
1435,"Penalized ML",0.12027381959634022
1435,"ML",0.08135137038978081
1436,"Penalized ML",0.11902858088769976
1436,"ML",0.06784064909530495
1437,"Penalized ML",0.12498343812753443
1437,"ML",0.12672277858510456
1438,"Penalized ML",0.11601374574012836
1438,"ML",0.047096902494027135
1439,"Penalized ML",0.12304908353714217
1439,"ML",0.18491438552507078
1440,"Penalized ML",0.1141449174045597
1440,"ML",0.06412850951326532
1441,"Penalized ML",0.11512199311506574
1441,"ML",0.09059575841653959
1442,"Penalized ML",0.12071319543901393
1442,"ML",0.07466461365843238
1443,"Penalized ML",0.13431856654064073
1443,"ML",0.21572143654335854
1444,"Penalized ML",0.12880169635036215
1444,"ML",0.12046005819621187
1445,"Penalized ML",0.1223248607697772
1445,"ML",0.10579326762729746
1446,"Penalized ML",0.11679533580019294
1446,"ML",0.0773173784065503
1447,"Penalized ML",0.11906681596319794
1447,"ML",0.10311897483382784
1448,"Penalized ML",0.12232159764827916
1448,"ML",0.0743367118547373
1449,"Penalized ML",0.1323864768720338
1449,"ML",0.12675752303048926
1450,"Penalized ML",0.14342837904591502
1450,"ML",0.15373980116888228
1451,"Penalized ML",0.14927883652520627
1451,"ML",0.07588961528295882
1452,"Penalized ML",0.16079176470317025
1452,"ML",0.10682518359216285
1453,"Penalized ML",0.17210723211293286
1453,"ML",0.054279743116552884
1454,"Penalized ML",0.15800584399785098
1454,"ML",0.12077317268466492
1455,"Penalized ML",0.13892558145292935
1455,"ML",0.10571733061941756
1456,"Penalized ML",0.12357242848983753
1456,"ML",0.11026752344288593
1457,"Penalized ML",0.11100295359711422
1457,"ML",0.07945512328924974
1458,"Penalized ML",0.10391864105113285
1458,"ML",0.05540079507357573
1459,"Penalized ML",0.1108431096340775
1459,"ML",0.15257093740083433
1460,"Penalized ML",0.10112207954759372
1460,"ML",0.05885769207712628
1461,"Penalized ML",0.10388855404363269
1461,"ML",0.1066675844936839
1462,"Penalized ML",0.10576160036401058
1462,"ML",0.1309497169244061
1463,"Penalized ML",0.09371096178703242
1463,"ML",0.07849453574691781
1464,"Penalized ML",0.08218515858619418
1464,"ML",0.0373377712007008
1465,"Penalized ML",0.08911689161938949
1465,"ML",0.06827816584250757
1466,"Penalized ML",0.10051811916499762
1466,"ML",0.1012476888160428
1467,"Penalized ML",0.11029838193308321
1467,"ML",0.0710725485266824
1468,"Penalized ML",0.1207712976571336
1468,"ML",0.10304569663719698
1469,"Penalized ML",0.13274450531872348
1469,"ML",0.21504609252700016
1470,"Penalized ML",0.12939615318843947
1470,"ML",0.09966296087049961
1471,"Penalized ML",0.1304153345322678
1471,"ML",0.09997864445211548
1472,"Penalized ML",0.12853411649644567
1472,"ML",0.08781748309444237
1473,"Penalized ML",0.13120257787042927
1473,"ML",0.12240877770669305
1474,"Penalized ML",0.13519161729363385
1474,"ML",0.05376805835286876
1475,"Penalized ML",0.1456014522590272
1475,"ML",0.16658705369339308
1476,"Penalized ML",0.14892411807324382
1476,"ML",0.1815576767356291
1477,"Penalized ML",0.1469760280048729
1477,"ML",0.05979406798852544
1478,"Penalized ML",0.1554834506616824
1478,"ML",0.16635985490663005
1479,"Penalized ML",0.16131985421177414
1479,"ML",0.2593920989174259
1480,"Penalized ML",0.154649587107811
1480,"ML",0.1245572570278349
1481,"Penalized ML",0.14977337371338828
1481,"ML",0.1971360471976136
1482,"Penalized ML",0.1380254613632419
1482,"ML",0.07472729235035354
1483,"Penalized ML",0.13694310042487967
1483,"ML",0.17691619625008792
1484,"Penalized ML",0.1284666169244469
1484,"ML",0.04171927212612139
1485,"Penalized ML",0.13538220760974062
1485,"ML",0.1785073746922909
1486,"Penalized ML",0.13357634658143547
1486,"ML",0.17564818406218516
1487,"Penalized ML",0.12329950582974837
1487,"ML",0.12289438596257629
1488,"Penalized ML",0.11302241575722882
1488,"ML",0.09505070955316469
1489,"Penalized ML",0.10553568247236181
1489,"ML",0.053400597374090204
1490,"Penalized ML",0.1080006424786705
1490,"ML",0.1256480274404841
1491,"Penalized ML",0.09750137039758452
1491,"ML",0.0695147198305121
1492,"Penalized ML",0.09141005568200114
1492,"ML",0.09789737826804613
1493,"Penalized ML",0.08244715331749998
1493,"ML",0.07343227649273625
1494,"Penalized ML",0.07215610405622289
1494,"ML",0.03701583249090012
1495,"Penalized ML",0.07915920840185343
1495,"ML",0.0356775177704872
1496,"Penalized ML",0.10797962657482227
1496,"ML",0.1542650456618788
1497,"Penalized ML",0.12387398817903075
1497,"ML",0.11587544656297094
1498,"Penalized ML",0.137218511279235
1498,"ML",0.15964419577769492
1499,"Penalized ML",0.1428197938119385
1499,"ML",0.16427934074474232
1500,"Penalized ML",0.14007269702000238
1500,"ML",0.1463218648950545
1501,"Penalized ML",0.13340121087920404
1501,"ML",0.1343954299659194
1502,"Penalized ML",0.12418476718080472
1502,"ML",0.10257676171150971
1503,"Penalized ML",0.11910773886686152
1503,"ML",0.05364034436552415
1504,"Penalized ML",0.12675455753693016
1504,"ML",0.15321403933260422
1505,"Penalized ML",0.12896436862782307
1505,"ML",0.13153171483978351
1506,"Penalized ML",0.1296717195111233
1506,"ML",0.12608758403753967
1507,"Penalized ML",0.12372365220930079
1507,"ML",0.08476130328823336
1508,"Penalized ML",0.11923726211053802
1508,"ML",0.09659903641380277
1509,"Penalized ML",0.11708178918612096
1509,"ML",0.10128561864911922
1510,"Penalized ML",0.11687070851009265
1510,"ML",0.10247872676668869
1511,"Penalized ML",0.11679098403723426
1511,"ML",0.07466133040516018
1512,"Penalized ML",0.12404367952001345
1512,"ML",0.20677958682394257
1513,"Penalized ML",0.11316420432364732
1513,"ML",0.07975657982876111
1514,"Penalized ML",0.10636658788432053
1514,"ML",0.074803481225367
1515,"Penalized ML",0.10807515309880399
1515,"ML",0.11781938393376958
1516,"Penalized ML",0.10693489704420563
1516,"ML",0.09539690997569811
1517,"Penalized ML",0.10428442125184768
1517,"ML",0.0645895545643404
1518,"Penalized ML",0.11320992751922013
1518,"ML",0.08187849961497834
1519,"Penalized ML",0.1243545576627972
1519,"ML",0.13744023070394784
1520,"Penalized ML",0.13208202424177215
1520,"ML",0.15882161647348925
1521,"Penalized ML",0.13365923232763163
1521,"ML",0.07979705742234215
1522,"Penalized ML",0.1429762700254817
1522,"ML",0.23238027828379146
1523,"Penalized ML",0.1358606631397247
1523,"ML",0.07670337496286299
1524,"Penalized ML",0.13867768442119974
1524,"ML",0.1463913676424683
1525,"Penalized ML",0.13667550174802462
1525,"ML",0.14077533579552307
1526,"Penalized ML",0.13282378976902978
1526,"ML",0.0376974872286216
1527,"Penalized ML",0.13696154049520687
1527,"ML",0.13360138810832034
1528,"Penalized ML",0.1410261936662905
1528,"ML",0.15469119177810609
1529,"Penalized ML",0.14000662740862188
1529,"ML",0.12709017875161402
1530,"Penalized ML",0.13988765417697804
1530,"ML",0.11465931113519323
1531,"Penalized ML",0.1420035410621644
1531,"ML",0.16144617715305368
1532,"Penalized ML",0.14052566377045644
1532,"ML",0.16340473919256904
1533,"Penalized ML",0.13182895186442967
1533,"ML",0.10713613205684212
1534,"Penalized ML",0.12701114962902788
1534,"ML",0.058045423814914766
1535,"Penalized ML",0.13244649132480718
1535,"ML",0.12191486457385772
1536,"Penalized ML",0.13668989697778094
1536,"ML",0.14555960891603395
1537,"Penalized ML",0.13809966801416548
1537,"ML",0.10356671633734056
1538,"Penalized ML",0.14204485027389832
1538,"ML",0.15369011449651204
1539,"Penalized ML",0.14327939353583793
1539,"ML",0.16573973109877194
1540,"Penalized ML",0.1399827474530005
1540,"ML",0.17266140021412651
1541,"Penalized ML",0.13084452499960444
1541,"ML",0.12210042722474049
1542,"Penalized ML",0.12212271761755483
1542,"ML",0.07839735980404296
1543,"Penalized ML",0.11868848241435462
1543,"ML",0.08660704402480636
1544,"Penalized ML",0.11785002041008405
1544,"ML",0.07886716407208333
1545,"Penalized ML",0.12004985452326088
1545,"ML",0.09788078940926298
1546,"Penalized ML",0.12586288336374776
1546,"ML",0.11556629994987606
1547,"Penalized ML",0.13241765363131058
1547,"ML",0.19896370783853673
1548,"Penalized ML",0.1223542307187142
1548,"ML",0.0817071989366117
1549,"Penalized ML",0.11887510551163345
1549,"ML",0.10022335744349432
1550,"Penalized ML",0.1196220461659782
1550,"ML",0.08699606424584641
1551,"Penalized ML",0.12258342147986523
1551,"ML",0.14933295822981504
1552,"Penalized ML",0.11798641548330488
1552,"ML",0.040430665702606575
1553,"Penalized ML",0.12585973040971185
1553,"ML",0.15160188883630452
1554,"Penalized ML",0.12424894062537209
1554,"ML",0.10925995655607246
1555,"Penalized ML",0.12389773318565929
1555,"ML",0.05769941888546169
1556,"Penalized ML",0.12792851159084173
1556,"ML",0.17094223034805905
1557,"Penalized ML",0.11988070177788712
1557,"ML",0.059309514159468606
1558,"Penalized ML",0.12242742886011693
1558,"ML",0.07604097758457237
1559,"Penalized ML",0.12993733793119583
1559,"ML",0.12067915736573
1560,"Penalized ML",0.137659261749974
1560,"ML",0.1756499344034126
1561,"Penalized ML",0.13692597527830427
1561,"ML",0.09603524944991308
1562,"Penalized ML",0.14213906353757705
1562,"ML",0.14439902353490477
1563,"Penalized ML",0.14633605196078964
1563,"ML",0.1031233923818605
1564,"Penalized ML",0.14550170100987908
1564,"ML",0.10361277018708992
1565,"Penalized ML",0.14482178915808303
1565,"ML",0.07732128097113233
1566,"Penalized ML",0.15297577109561986
1566,"ML",0.1572166987206696
1567,"Penalized ML",0.15864484594376393
1567,"ML",0.2272609981173468
1568,"Penalized ML",0.15192877186500886
1568,"ML",0.13314392250903162
1569,"Penalized ML",0.1410192758308351
1569,"ML",0.09476263727064708
1570,"Penalized ML",0.13700756109116133
1570,"ML",0.10086592597495633
1571,"Penalized ML",0.1378014623573497
1571,"ML",0.20775049268286888
