"year","coefficient","value"
1368,"Penalized ML",0.2901742417338701
1368,"ML",0.47887033170652926
1369,"Penalized ML",0.28279324282399104
1369,"ML",0.21617998022458704
1370,"Penalized ML",0.27796289997772694
1370,"ML",0.1402595520978609
1371,"Penalized ML",0.2755224183966184
1371,"ML",0.30050437613364583
1372,"Penalized ML",0.2705900877732331
1372,"ML",0.40335074906769336
1373,"Penalized ML",0.25808962053323614
1373,"ML",0.13219846027372445
1374,"Penalized ML",0.25109445401852704
1374,"ML",0.2431588909434342
1375,"Penalized ML",0.24355650332862847
1375,"ML",0.29458036688888134
1376,"Penalized ML",0.23242139801915992
1376,"ML",0.0408692007789853
1377,"Penalized ML",0.2316109862542526
1377,"ML",0.20296414577419566
1378,"Penalized ML",0.23226352365502545
1378,"ML",0.15114201673900196
1379,"Penalized ML",0.23650094732213034
1379,"ML",0.35744606604783236
1380,"Penalized ML",0.23369596597742062
1380,"ML",0.4196960177177772
1381,"Penalized ML",0.2184382892398168
1381,"ML",0.14629442647851876
1382,"Penalized ML",0.20674268249669808
1382,"ML",0.10981998738756164
1383,"Penalized ML",0.20212876889196912
1383,"ML",0.16817352036769476
1384,"Penalized ML",0.19958309161980062
1384,"ML",0.1400284170730834
1385,"Penalized ML",0.2009465810085316
1385,"ML",0.14895630984084837
1386,"Penalized ML",0.20536332991481043
1386,"ML",0.14122635005409598
1387,"Penalized ML",0.2139549551383116
1387,"ML",0.23715062357326036
1388,"Penalized ML",0.21417219234766094
1388,"ML",0.23786404362402885
1389,"Penalized ML",0.21164968817613622
1389,"ML",0.21975486990321222
1390,"Penalized ML",0.20783408031063638
1390,"ML",0.13499073931140976
1391,"Penalized ML",0.2076842859007626
1391,"ML",0.13120258679019442
1392,"Penalized ML",0.21249460656874528
1392,"ML",0.17730640203077305
1393,"Penalized ML",0.2192188005562722
1393,"ML",0.3348607967150464
1394,"Penalized ML",0.2170530427285537
1394,"ML",0.11090706903879162
1395,"Penalized ML",0.22178617990198335
1395,"ML",0.29117801875917665
1396,"Penalized ML",0.2210921587894283
1396,"ML",0.22144038337671526
1397,"Penalized ML",0.21789960479446802
1397,"ML",0.13353570331607917
1398,"Penalized ML",0.2204298884684297
1398,"ML",0.15993093240680153
1399,"Penalized ML",0.22590943247865447
1399,"ML",0.3579618735431097
1400,"Penalized ML",0.22276620488430843
1400,"ML",0.304783283546836
1401,"Penalized ML",0.21267177415414626
1401,"ML",0.11279761385487573
1402,"Penalized ML",0.2092541020004685
1402,"ML",0.15156636681322222
1403,"Penalized ML",0.21008446992273788
1403,"ML",0.268666174601271
1404,"Penalized ML",0.20618330105166752
1404,"ML",0.07368321109534952
1405,"Penalized ML",0.21111636838192768
1405,"ML",0.30708437752287043
1406,"Penalized ML",0.20770234999472478
1406,"ML",0.15149227617137506
1407,"Penalized ML",0.20680291391039274
1407,"ML",0.18920163530116688
