year,long,lat,number_of_source_records,number_of_distinct_levels,level
1368,114.362077,38.068096,1,1,-1
1368,115.964062,39.865015,1,1,-1
1368,118.824123,32.118003,1,1,-2
1369,112.405569,39.999114,1,1,-1
1369,117.257485,37.954032,1,1,-1
1370,111.62663,37.10845,1,1,1
1370,114.979465,30.654595,1,1,-1
1371,114.979465,30.654595,1,1,-1
1371,117.779725,37.931604,1,1,-1
1371,118.824123,32.118003,1,1,-1
1373,106.741684,35.512204,1,1,-1
1373,109.639675,36.570609,1,1,-1
1374,118.824123,32.118003,1,1,-1
1376,114.222922,30.567491,1,1,-2
1377,106.741684,35.512204,1,1,-1
1377,114.222922,30.567491,1,1,-2
1378,106.601459,35.200482,1,1,-1
1378,118.824123,32.118003,1,1,-1
1379,118.824123,32.118003,1,1,-1
1380,113.697567,39.625756,1,1,1
1381,102.700122,25.054449,1,1,-1
1381,111.540808,26.131911,1,1,1
1381,113.697567,39.625756,1,1,1
1381,119.367906,29.483861,1,1,-1
1381,120.119623,30.234656,1,1,-1
1382,102.700122,25.054449,1,1,-1
1382,114.696784,39.873253,1,1,-1
1383,102.700122,25.054449,1,1,-1
1384,103.605343,27.428623,1,1,-1
1384,109.980728,22.684493,1,1,-2
1384,110.549079,24.13073,1,1,-2
1384,110.770395,23.507448,1,1,-2
1384,110.783967,24.550609,1,1,-2
1384,111.317824,23.486528,1,1,-2
1384,118.824123,32.118003,1,1,-1
1385,103.605343,27.428623,1,1,-1
1385,110.549079,24.13073,1,1,-2
1385,110.783967,24.550609,1,1,-2
1385,118.824123,32.118003,2,1,-1
1386,120.563761,29.955205,1,1,1
1389,118.312148,34.646627,1,1,-1
1389,118.824123,32.118003,1,1,-1
1390,118.824123,32.118003,2,1,-1
1390,119.645608,27.054044,1,1,-2
1391,113.430385,38.769493,1,1,-1
1391,114.356715,26.340542,2,1,-1
1392,113.655981,34.782404,1,1,-2
1393,112.943509,37.133396,1,1,-1
1393,113.655981,34.782404,1,1,-2
1394,118.824123,32.118003,1,1,-1
1397,103.495597,36.132975,1,1,-1
1397,115.612363,30.011231,1,1,-1
1399,115.29058,28.364089,1,1,-2
1399,115.964062,39.865015,1,1,-2
1403,115.747105,37.451966,1,1,-1
1403,118.824123,32.118003,1,1,-1
1406,117.134033,40.207472,2,1,-2
1407,117.134033,40.207472,2,1,-2
1408,117.134033,40.207472,1,1,-2
1409,112.052395,38.394142,1,1,-1
1411,118.824123,32.118003,2,2,-2
1412,115.871578,38.87066,1,1,-2
1413,114.222922,30.567491,1,1,1
1414,110.740675,37.027857,1,1,-1
1415,113.028346,23.065631,1,1,-1
1415,113.440685,22.889931,1,1,-1
1415,113.877259,22.937863,1,1,-1
1415,116.626431,23.71796,1,1,-1
1416,113.440685,22.889931,1,1,-1
1416,113.877259,22.937863,1,1,-1
1416,116.626431,23.71796,1,1,-1
1424,115.964062,39.865015,2,1,1
