step_number,step_id,script,start_time,end_time,elapsed_seconds,exit_status,success,missing_outputs,log_file
1,figure2,Code/Figure2.R,2026-07-30 17:05:08 UTC,2026-07-30 17:05:11 UTC,2.873565912,0,TRUE,,Output/Logs/01_figure2.log
2,prepare_lme,Code/DataPreparation/prepare_lme_annual.R,2026-07-30 17:05:11 UTC,2026-07-30 17:05:42 UTC,30.3982451,0,TRUE,,Output/Logs/02_prepare_lme.log
3,calibration,Code/prepare_calibration.R,2026-07-30 17:05:42 UTC,2026-07-30 17:07:46 UTC,124.2554131,0,TRUE,,Output/Logs/03_calibration.log
4,figure4,Code/Figure4.R,2026-07-30 17:07:46 UTC,2026-07-30 17:07:48 UTC,2.345782995,0,TRUE,,Output/Logs/04_figure4.log
5,kriging,Code/Get_tempe_all_data.R,2026-07-30 17:07:48 UTC,2026-07-30 17:08:09 UTC,20.73461413,0,TRUE,,Output/Logs/05_kriging.log
6,figure3,Code/Figure3.R,2026-07-30 17:08:09 UTC,2026-07-30 17:08:12 UTC,2.61337781,0,TRUE,,Output/Logs/06_figure3.log
7,figure5,Code/Figure5.R,2026-07-30 17:08:12 UTC,2026-07-30 17:08:16 UTC,4.493922949,0,TRUE,,Output/Logs/07_figure5.log
8,figure6,Code/Figure6.R,2026-07-30 17:08:16 UTC,2026-07-30 17:08:21 UTC,4.633042097,0,TRUE,,Output/Logs/08_figure6.log
9,figure7e,Code/Figure7e.R,2026-07-30 17:08:21 UTC,2026-07-30 17:09:49 UTC,88.03172994,0,TRUE,,Output/Logs/09_figure7e.log
10,figure7_8,Code/Figure7-8.R,2026-07-30 17:09:49 UTC,2026-07-30 17:10:36 UTC,46.84793687,0,TRUE,,Output/Logs/10_figure7_8.log
11,prior,Code/Prior.R,2026-07-30 17:10:36 UTC,2026-07-31 03:42:47 UTC,37931.08551,0,TRUE,,Output/Logs/11_prior.log
12,figure9abc,Code/Figure9abc.R,2026-07-31 03:42:47 UTC,2026-07-31 03:42:50 UTC,3.356094122,0,TRUE,,Output/Logs/12_figure9abc.log
13,figure9d,Code/Figure9d.R,2026-07-31 03:42:50 UTC,2026-07-31 03:43:11 UTC,21.16657305,0,TRUE,,Output/Logs/13_figure9d.log
14,figure10,Code/Figure10.R,2026-07-31 03:43:11 UTC,2026-07-31 03:43:14 UTC,2.757787943,0,TRUE,,Output/Logs/14_figure10.log
15,figureS2,Code/Supplementary/FigureS2.R,2026-07-31 03:43:14 UTC,2026-07-31 03:43:17 UTC,2.991056919,0,TRUE,,Output/Logs/15_figureS2.log
16,figureS3,Code/Supplementary/FigureS3.R,2026-07-31 03:43:17 UTC,2026-07-31 03:43:20 UTC,2.691828012,0,TRUE,,Output/Logs/16_figureS3.log
17,grid_assimilation,Code/Assimilation_grid.R,2026-07-31 03:43:20 UTC,2026-07-31 04:03:12 UTC,1192.38598,0,TRUE,,Output/Logs/17_grid_assimilation.log
18,figureS1,Code/Supplementary/FigureS1.R,2026-07-31 04:03:12 UTC,2026-07-31 04:03:16 UTC,4.216744184,0,TRUE,,Output/Logs/18_figureS1.log
19,coverage_population,Code/Analysis/coverage_population_GAM.R,2026-07-31 04:03:16 UTC,2026-07-31 04:04:47 UTC,90.45051694,0,TRUE,,Output/Logs/19_coverage_population.log
20,internal_validation,Code/Analysis/interval_compatibility.R,2026-07-31 04:04:47 UTC,2026-07-31 04:08:05 UTC,198.0610421,0,TRUE,,Output/Logs/20_internal_validation.log
